id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,50.31,1.25,4.21,25.05,0.61,5.13,11.68,0.6,0.1,0.59,0.46,57271,1419,4795,28511,695,5843,13298,679,116,676,527,66.28,176412,116930,1.83,0.07,0.76,2136,78,886,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,43.78,1.57,4.89,23.89,0.52,7.01,16.74,0.57,0.14,0.74,0.16,47733,1713,5327,26042,563,7640,18255,618,157,809,173,76.26,147254,112296,2.07,0.06,0.78,2326,68,872,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,47.79,1.27,4.65,21.92,0.61,7.59,14.79,0.5,0.1,0.6,0.19,61208,1624,5957,28070,782,9718,18943,635,129,768,249,76.98,171040,131659,1.87,0.06,0.78,2468,76,1032,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,50.57,1.17,4.79,21.45,0.53,7.32,12.91,0.52,0.08,0.52,0.15,71150,1642,6739,30182,742,10295,18166,727,114,733,207,77.81,185837,144594,1.91,0.06,0.72,2768,84,1045,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,61.62,0.72,3.92,15.3,0.47,7.77,9.21,0.4,0.07,0.39,0.14,95919,1118,6095,23821,734,12092,14343,618,103,600,224,74.2,214295,159006,1.45,0.07,0.58,2300,118,921,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,61.37,0.74,3.68,16.6,0.42,7.44,8.79,0.39,0.06,0.37,0.14,90429,1092,5420,24461,617,10963,12958,573,84,551,211,71.99,209165,150572,1.44,0.05,0.64,2170,77,966,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,43.4,1.17,5.76,25.46,0.74,8.17,13.7,0.61,0.1,0.68,0.21,50901,1370,6755,29859,873,9579,16069,719,116,798,252,73.85,164115,121194,2.18,0.07,0.97,2638,85,1180,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,67.55,0.71,2.95,13.42,0.37,5.93,8.29,0.26,0.05,0.32,0.14,67110,702,2928,13337,368,5895,8236,261,51,321,141,70.36,143690,101102,1.17,0.05,0.51,1184,51,517,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,44.37,1.23,5.12,26.24,0.66,6.09,14.63,0.63,0.11,0.66,0.25,48183,1341,5558,28501,712,6616,15886,688,121,717,274,69.18,161796,111926,2.01,0.06,0.91,2252,62,1015,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,41.55,1.41,4.65,30.88,0.67,4.61,14.46,0.64,0.2,0.64,0.28,51775,1756,5794,38481,841,5745,18024,794,243,802,355,72.59,176885,128403,1.99,0.07,0.9,2552,89,1152,CIUDAD AUTONOMA DE BUENOS AIRES
