id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CATAMARCA_AMBATO,"Ambato, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,21.54,0.19,0.31,59.12,0.25,0.15,18.02,0.09,0.15,0.06,0.12,698,6,10,1916,8,5,584,3,5,2,4,72.88,4768,3475,6.39,0.0,0.35,222,0,12,CATAMARCA
CATAMARCA_ANCASTI,"Ancasti, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,45.2,0.46,0.58,51.56,0.12,0.35,1.1,0.06,0.06,0.35,0.17,781,8,10,891,2,6,19,1,1,6,3,70.29,2693,1893,7.82,0.48,0.42,148,9,8,CATAMARCA
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta de la Sierra, Catamarca",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,CATAMARCA
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,32.01,0.75,1.25,52.26,0.28,3.55,7.57,0.39,0.31,1.39,0.25,1154,27,45,1884,10,128,273,14,11,50,9,67.89,6148,4174,12.51,0.19,0.93,522,8,39,CATAMARCA
CATAMARCA_BELEN,"Belen, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,36.1,0.37,0.82,54.35,0.23,1.04,6.32,0.19,0.12,0.32,0.14,4838,49,110,7284,31,139,847,25,16,43,19,71.88,20320,14606,7.7,0.01,0.53,1125,2,78,CATAMARCA
CATAMARCA_CAPAYAN,"Capayan, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,28.67,0.79,1.59,53.48,0.38,0.73,12.85,0.18,0.23,0.92,0.17,2346,65,130,4376,31,60,1051,15,19,75,14,68.14,12900,8790,6.38,0.1,0.43,561,9,38,CATAMARCA
CATAMARCA_CAPITAL,"Capital, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,33.24,0.82,1.55,44.61,0.44,1.2,16.87,0.25,0.27,0.4,0.35,21502,533,1004,28854,284,775,10915,161,173,259,224,64.04,107671,68952,4.82,0.16,1.2,3326,112,830,CATAMARCA
CATAMARCA_EL ALTO,"El Alto, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,34.36,0.33,0.33,54.1,0.17,0.73,9.2,0.11,0.22,0.22,0.22,616,6,6,970,3,13,165,2,4,4,4,70.85,2679,1898,4.95,0.05,0.53,94,1,10,CATAMARCA
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,27.84,0.53,1.97,55.26,0.16,0.45,12.93,0.43,0.06,0.22,0.14,1410,27,100,2799,8,23,655,22,3,11,7,66.58,8076,5377,5.28,0.09,0.43,284,5,23,CATAMARCA
CATAMARCA_LA PAZ,"La Paz, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,26.27,0.42,0.57,58.56,0.27,0.55,12.56,0.2,0.27,0.11,0.21,2974,48,65,6628,30,62,1422,23,31,12,24,67.73,17516,11863,4.0,0.05,0.53,475,6,63,CATAMARCA
CATAMARCA_PACLIN,"Paclin, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,41.54,0.2,0.41,52.94,0.25,0.1,4.2,0.1,0.1,0.1,0.05,820,4,8,1045,5,2,83,2,2,2,1,61.44,3677,2259,12.31,0.13,0.18,278,3,4,CATAMARCA
CATAMARCA_POMAN,"Poman, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,27.13,0.34,0.59,66.51,0.24,0.34,4.41,0.16,0.13,0.13,0.03,1700,21,37,4167,15,21,276,10,8,8,2,79.07,8408,6648,4.81,0.24,0.71,320,16,47,CATAMARCA
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,25.06,0.52,0.49,57.26,1.61,1.62,12.45,0.22,0.16,0.45,0.16,3167,66,62,7236,204,205,1573,28,20,57,20,71.51,18921,13531,5.3,0.07,1.23,717,9,167,CATAMARCA
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,15.0,0.35,0.92,79.31,0.18,0.32,3.57,0.11,0.04,0.07,0.14,424,10,26,2242,5,9,101,3,1,2,4,70.01,4182,2928,2.6,0.1,0.75,76,3,22,CATAMARCA
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,34.37,0.58,0.5,56.98,0.16,0.99,5.94,0.13,0.15,0.1,0.1,3819,64,55,6331,18,110,660,14,17,11,11,69.62,17352,12081,7.28,0.09,0.66,880,11,80,CATAMARCA
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,35.51,0.28,1.16,46.84,0.32,1.62,13.12,0.67,0.11,0.22,0.16,2691,21,88,3550,24,123,994,51,8,17,12,59.42,13384,7953,3.72,0.04,0.94,296,3,75,CATAMARCA
