id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),28.01,3.72,2.56,17.47,0.46,2.25,44.13,0.34,0.29,0.4,0.37,9414,1250,861,5872,156,756,14833,113,98,134,126,72.34,47908,34659,1.73,0.08,1.2,601,28,417,CORDOBA
CORDOBA_CAPITAL,"Capital, Cordoba",ALIANZA CAMBIEMOS,39.52,2.92,5.85,12.74,0.52,2.69,33.51,0.53,0.4,0.85,0.47,293977,21756,43556,94747,3877,20019,249318,3927,2950,6349,3472,71.67,1077585,772358,1.95,0.22,1.51,15085,1666,11659,CORDOBA
CORDOBA_COLON,"Colon, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),36.87,2.41,4.1,12.11,0.55,2.24,39.98,0.46,0.3,0.54,0.46,52220,3407,5803,17151,772,3169,56630,650,419,764,645,70.75,206619,146173,1.69,0.05,1.37,2466,68,2009,CORDOBA
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),22.27,1.46,2.07,25.67,0.56,1.3,45.23,0.32,0.34,0.25,0.52,5899,387,549,6800,149,345,11979,84,90,65,139,58.68,46817,27470,1.33,1.41,0.84,366,387,231,CORDOBA
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",ALIANZA CAMBIEMOS,37.68,6.14,0.93,18.35,0.47,1.55,33.73,0.22,0.25,0.14,0.55,7359,1200,182,3584,91,303,6587,42,48,28,107,70.31,28262,19870,1.21,0.06,0.44,241,11,87,CORDOBA
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",ALIANZA CAMBIEMOS,34.17,2.61,2.02,28.82,0.54,2.83,27.79,0.32,0.2,0.33,0.37,26372,2013,1558,22244,418,2181,21447,244,157,255,289,71.28,110996,79118,1.26,0.32,0.87,993,257,690,CORDOBA
CORDOBA_ISCHILIN,"Ischilin, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.77,2.63,1.86,18.36,0.81,1.75,49.16,0.25,0.33,0.63,0.45,3924,434,307,3032,133,289,8116,42,54,104,75,63.87,26772,17098,1.63,0.96,0.85,278,164,146,CORDOBA
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),31.49,4.09,1.61,15.2,0.38,1.88,44.18,0.26,0.22,0.24,0.46,11713,1520,599,5653,140,698,16433,96,82,91,171,74.45,51117,38059,1.36,0.01,0.9,516,3,344,CORDOBA
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),35.43,2.27,1.5,15.84,0.3,2.21,41.53,0.24,0.15,0.13,0.39,21441,1376,909,9585,182,1336,25134,145,92,81,234,71.09,86819,61717,1.43,0.03,0.49,880,21,301,CORDOBA
CORDOBA_MINAS,"Minas, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),16.75,1.64,1.11,23.72,0.1,1.01,54.54,0.13,0.13,0.4,0.47,500,49,33,708,3,30,1628,4,4,12,14,63.22,4992,3156,1.49,3.42,0.51,47,108,16,CORDOBA
CORDOBA_POCHO,"Pocho, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.82,2.0,1.27,23.51,0.15,0.92,47.33,0.23,0.23,0.19,0.35,620,52,33,612,4,24,1232,6,6,5,9,57.29,4617,2645,1.06,0.08,0.45,28,2,12,CORDOBA
CORDOBA_PUNILLA,"Punilla, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),34.29,2.7,3.46,14.81,0.47,2.52,40.05,0.45,0.29,0.48,0.47,36717,2889,3708,15862,506,2700,42887,479,314,515,501,69.38,158812,110181,1.39,0.06,1.36,1534,69,1500,CORDOBA
CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),27.09,4.86,1.63,12.64,0.39,2.1,50.42,0.23,0.17,0.19,0.28,40976,7347,2468,19121,597,3171,76251,354,250,282,418,74.0,209278,154861,1.2,0.11,1.03,1852,172,1602,CORDOBA
CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",ALIANZA CAMBIEMOS,41.4,1.69,1.73,11.61,0.4,1.06,41.05,0.19,0.24,0.26,0.38,10846,442,452,3040,105,277,10753,51,62,67,100,67.61,39710,26847,1.49,0.35,0.59,399,94,159,CORDOBA
CORDOBA_RIO SECO,"Rio Seco, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.31,1.72,1.32,24.07,0.27,1.04,44.09,0.24,0.28,0.25,0.41,1777,116,89,1626,18,70,2978,16,19,17,28,59.59,12288,7323,1.98,5.34,0.45,145,391,33,CORDOBA
CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),38.99,2.17,2.06,13.03,0.47,1.93,39.9,0.33,0.28,0.3,0.55,23887,1329,1259,7982,289,1181,24440,204,170,181,338,72.15,87665,63247,1.88,0.12,1.14,1187,78,722,CORDOBA
CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),36.74,5.09,1.49,12.56,0.28,1.37,41.17,0.28,0.22,0.25,0.55,8088,1120,327,2764,62,302,9063,62,48,55,121,74.25,30223,22440,1.24,0.01,0.66,278,3,147,CORDOBA
CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.61,4.82,2.57,17.92,0.39,1.5,46.94,0.37,0.2,0.24,0.44,5269,1032,550,3837,83,321,10047,80,42,51,94,68.86,32050,22070,1.49,0.49,1.02,329,109,226,CORDOBA
CORDOBA_SAN JAVIER,"San Javier, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.66,5.89,2.38,28.17,0.47,1.55,36.62,0.36,0.23,0.26,0.42,7404,1842,744,8814,147,484,11458,113,72,82,132,70.29,45673,32104,1.55,0.05,0.93,498,17,297,CORDOBA
CORDOBA_SAN JUSTO,"San Justo, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),35.71,2.2,1.8,11.83,0.39,2.13,44.81,0.34,0.2,0.24,0.35,37692,2320,1897,12487,415,2250,47298,360,207,255,370,61.75,175027,108072,1.35,0.19,0.79,1455,207,859,CORDOBA
CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),31.33,2.63,3.17,12.24,0.58,2.3,45.86,0.47,0.36,0.59,0.46,19385,1625,1963,7570,359,1420,28373,293,224,368,287,73.95,86218,63762,1.66,0.05,1.26,1056,35,804,CORDOBA
CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),25.43,0.7,1.19,13.88,0.4,0.75,56.87,0.13,0.18,0.18,0.31,579,16,27,316,9,17,1295,3,4,4,7,59.15,3914,2315,1.12,0.04,0.48,26,1,11,CORDOBA
CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),31.51,2.74,2.03,14.14,0.42,2.01,46.02,0.3,0.21,0.25,0.35,22054,1914,1422,9893,296,1408,32207,213,150,178,245,74.49,96332,71757,1.45,0.16,0.87,1041,113,623,CORDOBA
CORDOBA_TOTORAL,"Totoral, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),35.58,1.98,1.61,21.31,0.42,1.19,36.78,0.26,0.24,0.35,0.29,3888,216,176,2328,46,130,4019,28,26,38,32,70.26,16023,11258,1.52,0.72,0.7,171,81,79,CORDOBA
CORDOBA_TULUMBA,"Tulumba, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.12,1.0,1.43,25.37,0.3,0.82,43.6,0.23,0.21,0.21,0.7,1823,70,100,1771,21,57,3043,16,15,15,49,62.68,11936,7482,1.2,4.91,0.6,90,367,45,CORDOBA
CORDOBA_UNION,"Union, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),34.86,2.5,1.39,20.07,0.32,2.42,37.28,0.27,0.21,0.23,0.45,21384,1531,855,12312,194,1486,22872,164,130,140,278,69.7,90046,62760,1.49,0.17,0.59,936,109,369,CORDOBA
