id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,22.55,0.37,0.72,56.63,0.06,0.72,17.92,0.3,0.16,0.21,0.37,4880,80,155,12254,14,156,3877,64,34,45,81,75.08,29769,22350,2.44,0.04,0.7,546,8,156,CORRIENTES
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,31.46,0.11,0.22,60.12,0.11,0.16,6.85,0.32,0.22,0.0,0.43,583,2,4,1114,2,3,127,6,4,0,8,86.16,2269,1955,0.46,0.0,4.76,9,0,93,CORRIENTES
CORRIENTES_CAPITAL,"Capital, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.84,0.61,1.25,43.55,0.29,1.62,18.25,0.47,0.29,0.39,0.44,68296,1268,2606,90586,596,3376,37967,969,600,809,923,76.29,283564,216318,2.36,0.1,1.39,5097,209,3016,CORRIENTES
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,19.77,0.44,0.68,63.85,0.23,0.59,13.5,0.37,0.14,0.07,0.37,2125,47,73,6864,25,63,1451,40,15,8,40,67.83,16182,10976,1.58,0.0,0.47,173,0,52,CORRIENTES
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.32,0.57,0.72,51.65,0.2,0.89,15.1,0.45,0.33,0.2,0.57,7369,144,181,12978,50,223,3794,114,82,50,144,71.95,36002,25904,2.14,0.03,0.83,554,7,214,CORRIENTES
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.05,0.49,0.89,47.37,0.12,0.56,17.25,0.42,0.32,0.18,0.34,2959,45,82,4374,11,52,1593,39,30,17,31,74.62,12722,9493,1.78,0.0,0.96,169,0,91,CORRIENTES
CORRIENTES_ESQUINA,"Esquina, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,30.22,0.55,0.76,52.47,0.26,1.29,13.32,0.27,0.31,0.19,0.38,5210,94,131,9047,44,222,2296,46,54,32,65,64.23,27501,17663,1.75,0.04,0.6,309,7,106,CORRIENTES
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,17.78,0.35,0.13,55.68,0.15,0.53,24.93,0.13,0.15,0.0,0.15,808,16,6,2530,7,24,1133,6,7,0,7,68.11,6837,4657,1.61,0.02,0.79,75,1,37,CORRIENTES
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.82,0.4,0.84,49.67,0.24,0.5,17.42,0.39,0.2,0.11,0.41,2703,36,76,4502,22,45,1579,35,18,10,37,69.85,13318,9303,2.03,0.0,0.55,189,0,51,CORRIENTES
CORRIENTES_GOYA,"Goya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.82,0.28,0.61,61.05,0.11,0.72,11.5,0.26,0.16,0.18,0.31,12747,145,312,31355,56,371,5905,136,80,90,161,72.58,72622,52711,1.72,0.01,0.84,906,5,442,CORRIENTES
CORRIENTES_ITATI,"Itati, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,23.54,0.42,0.67,62.69,0.12,0.49,11.34,0.23,0.12,0.18,0.21,1345,24,38,3582,7,28,648,13,7,10,12,68.9,8449,5821,1.19,0.02,0.64,69,1,37,CORRIENTES
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,26.79,0.6,1.03,52.39,0.19,0.85,17.02,0.31,0.27,0.28,0.28,5088,114,195,9949,36,161,3233,58,51,53,53,73.38,26579,19503,1.65,0.0,0.98,321,0,191,CORRIENTES
CORRIENTES_LAVALLE,"Lavalle, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,25.29,0.3,0.43,66.23,0.14,0.33,6.12,0.2,0.23,0.3,0.45,3920,46,66,10265,21,51,948,31,35,47,69,74.6,21186,15804,1.44,0.01,0.48,228,1,76,CORRIENTES
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.41,0.25,0.41,54.92,0.18,0.31,13.87,0.26,0.08,0.11,0.2,1798,15,25,3358,11,19,848,16,5,7,12,74.68,8445,6307,2.82,0.02,0.22,178,1,14,CORRIENTES
CORRIENTES_MERCEDES,"Mercedes, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,35.33,0.4,0.66,47.62,0.15,0.68,13.59,0.39,0.34,0.21,0.64,8405,95,158,11329,35,161,3232,92,80,51,152,72.62,33976,24675,2.74,0.02,0.83,675,4,206,CORRIENTES
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,34.79,0.6,0.84,42.76,0.18,0.93,18.48,0.43,0.26,0.22,0.53,6874,118,166,8449,36,183,3652,84,51,43,104,69.11,29236,20206,1.78,0.01,0.42,360,2,84,CORRIENTES
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,27.74,1.1,0.98,49.71,0.3,0.85,17.45,0.45,0.25,0.3,0.86,7571,300,268,13568,81,233,4764,123,69,83,236,68.99,40742,28107,2.04,0.01,0.84,573,3,235,CORRIENTES
CORRIENTES_SALADAS,"Saladas, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.1,0.41,0.73,59.78,0.17,0.5,13.34,0.31,0.22,0.14,0.29,3056,52,92,7580,22,64,1692,39,28,18,37,74.23,17512,12999,1.7,0.04,0.72,221,5,93,CORRIENTES
CORRIENTES_SAN COSME,"San Cosme, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,38.68,0.54,0.85,41.76,0.12,1.17,15.37,0.51,0.28,0.26,0.47,3875,54,85,4184,12,117,1540,51,28,26,47,73.33,13989,10258,1.62,0.0,0.71,166,0,73,CORRIENTES
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,21.7,0.31,0.62,57.79,0.1,0.59,17.91,0.14,0.3,0.2,0.32,2570,37,74,6845,12,70,2122,17,36,24,38,78.65,15502,12193,2.2,0.04,0.62,268,5,75,CORRIENTES
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,28.9,0.64,0.42,54.16,0.28,0.7,13.54,0.39,0.24,0.25,0.46,1928,43,28,3613,19,47,903,26,16,17,31,64.8,10542,6831,2.2,0.0,0.15,150,0,10,CORRIENTES
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,22.9,0.48,0.8,64.26,1.13,0.45,9.11,0.23,0.24,0.1,0.31,1423,30,50,3993,70,28,566,14,15,6,19,72.88,8707,6346,1.67,0.0,0.41,106,0,26,CORRIENTES
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.43,0.31,0.63,64.83,0.2,0.28,8.39,0.22,0.29,0.13,0.27,2669,34,69,7083,22,31,917,24,32,14,30,69.19,16121,11154,1.59,0.0,0.47,177,0,52,CORRIENTES
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,26.9,1.04,1.47,46.89,0.28,0.88,20.16,0.73,0.52,0.18,0.94,8706,335,477,15178,92,285,6525,236,169,59,304,70.68,47451,33538,2.43,0.02,1.04,816,7,349,CORRIENTES
CORRIENTES_SAUCE,"Sauce, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.33,0.22,0.24,53.24,0.08,0.24,12.88,0.16,0.18,0.06,0.38,1631,11,12,2686,4,12,650,8,9,3,19,68.87,7485,5155,1.61,0.04,0.48,83,2,25,CORRIENTES
