id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
ENTRE RIOS_COLON,"Colon, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,34.05,1.25,2.02,40.0,0.27,2.87,18.13,0.64,0.18,0.25,0.33,11491,421,682,13501,92,968,6120,215,62,85,113,77.68,52109,40476,15.51,0.1,1.01,6277,39,410,ENTRE RIOS
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,26.84,0.95,1.38,47.44,0.3,1.85,19.79,0.49,0.17,0.48,0.3,24747,874,1274,43735,275,1710,18246,454,158,443,276,76.35,134111,102390,8.27,0.38,1.3,8470,392,1336,ENTRE RIOS
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",ALIANZA CAMBIEMOS,39.86,1.3,1.33,33.34,0.47,2.51,19.92,0.4,0.18,0.45,0.23,10611,347,354,8874,126,668,5303,107,47,121,62,76.08,39019,29687,9.34,0.05,0.94,2773,14,280,ENTRE RIOS
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",ALIANZA CAMBIEMOS,45.14,0.79,1.27,36.94,0.7,1.96,12.0,0.42,0.18,0.32,0.28,18624,328,523,15241,289,808,4951,172,74,134,117,80.72,55287,44628,6.37,0.09,1.08,2844,41,482,ENTRE RIOS
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,42.44,0.8,1.19,46.54,0.08,1.55,6.29,0.3,0.2,0.37,0.23,5439,103,153,5965,10,199,806,39,26,48,29,71.33,21521,15351,15.69,0.05,0.77,2408,8,118,ENTRE RIOS
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,22.52,0.54,0.93,54.42,0.26,1.24,19.17,0.24,0.18,0.21,0.3,1891,45,78,4570,22,104,1610,20,15,18,25,72.87,12329,8984,5.18,0.04,1.3,465,4,117,ENTRE RIOS
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",ALIANZA CAMBIEMOS,41.25,0.77,1.61,36.75,0.25,4.09,13.93,0.52,0.17,0.39,0.27,10239,190,399,9121,61,1016,3457,129,42,98,67,72.86,43333,31574,19.99,0.11,1.3,6312,34,409,ENTRE RIOS
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",ALIANZA CAMBIEMOS,36.98,1.12,1.58,34.56,0.56,3.74,20.16,0.45,0.13,0.41,0.3,25224,767,1079,23569,385,2553,13749,304,91,280,205,82.04,90247,74043,6.87,0.11,0.9,5090,83,664,ENTRE RIOS
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,31.86,0.68,0.8,53.85,0.36,1.54,10.0,0.22,0.23,0.15,0.3,2469,53,62,4173,28,119,775,17,18,12,23,77.33,10740,8305,6.07,0.05,0.58,504,4,48,ENTRE RIOS
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,27.8,0.67,0.86,58.67,0.32,1.43,9.17,0.29,0.14,0.2,0.44,10437,253,321,22024,122,538,3444,108,52,76,165,73.29,55545,40709,6.73,0.22,0.83,2741,89,339,ENTRE RIOS
