id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA PAMPA_ATREUCO,"Atreuco, La Pampa",ALIANZA CAMBIEMOS,45.11,1.32,0.88,39.57,0.17,2.42,9.7,0.3,0.2,0.21,0.13,3186,93,62,2795,12,171,685,21,14,15,9,81.07,9156,7423,3.89,0.08,0.88,289,6,65,LA PAMPA
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,15.75,2.1,1.35,59.19,0.3,4.5,15.23,0.75,0.08,0.45,0.3,210,28,18,789,4,60,203,10,1,6,4,79.35,1724,1368,1.61,0.0,0.95,22,0,13,LA PAMPA
LA PAMPA_CAPITAL,"Capital, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,34.25,1.82,2.81,38.58,0.61,3.83,16.21,0.79,0.25,0.43,0.43,21948,1163,1801,24722,391,2452,10384,505,161,275,273,75.08,90022,67587,3.57,0.07,1.56,2411,46,1055,LA PAMPA
LA PAMPA_CATRILO,"Catrilo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,38.12,1.42,0.7,45.07,0.25,0.78,13.02,0.25,0.11,0.17,0.11,1800,67,33,2128,12,37,615,12,5,8,5,80.99,6098,4939,3.71,0.0,0.69,183,0,34,LA PAMPA
LA PAMPA_CHALILEO,"Chalileo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,17.59,1.19,1.41,69.91,0.0,1.02,7.24,0.68,0.23,0.57,0.17,311,21,25,1236,0,18,128,12,4,10,3,75.48,2451,1850,3.62,0.11,0.7,67,2,13,LA PAMPA
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",ALIANZA CAMBIEMOS,42.73,2.62,0.92,36.9,0.29,2.49,12.74,0.29,0.2,0.5,0.33,3263,200,70,2818,22,190,973,22,15,38,25,79.93,10116,8086,4.63,0.02,0.92,374,2,74,LA PAMPA
LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,14.3,2.16,0.36,71.27,1.8,0.6,8.77,0.24,0.0,0.36,0.12,119,18,3,593,15,5,73,2,0,3,1,73.21,1202,880,5.0,0.0,0.45,44,0,4,LA PAMPA
LA PAMPA_CONHELO,"Conhelo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,34.71,1.97,1.36,44.97,0.3,1.68,13.63,0.43,0.23,0.47,0.24,3359,191,132,4352,29,163,1319,42,22,45,23,78.68,12713,10003,2.48,0.01,0.77,248,1,77,LA PAMPA
LA PAMPA_CURACO,"Curaco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,21.55,1.52,0.34,62.46,0.34,2.53,10.77,0.51,0.0,0.0,0.0,128,9,2,371,2,15,64,3,0,0,0,78.44,784,615,2.44,0.0,0.98,15,0,6,LA PAMPA
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",ALIANZA CAMBIEMOS,52.85,1.23,1.56,25.97,0.44,1.7,15.34,0.29,0.15,0.24,0.24,2914,68,86,1432,24,94,846,16,8,13,13,76.63,7449,5708,3.07,0.0,0.33,175,0,19,LA PAMPA
LA PAMPA_HUCAL,"Hucal, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,37.37,1.22,1.01,38.41,0.3,1.96,18.91,0.34,0.17,0.13,0.17,1966,64,53,2021,16,103,995,18,9,7,9,78.37,6986,5475,3.11,0.0,0.8,170,0,44,LA PAMPA
LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,27.22,0.0,0.56,60.56,0.0,1.11,8.33,0.56,0.0,1.11,0.56,49,0,1,109,0,2,15,1,0,2,1,72.0,250,180,0.0,0.0,0.0,0,0,0,LA PAMPA
