id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA RIOJA_ARAUCO,"Arauco, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.2,1.98,0.54,51.16,0.32,0.43,20.44,0.12,0.15,0.32,0.34,1576,129,35,3332,21,28,1331,8,10,21,22,57.42,11870,6816,3.18,0.16,1.1,217,11,75,LA RIOJA
LA RIOJA_CAPITAL,"Capital, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,30.33,4.86,1.75,33.25,0.39,0.79,27.08,0.41,0.23,0.42,0.49,27692,4438,1601,30367,353,722,24725,375,213,387,443,67.68,142629,96534,3.99,0.34,1.08,3855,324,1039,LA RIOJA
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,21.26,1.51,0.84,57.15,0.17,0.44,17.93,0.17,0.13,0.27,0.13,633,45,25,1702,5,13,534,5,4,8,4,78.92,4184,3302,2.67,6.78,0.36,88,224,12,LA RIOJA
LA RIOJA_CHAMICAL,"Chamical, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.71,5.38,0.85,43.39,0.28,1.07,23.5,0.29,0.15,0.09,0.29,1686,367,58,2960,19,73,1603,20,10,6,20,59.38,11981,7114,3.11,0.01,0.98,221,1,70,LA RIOJA
LA RIOJA_CHILECITO,"Chilecito, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,31.45,3.19,1.6,36.59,0.32,0.85,24.77,0.3,0.17,0.4,0.37,7476,758,380,8698,77,202,5889,72,40,94,88,67.06,37552,25182,4.61,0.09,0.89,1162,22,224,LA RIOJA
LA RIOJA_FAMATINA,"Famatina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,14.53,1.53,1.15,47.47,0.71,0.36,33.41,0.16,0.22,0.33,0.14,532,56,42,1738,26,13,1223,6,8,12,5,77.53,4923,3817,3.35,0.34,0.39,128,13,15,LA RIOJA
LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,22.39,2.44,0.7,55.49,0.86,0.39,16.46,0.32,0.27,0.23,0.45,1255,137,39,3111,48,22,923,18,15,13,25,68.57,8699,5965,5.82,0.05,0.15,347,3,9,LA RIOJA
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,12.94,3.86,0.24,71.06,0.24,0.08,10.77,0.08,0.32,0.0,0.4,161,48,3,884,3,1,134,1,4,0,5,60.79,2160,1313,4.57,0.0,0.69,60,0,9,LA RIOJA
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,23.6,4.05,0.51,48.13,0.06,0.38,22.62,0.19,0.1,0.1,0.26,740,127,16,1509,2,12,709,6,3,3,8,53.68,6412,3442,3.11,5.43,0.38,107,187,13,LA RIOJA
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.23,1.05,0.08,66.77,0.0,0.08,13.31,0.08,0.0,0.08,0.32,226,13,1,828,0,1,165,1,0,1,4,76.26,1664,1269,2.29,0.0,0.0,29,0,0,LA RIOJA
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,14.79,4.63,0.29,64.05,0.11,0.2,15.33,0.09,0.11,0.14,0.26,518,162,10,2243,4,7,537,3,4,5,9,57.84,6228,3602,2.14,0.17,0.47,77,6,17,LA RIOJA
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,21.26,3.2,0.85,63.23,0.04,0.21,10.74,0.17,0.09,0.04,0.17,499,75,20,1484,1,5,252,4,2,1,4,64.33,3897,2507,2.67,2.63,1.08,67,66,27,LA RIOJA
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,13.83,3.39,0.71,65.49,0.07,0.07,14.26,0.78,0.28,0.64,0.49,196,48,10,928,1,1,202,11,4,9,7,66.01,2301,1519,6.58,0.0,0.13,100,0,2,LA RIOJA
LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.32,4.42,0.49,61.42,0.05,0.15,14.14,0.29,0.1,0.29,0.34,377,91,10,1264,1,3,291,6,2,6,7,63.27,3428,2169,4.75,0.0,0.37,103,0,8,LA RIOJA
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,13.81,7.25,1.39,56.88,1.46,0.36,17.51,0.25,0.3,0.43,0.34,926,486,93,3813,98,24,1174,17,20,29,23,58.25,12032,7009,3.45,0.2,0.71,242,14,50,LA RIOJA
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.86,0.99,0.43,54.68,0.43,0.24,23.91,0.09,0.09,0.09,0.19,399,21,9,1157,9,5,506,2,2,2,4,68.44,3210,2197,2.59,0.36,0.73,57,8,16,LA RIOJA
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,17.09,2.02,0.64,60.02,0.25,0.49,18.76,0.15,0.2,0.15,0.25,347,41,13,1219,5,10,381,3,4,3,5,78.65,2721,2140,4.16,0.05,0.89,89,1,19,LA RIOJA
