id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",ALIANZA FRENTE PARA LA VICTORIA,11.13,0.23,0.83,80.94,0.42,0.58,4.36,0.28,0.25,0.54,0.43,1721,36,128,12518,65,90,675,43,38,84,67,77.04,21055,16220,4.28,0.03,0.34,695,5,55,MISIONES
MISIONES_APOSTOLES,"Apostoles, Misiones",ALIANZA FRENTE PARA LA VICTORIA,22.22,0.6,1.28,55.55,0.74,0.87,17.04,0.47,0.21,0.58,0.44,5332,145,306,13332,178,208,4089,113,50,139,106,77.21,32592,25164,3.35,0.48,0.8,843,121,202,MISIONES
MISIONES_CAINGUAS,"Cainguas, Misiones",ALIANZA FRENTE PARA LA VICTORIA,12.81,0.47,1.04,72.8,0.33,0.79,10.07,0.46,0.24,0.51,0.49,3759,139,305,21368,97,232,2957,134,70,149,143,76.21,40743,31051,4.96,0.02,0.49,1540,5,153,MISIONES
MISIONES_CANDELARIA,"Candelaria, Misiones",ALIANZA FRENTE PARA LA VICTORIA,17.1,0.64,1.32,63.36,0.49,0.64,15.08,0.33,0.19,0.46,0.4,2731,102,211,10120,78,102,2408,52,31,73,64,77.36,21557,16677,3.24,0.05,0.94,541,8,156,MISIONES
MISIONES_CAPITAL,"Capital, Misiones",ALIANZA FRENTE PARA LA VICTORIA,28.35,0.79,1.86,42.38,0.78,1.77,22.07,0.52,0.23,0.45,0.79,53579,1500,3507,80089,1473,3339,41712,988,442,841,1488,75.76,262891,199170,3.48,0.23,1.42,6936,451,2825,MISIONES
MISIONES_CONCEPCION,"Concepcion De La Sierra, Misiones",ALIANZA FRENTE PARA LA VICTORIA,21.34,0.22,0.94,65.92,0.3,0.74,9.02,0.3,0.42,0.52,0.26,1062,11,47,3281,15,37,449,15,21,26,13,71.88,7191,5169,3.29,0.02,0.41,170,1,21,MISIONES
MISIONES_ELDORADO,"El Dorado, Misiones",ALIANZA FRENTE PARA LA VICTORIA,23.45,0.58,1.38,59.14,0.75,0.91,12.51,0.38,0.18,0.35,0.38,10281,253,605,25933,327,400,5484,168,80,152,166,77.43,59862,46354,3.81,0.35,1.24,1767,164,574,MISIONES
MISIONES_GENERAL MANUEL BELGRANO,"Gral. Manuel Belgrano, Misiones",ALIANZA FRENTE PARA LA VICTORIA,13.43,0.32,1.62,73.32,0.65,1.06,6.71,0.8,0.35,0.92,0.83,2825,67,341,15425,137,222,1411,168,73,193,175,71.24,31699,22582,5.05,1.12,0.67,1141,253,151,MISIONES
MISIONES_GUARANI,"Guarani, Misiones",ALIANZA FRENTE PARA LA VICTORIA,14.14,0.37,1.33,73.25,0.82,0.8,6.44,0.59,0.3,0.94,1.02,4833,128,454,25037,279,273,2200,203,103,322,347,74.91,48628,36429,5.3,0.02,0.86,1930,7,313,MISIONES
MISIONES_IGUAZU,"Iguazu, Misiones",ALIANZA FRENTE PARA LA VICTORIA,21.34,0.53,1.57,56.62,1.04,1.08,15.65,0.63,0.4,0.63,0.52,9723,241,715,25799,474,492,7132,287,180,285,235,75.24,63887,48070,3.68,0.25,1.29,1767,122,618,MISIONES
