id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,15.05,1.4,1.75,62.41,0.47,1.61,15.55,0.54,0.25,0.3,0.68,1066,99,124,4420,33,114,1101,38,18,21,48,61.75,12073,7455,4.01,0.05,0.94,299,4,70,RIO NEGRO
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,23.9,1.56,2.52,42.96,0.87,3.57,22.98,0.64,0.24,0.36,0.41,8371,547,882,15046,303,1251,8048,225,83,125,142,71.1,51654,36724,2.71,0.1,1.82,994,38,669,RIO NEGRO
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,21.98,1.4,2.34,51.08,0.62,1.88,19.31,0.42,0.21,0.3,0.45,4193,267,446,9744,118,359,3684,81,40,57,86,73.49,27419,20151,3.26,0.0,2.07,657,1,418,RIO NEGRO
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,24.7,1.99,4.63,39.97,1.11,4.22,20.66,0.89,0.33,0.82,0.68,18102,1459,3396,29300,811,3096,15145,653,239,600,499,71.58,107451,76911,2.55,0.03,2.12,1962,22,1627,RIO NEGRO
RIO NEGRO_CONESA,"Conesa, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,20.79,1.46,1.57,51.14,0.6,2.12,20.87,0.63,0.25,0.08,0.49,756,53,57,1860,22,77,759,23,9,3,18,68.02,5562,3783,2.59,0.0,1.27,98,0,48,RIO NEGRO
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,13.23,1.81,4.09,61.21,0.74,1.12,14.98,0.37,0.53,0.74,1.17,249,34,77,1152,14,21,282,7,10,14,22,65.49,3028,1983,3.28,0.0,1.82,65,0,36,RIO NEGRO
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.72,1.99,3.42,44.14,0.9,2.76,22.06,0.69,0.25,0.45,0.61,41053,3594,6186,79770,1631,4988,39873,1254,460,811,1106,76.15,249638,190097,2.98,0.03,1.92,5658,54,3659,RIO NEGRO
RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,9.09,1.2,2.57,69.21,0.77,1.11,13.38,0.94,0.51,0.43,0.77,106,14,30,807,9,13,156,11,6,5,9,61.83,1944,1202,2.5,0.0,0.5,30,0,6,RIO NEGRO
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.76,2.16,1.86,46.81,0.64,3.46,20.93,0.46,0.25,0.22,0.45,1943,184,159,3996,55,295,1787,39,21,19,38,74.44,11950,8896,2.54,0.16,1.35,226,14,120,RIO NEGRO
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,26.31,2.72,2.98,43.2,1.09,3.66,17.77,0.86,0.26,0.36,0.78,1014,105,115,1665,42,141,685,33,10,14,30,71.18,5728,4077,3.65,0.0,1.82,149,0,74,RIO NEGRO
RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,17.73,1.48,1.77,51.44,0.65,2.06,23.53,0.6,0.2,0.24,0.31,3062,255,305,8883,112,355,4063,104,35,42,53,70.09,25604,17947,2.5,0.01,1.27,448,2,228,RIO NEGRO
RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.08,0.93,1.18,49.15,0.59,1.44,13.11,0.85,0.76,0.34,9.56,261,11,14,581,7,17,155,10,9,4,113,58.82,2030,1194,0.42,0.0,0.59,5,0,7,RIO NEGRO
RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,9.84,2.43,2.85,66.19,1.85,1.28,12.13,0.57,1.0,0.29,1.57,69,17,20,464,13,9,85,4,7,2,11,58.53,1324,775,7.48,0.13,1.94,58,1,15,RIO NEGRO
