id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SALTA_ANTA,"Anta, Salta",ALIANZA FRENTE PARA LA VICTORIA,21.62,0.35,0.82,60.99,0.34,0.76,12.7,0.32,0.18,0.16,1.76,5270,85,199,14867,84,185,3095,79,43,40,429,55.86,46103,25755,1.69,3.26,0.4,436,839,104,SALTA
SALTA_CACHI,"Cachi, Salta",ALIANZA FRENTE PARA LA VICTORIA,23.16,0.36,1.47,54.24,0.31,0.52,18.28,0.49,0.26,0.41,0.49,896,14,57,2098,12,20,707,19,10,16,19,61.41,6481,3980,2.14,0.05,0.63,85,2,25,SALTA
SALTA_CAFAYATE,"Cafayate, Salta",ALIANZA FRENTE PARA LA VICTORIA,28.71,0.56,1.61,47.25,0.94,0.97,18.58,0.41,0.31,0.33,0.34,2196,43,123,3614,72,74,1421,31,24,25,26,65.36,12190,7967,2.26,0.51,1.22,180,41,97,SALTA
SALTA_CAPITAL,"Capital, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.85,0.69,4.43,32.59,0.77,1.65,34.5,0.37,0.21,0.61,0.33,68635,1994,12759,93769,2219,4746,99277,1066,591,1749,962,71.9,413367,297216,1.39,0.58,1.21,4121,1726,3602,SALTA
SALTA_CERRILLOS,"Cerrillos, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.69,0.61,2.48,38.22,0.34,0.9,35.13,0.44,0.18,0.36,0.66,4370,128,524,8073,71,190,7420,92,39,75,140,73.59,29355,21601,1.06,0.27,0.89,228,59,192,SALTA
SALTA_CHICOANA,"Chicoana, Salta",ALIANZA FRENTE PARA LA VICTORIA,18.37,0.58,2.34,43.36,0.24,0.63,33.1,0.46,0.23,0.34,0.33,2140,68,273,5051,28,73,3856,53,27,40,39,71.05,16751,11901,1.39,0.23,0.51,165,27,61,SALTA
SALTA_GENERAL GUEMES,"General Guemes, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.24,0.73,2.21,51.01,0.42,0.71,27.64,0.39,0.17,0.44,1.04,3771,181,546,12619,103,176,6837,97,43,108,257,68.26,37250,25428,1.69,0.18,0.83,431,47,212,SALTA
SALTA_GUACHIPAS,"Guachipas, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),10.97,0.44,1.87,40.62,0.37,0.19,44.67,0.37,0.12,0.25,0.12,176,7,30,652,6,3,717,6,2,4,2,53.62,3055,1638,1.34,0.37,0.31,22,6,5,SALTA
SALTA_IRUYA,"Iruya, Salta",ALIANZA FRENTE PARA LA VICTORIA,8.84,0.29,0.72,77.4,0.43,0.87,10.28,0.43,0.34,0.24,0.14,183,6,15,1603,9,18,213,9,7,5,3,45.93,4648,2135,1.03,1.55,0.42,22,33,9,SALTA
SALTA_LA CALDERA,"La Caldera, Salta",ALIANZA FRENTE PARA LA VICTORIA,25.38,0.5,3.82,34.84,0.56,1.84,31.57,0.16,0.17,1.01,0.14,1763,35,265,2420,39,128,2193,11,12,70,10,73.33,9681,7099,1.23,0.14,0.79,87,10,56,SALTA
SALTA_LA CANDELARIA,"La Candelaria, Salta",ALIANZA FRENTE PARA LA VICTORIA,17.16,0.24,0.63,58.93,0.12,0.45,18.0,0.3,0.06,0.15,3.96,572,8,21,1964,4,15,600,10,2,5,132,64.07,5282,3384,1.03,0.21,0.27,35,7,9,SALTA
SALTA_LA POMA,"La Poma, Salta",ALIANZA FRENTE PARA LA VICTORIA,22.67,0.11,1.68,56.23,0.22,0.34,17.73,0.34,0.22,0.0,0.45,202,1,15,501,2,3,158,3,2,0,4,68.55,1364,935,4.17,0.11,0.43,39,1,4,SALTA
SALTA_LA VIÑA,"La Viña, Salta",ALIANZA FRENTE PARA LA VICTORIA,17.52,0.59,1.46,51.51,0.32,0.62,27.08,0.39,0.18,0.11,0.23,768,26,64,2258,14,27,1187,17,8,5,10,67.87,6661,4521,2.15,0.09,0.8,97,4,36,SALTA
SALTA_LOS ANDES,"Los Andes, Salta",ALIANZA FRENTE PARA LA VICTORIA,13.34,0.78,3.04,58.05,0.41,1.36,20.87,0.44,0.31,0.72,0.68,391,23,89,1702,12,40,612,13,9,21,20,58.07,5197,3018,2.05,0.27,0.53,62,8,16,SALTA
SALTA_METAN,"Metan, Salta",ALIANZA FRENTE PARA LA VICTORIA,26.2,0.57,1.85,45.45,0.56,0.95,23.16,0.41,0.21,0.26,0.38,5215,113,369,9045,112,189,4610,81,41,51,75,62.18,32772,20376,1.31,0.29,0.73,267,60,148,SALTA
SALTA_MOLINOS,"Molinos, Salta",ALIANZA FRENTE PARA LA VICTORIA,17.81,0.23,1.33,66.4,0.42,0.8,11.31,0.42,0.27,0.3,0.72,469,6,35,1749,11,21,298,11,7,8,19,60.7,4382,2660,0.86,0.0,0.11,23,0,3,SALTA
SALTA_ORAN,"Oran, Salta",ALIANZA FRENTE PARA LA VICTORIA,18.59,0.47,3.5,51.52,0.58,0.75,23.24,0.41,0.2,0.29,0.47,10843,272,2040,30057,341,435,13559,239,114,170,272,56.04,107166,60053,1.26,0.88,0.71,757,527,427,SALTA
SALTA_RIVADAVIA,"Rivadavia, Salta",ALIANZA FRENTE PARA LA VICTORIA,7.14,0.33,0.44,84.34,0.17,0.48,3.19,0.38,1.92,0.19,1.42,492,23,30,5813,12,33,220,26,132,13,98,31.3,22624,7082,0.71,1.86,0.11,50,132,8,SALTA
SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",ALIANZA FRENTE PARA LA VICTORIA,18.58,0.64,1.05,51.25,0.23,0.81,26.6,0.27,0.18,0.2,0.2,2705,93,153,7463,33,118,3873,40,26,29,29,62.88,23985,15081,1.93,0.74,0.78,291,111,117,SALTA
SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",ALIANZA FRENTE PARA LA VICTORIA,18.2,0.69,2.91,38.16,0.49,0.99,37.19,0.55,0.21,0.3,0.31,3787,143,605,7940,102,207,7738,114,43,62,65,70.41,30458,21447,1.97,0.18,0.83,423,39,179,SALTA
SALTA_SAN CARLOS,"San Carlos, Salta",ALIANZA FRENTE PARA LA VICTORIA,16.31,0.2,1.32,67.38,0.47,0.5,12.8,0.38,0.26,0.26,0.12,558,7,45,2305,16,17,438,13,9,9,4,63.88,5670,3622,0.61,4.45,0.5,22,161,18,SALTA
SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",ALIANZA FRENTE PARA LA VICTORIA,12.48,0.37,2.48,66.45,0.32,0.6,16.09,0.32,0.15,0.2,0.55,8561,252,1702,45586,217,412,11039,218,100,134,380,57.64,122818,70796,1.2,1.26,0.64,850,893,452,SALTA
SALTA_SANTA VICTORIA,"Santa Victoria, Salta",ALIANZA FRENTE PARA LA VICTORIA,13.99,0.27,0.82,73.06,0.36,0.7,9.39,0.36,0.27,0.24,0.52,460,9,27,2403,12,23,309,12,9,8,17,42.71,7896,3372,1.04,0.89,0.53,35,30,18,SALTA
