id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",ALIANZA FRENTE PARA LA VICTORIA,8.82,1.94,0.41,73.69,0.62,0.95,13.1,0.13,0.16,0.07,0.12,842,185,39,7032,59,91,1250,12,15,7,11,80.98,12236,9909,2.6,0.49,0.6,258,49,59,SAN JUAN
SAN JUAN_ALBARDON,"Albardon, San Juan",ALIANZA FRENTE PARA LA VICTORIA,16.26,3.05,0.39,59.62,0.72,5.69,13.75,0.11,0.14,0.14,0.12,2273,427,55,8335,101,796,1922,16,19,20,17,82.52,18596,15345,6.11,2.18,0.6,938,334,92,SAN JUAN
SAN JUAN_ANGACO,"Angaco, San Juan",ALIANZA FRENTE PARA LA VICTORIA,16.34,1.91,0.56,63.83,0.22,0.63,15.68,0.26,0.17,0.24,0.17,883,103,30,3449,12,34,847,14,9,13,9,81.65,7133,5824,6.46,0.12,0.65,376,7,38,SAN JUAN
SAN JUAN_CALINGASTA,"Calingasta, San Juan",ALIANZA FRENTE PARA LA VICTORIA,9.1,2.17,0.32,73.32,0.06,0.49,14.36,0.06,0.04,0.04,0.06,483,115,17,3892,3,26,762,3,2,2,3,77.9,7356,5730,6.14,0.02,1.2,352,1,69,SAN JUAN
SAN JUAN_CAPITAL,"Capital, San Juan",ALIANZA FRENTE PARA LA VICTORIA,30.49,3.12,1.13,39.97,0.45,2.76,21.24,0.19,0.08,0.47,0.1,20467,2091,759,26826,303,1850,14256,126,55,317,69,77.2,92420,71350,4.33,0.58,1.01,3092,415,724,SAN JUAN
SAN JUAN_CAUCETE,"Caucete, San Juan",ALIANZA FRENTE PARA LA VICTORIA,17.87,7.46,0.39,48.33,0.14,0.33,24.85,0.13,0.06,0.32,0.12,3639,1520,79,9842,28,68,5060,27,13,66,24,79.25,28263,22399,8.07,0.22,0.79,1807,50,176,SAN JUAN
SAN JUAN_CHIMBAS,"Chimbas, San Juan",ALIANZA FRENTE PARA LA VICTORIA,10.73,2.6,0.6,66.1,0.74,0.72,17.87,0.14,0.16,0.23,0.12,4845,1175,269,29852,334,325,8070,63,72,106,52,76.77,61905,47523,3.57,0.25,1.14,1697,121,542,SAN JUAN
SAN JUAN_IGLESIA,"Iglesia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,7.15,1.92,0.34,73.86,0.18,0.28,15.63,0.22,0.26,0.08,0.1,362,97,17,3739,9,14,791,11,13,4,5,82.6,6516,5382,4.76,0.07,1.11,256,4,60,SAN JUAN
SAN JUAN_JACHAL,"Jachal, San Juan",ALIANZA FRENTE PARA LA VICTORIA,9.67,2.15,0.6,66.41,1.04,1.17,18.23,0.22,0.17,0.17,0.17,1341,298,83,9207,144,162,2527,30,23,24,24,82.5,18059,14898,3.88,1.98,1.09,578,295,162,SAN JUAN
SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",ALIANZA FRENTE PARA LA VICTORIA,13.24,3.99,0.35,60.49,0.47,0.26,20.47,0.11,0.06,0.49,0.08,867,261,23,3960,31,17,1340,7,4,32,5,84.84,8267,7014,6.03,0.16,0.47,423,11,33,SAN JUAN
