id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SANTA FE_BELGRANO,"Belgrano, Santa Fe",ALIANZA CAMBIEMOS,37.43,2.94,1.18,28.36,0.32,5.07,23.87,0.25,0.12,0.22,0.22,8987,706,284,6808,77,1217,5731,61,30,54,53,67.3,37827,25459,5.09,0.0,0.61,1296,0,155,SANTA FE
SANTA FE_CASEROS,"Caseros, Santa Fe",ALIANZA CAMBIEMOS,38.33,4.05,1.92,22.93,0.83,5.78,25.23,0.39,0.0,0.22,0.31,17666,1868,887,10569,382,2663,11627,178,0,100,145,68.94,71026,48965,4.5,0.0,1.38,2204,0,676,SANTA FE
SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",ALIANZA CAMBIEMOS,39.62,2.32,1.47,26.31,0.19,5.33,23.84,0.33,0.15,0.18,0.25,35928,2108,1335,23859,176,4837,21623,299,132,165,225,66.96,143725,96238,4.05,0.03,1.69,3897,27,1627,SANTA FE
SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,29.94,3.25,1.93,35.53,0.46,5.12,22.81,0.36,0.11,0.27,0.23,14780,1602,951,17537,227,2528,11259,177,56,134,112,71.98,73536,52932,4.96,0.02,1.77,2624,10,935,SANTA FE
SANTA FE_GARAY,"Garay, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,27.25,1.79,0.64,47.87,0.23,3.44,17.45,0.54,0.23,0.28,0.28,3019,198,71,5304,25,381,1933,60,26,31,31,67.6,17986,12158,6.98,0.0,1.89,849,0,230,SANTA FE
SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",ALIANZA CAMBIEMOS,36.38,6.02,1.35,28.4,0.32,4.61,21.93,0.34,0.0,0.34,0.33,37438,6192,1393,29219,326,4740,22563,345,0,346,336,66.84,162428,108572,4.01,0.02,1.19,4355,26,1293,SANTA FE
SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,34.28,1.57,1.01,41.36,0.22,2.97,17.15,0.4,0.16,0.24,0.62,31024,1421,917,37429,201,2686,15520,363,146,221,565,69.18,141038,97566,5.3,0.03,1.92,5168,34,1871,SANTA FE
SANTA FE_IRIONDO,"Iriondo, Santa Fe",ALIANZA CAMBIEMOS,32.74,3.05,1.71,31.78,0.49,5.6,23.55,0.4,0.18,0.24,0.25,12048,1124,629,11693,180,2062,8667,148,65,89,92,69.06,57200,39501,5.61,0.0,1.23,2216,1,487,SANTA FE
SANTA FE_LA CAPITAL,"La Capital, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,29.84,2.14,2.29,34.84,0.49,7.06,22.02,0.4,0.19,0.4,0.34,80441,5759,6175,93904,1320,19039,59344,1073,503,1078,924,68.34,427886,292413,5.08,0.06,2.68,14856,174,7823,SANTA FE
SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",ALIANZA CAMBIEMOS,41.61,3.3,1.3,23.71,0.19,4.44,24.17,0.5,0.15,0.22,0.41,23717,1882,739,13515,109,2533,13775,287,83,124,236,73.23,85119,62331,6.77,0.0,1.78,4218,1,1112,SANTA FE
