id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,36.69,0.49,0.3,56.54,0.17,0.57,4.97,0.05,0.07,0.02,0.12,1485,20,12,2288,7,23,201,2,3,1,5,61.99,6599,4091,0.9,0.02,0.15,37,1,6,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,9.51,0.27,0.16,84.91,0.31,0.37,3.87,0.17,0.09,0.09,0.24,761,22,13,6795,25,30,310,14,7,7,19,67.22,12061,8108,1.2,0.0,0.1,97,0,8,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,5.14,0.21,0.58,87.03,0.18,0.25,3.63,0.11,0.05,0.02,2.81,293,12,33,4960,10,14,207,6,3,1,160,60.56,9467,5733,0.44,0.0,0.16,25,0,9,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,11.88,0.46,0.63,78.86,0.27,0.93,6.17,0.17,0.2,0.12,0.32,1120,43,59,7433,25,88,582,16,19,11,30,56.41,16967,9571,1.38,0.0,0.14,132,0,13,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,10.82,0.4,1.39,56.48,0.3,1.35,27.99,0.32,0.18,0.35,0.43,8494,311,1094,44346,234,1062,21982,253,140,271,336,71.26,113678,81009,2.43,0.06,0.58,1967,51,468,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,36.92,0.76,0.49,50.99,0.31,0.58,9.08,0.32,0.04,0.11,0.41,2053,42,27,2835,17,32,505,18,2,6,23,76.76,7418,5694,1.91,0.12,0.32,109,7,18,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,19.25,0.48,1.88,57.09,0.29,1.6,17.89,0.36,0.19,0.72,0.26,29982,754,2924,88919,446,2490,27862,558,298,1119,404,72.85,221368,161256,2.59,0.06,0.75,4182,104,1214,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,12.22,0.64,0.82,68.18,0.33,1.23,15.39,0.37,0.16,0.3,0.37,2486,131,166,13870,68,250,3130,75,32,61,75,72.12,28953,20881,1.91,0.01,0.65,399,3,135,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,9.56,0.42,0.55,81.0,0.27,1.54,6.01,0.11,0.09,0.12,0.33,1009,44,58,8550,28,163,634,12,9,13,35,53.32,20163,10751,1.49,0.02,0.32,160,2,34,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,4.26,0.27,0.6,87.84,0.27,0.43,5.73,0.26,0.03,0.09,0.22,249,16,35,5134,16,25,335,15,2,5,13,44.69,13200,5899,0.71,0.05,0.15,42,3,9,SANTIAGO DEL ESTERO
