id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,19.05,0.66,0.63,62.42,0.51,0.64,13.63,0.37,0.18,0.25,1.65,3400,118,113,11138,91,114,2432,66,33,45,295,77.74,23553,18311,1.69,0.07,0.79,309,13,144,TUCUMAN
TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,9.34,0.42,1.13,79.98,0.22,0.71,6.76,0.46,0.29,0.17,0.52,2256,101,273,19322,54,171,1632,112,70,42,125,77.09,32351,24941,2.63,0.03,0.48,656,7,120,TUCUMAN
TUCUMAN_CAPITAL,"Capital, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,26.55,1.53,3.05,42.68,0.47,2.13,22.03,0.45,0.23,0.5,0.37,81027,4669,9301,130281,1447,6506,67248,1383,717,1526,1126,73.95,438089,323982,3.91,0.32,1.56,12667,1029,5055,TUCUMAN
TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,21.45,0.9,0.91,61.02,0.29,1.08,12.91,0.77,0.23,0.19,0.25,10375,434,439,29511,140,522,6243,372,111,93,122,79.48,63465,50443,2.97,0.11,1.05,1499,54,528,TUCUMAN
TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,12.78,0.67,1.68,70.11,0.29,0.89,12.06,0.4,0.18,0.27,0.66,14327,753,1888,78572,322,995,13515,447,200,306,737,79.83,146162,116682,2.86,0.15,0.95,3337,175,1108,TUCUMAN
TUCUMAN_FAMAILLA,"Famailla, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,11.33,0.74,1.42,71.25,0.41,0.76,12.75,0.48,0.2,0.37,0.3,2183,142,273,13725,79,146,2456,92,39,71,58,72.69,27737,20163,3.32,0.06,1.08,670,12,217,TUCUMAN
TUCUMAN_GRANEROS,"Graneros, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,9.76,0.4,0.43,82.08,0.2,0.36,6.08,0.26,0.15,0.06,0.21,831,34,37,6992,17,31,518,22,13,5,18,79.19,11019,8726,2.05,0.02,0.31,179,2,27,TUCUMAN
TUCUMAN_LA COCHA,"La Cocha, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,14.72,0.56,0.7,71.11,0.42,0.53,9.72,0.37,0.13,0.15,1.6,1812,69,86,8754,52,65,1196,45,16,18,197,83.25,15190,12645,1.96,0.02,0.66,248,3,84,TUCUMAN
TUCUMAN_LEALES,"Leales, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,11.25,0.57,1.43,72.22,0.28,0.61,11.99,0.47,0.21,0.18,0.79,3915,197,497,25144,98,213,4176,165,72,63,275,79.4,45262,35938,2.28,0.11,0.73,821,38,264,TUCUMAN
TUCUMAN_LULES,"Lules, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,17.77,0.71,1.63,61.54,0.33,0.81,15.62,0.41,0.21,0.25,0.72,6592,265,604,22835,122,299,5796,152,79,93,267,80.34,48367,38857,3.26,0.07,1.19,1265,27,461,TUCUMAN
TUCUMAN_MONTEROS,"Monteros, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,12.15,0.6,1.13,71.46,0.28,0.77,11.68,0.25,0.18,0.18,1.33,4849,238,450,28519,110,309,4661,99,72,70,531,80.8,51001,41208,2.6,0.07,0.49,1070,27,203,TUCUMAN
TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,12.25,0.52,0.76,71.68,0.67,0.64,12.24,0.24,0.13,0.14,0.72,4586,196,286,26829,252,239,4580,88,50,53,269,83.63,45953,38432,2.01,0.05,0.55,773,18,213,TUCUMAN
TUCUMAN_SIMOCA,"Simoca, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,15.11,0.43,0.93,74.15,0.39,0.71,6.87,0.26,0.15,0.76,0.22,3121,89,193,15316,81,147,1420,54,31,158,45,78.49,26947,21150,1.96,0.05,0.33,414,11,70,TUCUMAN
TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,11.67,0.37,0.86,69.38,0.2,1.23,13.15,0.29,0.34,0.21,2.3,1064,34,78,6324,18,112,1199,26,31,19,210,76.05,12432,9454,2.54,0.11,0.94,240,10,89,TUCUMAN
TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,17.81,1.18,2.45,55.62,0.35,1.27,19.44,0.59,0.27,0.51,0.52,13316,882,1829,41586,264,949,14536,438,201,380,392,77.68,101557,78894,3.49,0.28,1.46,2752,218,1151,TUCUMAN
TUCUMAN_TRANCAS,"Trancas, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,15.44,0.92,0.83,66.31,0.34,2.13,12.94,0.29,0.34,0.15,0.32,1652,98,89,7095,36,228,1385,31,36,16,34,80.89,13817,11177,3.1,0.04,1.13,346,5,126,TUCUMAN
TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,36.07,1.33,2.25,41.96,0.42,2.07,14.43,0.34,0.19,0.34,0.6,18637,688,1163,21682,219,1068,7458,178,98,174,309,81.02,66771,54101,3.28,0.12,1.08,1774,67,586,TUCUMAN
