,id,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES,FRENTE DE TODOS,6.32,2.7,52.13,1.47,35.93,1.44,610009,260597,5032267,142287,3468667,139231,82.38,11995955,9882295,1.53,0.17,0.62,150735,16883,61619
1,CATAMARCA,FRENTE DE TODOS,5.64,1.53,56.64,0.91,33.98,1.29,12392,3369,124436,2002,74654,2825,77.36,301901,233542,4.95,0.26,0.73,11550,603,1711
2,CHACO,FRENTE DE TODOS,3.79,0.96,55.7,2.86,35.61,1.08,27198,6867,399263,20470,255219,7748,77.85,935420,728196,0.86,0.09,0.61,6279,689,4463
3,CHUBUT,FRENTE DE TODOS,7.59,3.97,52.16,4.29,29.55,2.44,24326,12727,167164,13746,94685,7814,77.46,430874,333757,2.2,0.13,1.66,7327,430,5538
4,CIUDAD AUTONOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,6.49,2.92,35.63,0.68,52.39,1.88,128795,58040,707158,13559,1039750,37404,79.93,2540585,2030599,1.5,0.04,0.71,30542,857,14494
5,CORDOBA,JUNTOS POR EL CAMBIO,5.01,1.66,29.28,1.41,61.31,1.34,112722,37362,658434,31657,1378834,30038,79.3,2921237,2316530,1.76,0.06,1.09,40686,1467,25330
6,CORRIENTES,FRENTE DE TODOS,3.17,0.98,50.76,1.84,42.22,1.03,18798,5823,301275,10939,250610,6114,80.77,747513,603745,0.68,0.13,0.87,4117,789,5280
7,ENTRE RIOS,JUNTOS POR EL CAMBIO,6.25,1.66,44.32,1.67,44.5,1.6,54112,14346,383961,14480,385486,13902,81.06,1087084,881147,0.77,0.05,0.87,6763,401,7696
8,FORMOSA,FRENTE DE TODOS,3.15,0.92,65.14,1.57,28.43,0.79,10883,3167,225025,5415,98201,2739,77.98,449928,350834,0.76,0.13,0.65,2663,469,2272
9,JUJUY,FRENTE DE TODOS,6.0,2.08,46.13,2.36,41.5,1.93,26303,9124,202220,10338,181937,8458,81.79,546457,446937,0.79,0.05,1.07,3546,244,4767
10,LA PAMPA,FRENTE DE TODOS,6.6,2.06,50.08,2.03,37.71,1.52,14690,4579,111461,4525,83918,3388,81.31,278279,226255,0.64,0.06,0.93,1443,139,2112
11,LA RIOJA,FRENTE DE TODOS,4.32,1.11,47.57,1.16,44.29,1.54,7500,1934,82526,2011,76831,2666,77.57,280850,217846,19.32,0.13,0.92,42095,287,1996
12,MENDOZA,JUNTOS POR EL CAMBIO,6.62,2.3,37.84,1.98,50.02,1.25,75043,26043,429206,22425,567443,14175,82.4,1405743,1158363,0.72,0.06,1.29,8393,689,14946
13,MISIONES,FRENTE DE TODOS,3.36,0.96,57.6,2.93,33.95,1.19,23575,6738,403864,20567,238020,8350,80.08,898870,719819,1.62,0.13,0.85,11659,900,6146
14,NEUQUEN,FRENTE DE TODOS,6.29,3.74,47.69,2.89,37.37,2.02,24923,14825,188968,11461,148087,8002,84.01,494894,415779,3.05,0.08,1.57,12670,330,6513
15,RIO NEGRO,FRENTE DE TODOS,6.18,2.61,57.37,3.28,28.6,1.96,25832,10918,239979,13703,119639,8217,80.95,540402,437440,2.83,0.14,1.41,12388,611,6153
16,SALTA,FRENTE DE TODOS,10.84,1.78,48.3,2.17,35.14,1.77,79615,13037,354661,15957,258037,13018,76.12,983014,748246,0.71,0.21,0.94,5331,1540,7050
17,SAN JUAN,FRENTE DE TODOS,7.24,1.52,53.01,1.83,35.14,1.26,32734,6886,239808,8299,158956,5705,82.64,557776,460941,0.95,0.03,0.87,4369,159,4025
18,SAN LUIS,JUNTOS POR EL CAMBIO,6.77,2.32,41.6,2.5,45.09,1.72,20511,7024,126044,7563,136639,5226,81.37,382104,310908,1.16,0.07,1.32,3607,205,4089
19,SANTA CRUZ,FRENTE DE TODOS,5.01,3.37,59.82,2.85,28.18,0.77,8934,6000,106572,5083,50199,1374,74.66,249153,186016,2.72,0.22,1.28,5051,416,2387
20,SANTA FE,JUNTOS POR EL CAMBIO,8.98,1.45,42.65,1.54,43.51,1.87,191513,31021,909861,32928,928289,39953,79.41,2743131,2178330,0.64,0.09,1.33,13867,2001,28897
21,SANTIAGO DEL ESTERO,FRENTE DE TODOS,3.35,0.97,74.84,1.57,18.41,0.86,19622,5661,438357,9211,107853,5052,79.94,744789,595387,1.0,0.09,0.52,5976,554,3101
22,TIERRA DEL FUEGO,FRENTE DE TODOS,7.65,2.75,57.0,3.87,25.98,2.75,7554,2721,56314,3819,25673,2722,76.03,134295,102104,1.33,0.12,1.78,1363,118,1820
23,TUCUMAN,FRENTE DE TODOS,4.16,1.23,57.79,2.08,33.89,0.86,42123,12405,584885,21062,342980,8699,83.27,1237546,1030487,0.71,0.12,0.95,7331,1199,9803
