Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
0.0,BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",JUNTOS POR EL CAMBIO,4.39,1.39,42.3,0.84,49.88,1.2,1072,339,10341,205,12194,294,82.5,30518,25176,2.16,0.23,0.5,545,59,127,BUENOS AIRES
1.0,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",JUNTOS POR EL CAMBIO,6.49,1.55,38.07,0.53,51.96,1.4,674,161,3953,55,5395,145,77.63,13709,10642,1.82,0.24,0.37,194,26,39,BUENOS AIRES
2.0,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",JUNTOS POR EL CAMBIO,4.82,1.48,45.36,0.59,46.7,1.06,369,113,3472,45,3575,81,84.65,9338,7905,2.59,0.35,0.22,205,28,17,BUENOS AIRES
3.0,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE DE TODOS,6.58,3.28,60.23,1.67,26.73,1.52,22521,11218,206155,5730,91491,5187,83.13,421482,350391,1.27,0.19,0.85,4437,667,2985,BUENOS AIRES
4.0,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",JUNTOS POR EL CAMBIO,6.81,1.15,44.08,1.18,45.72,1.06,1374,231,8891,239,9222,214,84.41,24471,20656,1.86,0.19,0.29,385,40,60,BUENOS AIRES
5.0,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE DE TODOS,6.3,2.78,55.27,1.1,32.99,1.55,13864,6120,121552,2426,72553,3408,82.14,272947,224201,1.32,0.13,0.46,2962,295,1021,BUENOS AIRES
6.0,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",FRENTE DE TODOS,6.34,1.52,45.8,1.06,44.07,1.21,836,201,6039,140,5810,159,82.65,16548,13677,3.07,0.2,0.32,420,28,44,BUENOS AIRES
7.0,BUENOS AIRES_AZUL,"Azul, Buenos Aires",JUNTOS POR EL CAMBIO,5.82,2.15,42.93,0.87,46.88,1.36,2425,895,17893,363,19538,566,80.39,53476,42990,2.02,0.11,0.92,868,46,396,BUENOS AIRES
8.0,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",JUNTOS POR EL CAMBIO,5.95,3.18,35.67,2.37,50.94,1.89,11280,6024,67617,4499,96580,3583,81.58,238363,194465,1.49,0.16,0.87,2890,309,1683,BUENOS AIRES
9.0,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",JUNTOS POR EL CAMBIO,7.68,1.58,36.3,1.91,51.11,1.42,2351,483,11117,586,15656,436,82.07,38378,31496,1.96,0.21,0.58,618,65,184,BUENOS AIRES
10.0,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",FRENTE DE TODOS,5.01,1.5,55.15,1.65,35.42,1.27,1163,348,12807,384,8225,296,84.52,28548,24130,3.0,0.11,0.64,725,27,155,BUENOS AIRES
11.0,BUENOS AIRES_BENITO JUAREZ,"Benito Juarez, Buenos Aires",FRENTE DE TODOS,9.21,2.3,53.76,0.56,32.85,1.31,1192,298,6955,72,4250,169,80.84,16444,13294,1.93,0.2,0.56,257,27,74,BUENOS AIRES
12.0,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE DE TODOS,6.87,3.11,59.1,1.75,27.69,1.48,13910,6288,119648,3540,56064,2994,84.75,244561,207272,1.6,0.24,0.49,3308,503,1017,BUENOS AIRES
13.0,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",FRENTE DE TODOS,6.95,3.0,55.58,1.15,31.92,1.4,4359,1882,34873,724,20030,879,84.24,76305,64283,1.79,0.16,0.44,1153,103,280,BUENOS AIRES
14.0,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",JUNTOS POR EL CAMBIO,6.81,2.25,43.64,0.46,45.82,1.03,1631,538,10455,111,10977,246,81.62,30291,24725,2.37,0.26,0.47,586,64,117,BUENOS AIRES
15.0,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",FRENTE DE TODOS,6.35,1.39,45.86,0.7,44.76,0.94,1841,403,13299,204,12980,274,84.35,35138,29638,1.29,0.15,0.72,381,44,212,BUENOS AIRES
16.0,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",FRENTE DE TODOS,5.47,1.67,48.84,1.39,41.31,1.32,1032,315,9217,263,7796,250,83.43,23290,19430,1.94,0.25,0.67,377,49,131,BUENOS AIRES
17.0,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",FRENTE DE TODOS,6.1,2.69,48.32,2.06,39.54,1.29,3800,1676,30109,1282,24638,806,84.71,75570,64014,1.93,0.13,0.6,1235,84,384,BUENOS AIRES
