Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
190.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.18,2.73,37.41,0.82,52.1,1.76,6559,3454,47335,1040,65919,2222,73.17,176817,129374,1.48,0.05,0.67,1915,62,868,CIUDAD AUTONOMA DE BUENOS AIRES
191.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,8.24,3.13,37.3,0.68,48.43,2.22,9787,3723,44308,802,57531,2632,82.43,147632,121689,1.53,0.04,0.82,1867,46,993,CIUDAD AUTONOMA DE BUENOS AIRES
192.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.66,2.89,34.06,0.62,52.69,2.08,10682,4034,47463,858,73435,2893,82.67,172674,142756,1.55,0.04,0.79,2215,55,1121,CIUDAD AUTONOMA DE BUENOS AIRES
193.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.0,3.02,32.88,0.58,54.59,1.93,10755,4644,50543,894,83923,2962,82.78,189856,157157,1.43,0.04,0.72,2249,58,1129,CIUDAD AUTONOMA DE BUENOS AIRES
194.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.28,2.39,23.72,0.5,66.52,1.6,9088,4115,40819,862,114485,2746,80.17,218884,175490,1.35,0.03,0.55,2367,46,962,CIUDAD AUTONOMA DE BUENOS AIRES
195.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.76,2.28,24.85,0.48,66.11,1.51,7678,3684,40082,781,106615,2434,78.19,210288,164420,1.29,0.04,0.58,2129,69,948,CIUDAD AUTONOMA DE BUENOS AIRES
196.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.88,3.55,40.11,0.6,47.03,1.83,8895,4598,51892,774,60835,2365,80.24,165334,132666,1.64,0.06,0.79,2180,81,1046,CIUDAD AUTONOMA DE BUENOS AIRES
197.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.31,1.93,20.69,0.65,71.07,1.35,4683,2092,22456,704,77151,1466,77.25,142868,110368,1.12,0.04,0.49,1231,49,536,CIUDAD AUTONOMA DE BUENOS AIRES
198.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.5,3.46,39.75,0.85,47.41,2.04,7665,4085,46903,998,55944,2408,76.34,158262,120810,1.5,0.06,0.76,1813,70,924,CIUDAD AUTONOMA DE BUENOS AIRES
199.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,6.53,3.23,46.21,0.89,41.27,1.87,9001,4444,63672,1220,56859,2583,79.66,177571,141450,1.77,0.03,0.8,2499,46,1126,CIUDAD AUTONOMA DE BUENOS AIRES
