Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
150.0,CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",FRENTE DE TODOS,2.94,0.4,63.66,1.42,30.96,0.61,432,59,9339,209,4542,89,75.5,19709,14880,0.85,0.09,0.47,126,14,70,CHACO
151.0,CHACO_2 DE ABRIL,"2 De Abril, Chaco",FRENTE DE TODOS,2.15,0.59,54.72,3.61,38.46,0.47,106,29,2696,178,1895,23,78.6,6355,4995,0.92,0.02,0.42,46,1,21,CHACO
152.0,CHACO_25 DE MAYO,"25 De Mayo, Chaco",FRENTE DE TODOS,2.54,0.66,66.61,1.58,27.74,0.86,488,127,12775,303,5321,165,77.2,25134,19404,0.75,0.09,0.32,145,18,62,CHACO
153.0,CHACO_9 DE JULIO,"9 De Julio, Chaco",FRENTE DE TODOS,3.47,0.55,55.39,1.32,38.58,0.69,634,101,10106,240,7039,126,75.68,24528,18562,0.99,0.12,0.59,184,22,110,CHACO
154.0,CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",FRENTE DE TODOS,1.44,0.49,63.61,2.55,31.57,0.34,299,102,13228,531,6565,70,71.63,29403,21060,0.87,0.04,0.35,184,8,73,CHACO
155.0,CHACO_BERMEJO,"Bermejo, Chaco",FRENTE DE TODOS,3.82,0.79,68.69,1.7,24.23,0.77,708,146,12715,314,4486,142,78.57,23948,18816,1.24,0.11,0.27,234,20,51,CHACO
156.0,CHACO_CHACABUCO,"Chacabuco, Chaco",FRENTE DE TODOS,2.94,0.68,49.31,2.35,44.11,0.61,627,145,10531,502,9419,131,78.42,27543,21600,0.59,0.06,0.49,128,12,105,CHACO
157.0,CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez , Chaco",FRENTE DE TODOS,3.2,0.97,50.36,2.28,42.07,1.12,2023,616,31874,1446,26624,709,78.0,82520,64368,0.9,0.09,0.68,578,58,440,CHACO
158.0,CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray Justo Sta. Maria De Oro, Chaco",FRENTE DE TODOS,1.85,0.43,55.4,5.27,36.24,0.81,139,32,4160,396,2721,61,74.72,10169,7598,0.91,0.04,0.22,69,3,17,CHACO
159.0,CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",FRENTE DE TODOS,2.4,0.59,71.32,0.84,24.27,0.57,188,46,5589,66,1902,45,76.72,10339,7932,0.78,0.01,0.42,62,1,33,CHACO
