Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
205.0,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",JUNTOS POR EL CAMBIO,5.38,1.93,33.92,1.67,55.75,1.36,2223,797,14020,689,23041,561,79.23,53868,42677,1.9,0.01,1.25,810,4,532,CORDOBA
206.0,CORDOBA_CAPITAL,"Capital, Cordoba",JUNTOS POR EL CAMBIO,4.55,2.03,24.38,1.37,66.32,1.34,38858,17285,208102,11724,566018,11447,79.13,1111038,879215,1.71,0.08,1.14,15055,687,10039,CORDOBA
207.0,CORDOBA_COLON,"Colon, Cordoba",JUNTOS POR EL CAMBIO,4.4,1.68,25.72,1.11,65.91,1.18,7923,3020,46311,1992,118659,2133,80.38,230853,185557,1.73,0.03,1.21,3214,62,2243,CORDOBA
208.0,CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",FRENTE DE TODOS,3.94,1.11,51.75,1.43,41.06,0.72,1449,409,19046,525,15112,264,75.29,50209,37804,1.71,0.05,0.88,645,20,334,CORDOBA
209.0,CORDOBA_GENERAL ROCA,"General Roca, Cordoba",JUNTOS POR EL CAMBIO,4.89,0.84,36.64,1.07,55.46,1.1,1065,183,7978,233,12076,240,77.64,28800,22360,1.71,0.17,0.74,383,37,165,CORDOBA
210.0,CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",JUNTOS POR EL CAMBIO,5.55,1.5,37.3,2.53,51.49,1.63,4958,1342,33312,2264,45989,1452,79.35,115394,91565,1.5,0.03,0.92,1373,31,844,CORDOBA
211.0,CORDOBA_ISCHILIN,"Ischilin, Cordoba",JUNTOS POR EL CAMBIO,4.46,1.16,41.51,1.26,50.8,0.81,936,244,8721,265,10671,170,77.66,27807,21596,1.7,0.02,1.0,368,5,216,CORDOBA
212.0,CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",JUNTOS POR EL CAMBIO,5.54,1.42,33.54,1.83,56.35,1.33,2280,583,13813,754,23206,549,80.16,52854,42369,1.76,0.01,1.03,744,3,437,CORDOBA
213.0,CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",JUNTOS POR EL CAMBIO,5.97,1.15,31.48,1.39,58.42,1.58,4079,788,21500,947,39897,1079,80.13,87554,70155,2.06,0.04,0.55,1448,31,386,CORDOBA
214.0,CORDOBA_MINAS,"Minas, Cordoba",FRENTE DE TODOS,4.32,1.04,57.92,0.72,35.57,0.43,150,36,2011,25,1235,15,70.57,5077,3583,2.4,0.0,0.7,86,0,25,CORDOBA
