Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
231.0,CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",FRENTE DE TODOS,2.88,0.73,58.54,1.18,35.68,0.99,622,159,12663,255,7719,215,82.89,26425,21905,0.57,0.06,0.62,124,13,135,CORRIENTES
232.0,CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",FRENTE DE TODOS,1.06,0.85,53.5,0.58,43.58,0.42,20,16,1008,11,821,8,77.45,2461,1906,0.73,0.05,0.37,14,1,7,CORRIENTES
233.0,CORRIENTES_CAPITAL,"Capital, Corrientes",JUNTOS POR EL CAMBIO,4.12,1.35,39.04,2.43,51.6,1.46,9217,3015,87273,5439,115357,3268,83.1,273880,227590,0.51,0.14,1.11,1155,330,2536,CORRIENTES
234.0,CORRIENTES_CONCEPCION,"Concepcion, Corrientes",FRENTE DE TODOS,2.16,0.83,65.81,1.25,29.47,0.48,240,92,7301,139,3269,53,80.07,14066,11263,0.65,0.05,0.8,73,6,90,CORRIENTES
235.0,CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",FRENTE DE TODOS,2.97,1.07,55.58,1.66,37.74,0.97,661,238,12350,369,8386,216,77.7,29050,22573,0.51,0.35,0.7,115,79,159,CORRIENTES
236.0,CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",FRENTE DE TODOS,3.42,1.15,55.77,1.16,37.95,0.54,315,106,5132,107,3492,50,79.54,11774,9365,0.53,0.05,1.15,50,5,108,CORRIENTES
237.0,CORRIENTES_ESQUINA,"Esquina, Corrientes",FRENTE DE TODOS,2.96,0.68,61.1,1.47,33.14,0.65,499,115,10294,247,5583,109,73.63,23203,17084,0.71,0.15,0.53,122,25,90,CORRIENTES
238.0,CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",FRENTE DE TODOS,1.88,0.35,57.36,1.34,38.37,0.7,80,15,2447,57,1637,30,72.41,5955,4312,0.49,0.07,0.51,21,3,22,CORRIENTES
239.0,CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",FRENTE DE TODOS,1.7,0.55,57.29,0.93,38.8,0.72,141,46,4753,77,3219,60,78.17,10733,8390,0.55,0.05,0.52,46,4,44,CORRIENTES
240.0,CORRIENTES_GOYA,"Goya, Corrientes",FRENTE DE TODOS,3.4,0.96,59.21,1.33,34.12,0.98,1709,484,29780,668,17160,494,81.54,62593,51037,0.57,0.04,0.84,293,21,428,CORRIENTES
