Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
256.0,ENTRE RIOS_COLON,"Colon, Entre Rios",JUNTOS POR EL CAMBIO,6.81,1.86,43.05,1.77,44.8,1.71,2950,805,18652,766,19409,741,79.27,55508,44000,0.6,0.02,0.91,265,10,402,ENTRE RIOS
257.0,ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",FRENTE DE TODOS,4.65,1.55,52.29,2.04,37.99,1.48,5276,1765,59363,2315,43122,1680,81.42,141631,115320,0.67,0.04,0.86,770,43,986,ENTRE RIOS
258.0,ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",JUNTOS POR EL CAMBIO,6.7,1.25,37.91,1.2,50.96,1.97,2134,399,12082,383,16242,629,77.93,41576,32399,0.66,0.03,0.94,215,9,306,ENTRE RIOS
259.0,ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",JUNTOS POR EL CAMBIO,4.41,1.17,43.22,1.93,47.74,1.52,2166,577,21240,949,23460,749,82.82,60324,49959,0.83,0.05,0.76,414,25,379,ENTRE RIOS
260.0,ENTRE RIOS_FEDERAL,"Federal, Entre Rios",FRENTE DE TODOS,3.22,0.93,58.68,1.19,34.86,1.13,605,174,11035,224,6555,212,80.68,23700,19121,0.99,0.02,0.64,189,4,123,ENTRE RIOS
261.0,ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",FRENTE DE TODOS,3.18,0.8,60.23,1.24,34.05,0.51,323,81,6125,126,3463,52,78.67,13134,10332,0.79,0.06,0.72,82,6,74,ENTRE RIOS
262.0,ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",JUNTOS POR EL CAMBIO,6.25,1.6,41.83,1.71,47.17,1.44,2245,575,15027,615,16947,518,79.74,45772,36499,0.84,0.08,0.65,306,28,238,ENTRE RIOS
263.0,ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",JUNTOS POR EL CAMBIO,6.67,1.76,39.76,1.62,48.54,1.65,5374,1420,32016,1303,39087,1331,83.64,97748,81757,0.65,0.03,0.82,531,23,672,ENTRE RIOS
264.0,ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",FRENTE DE TODOS,4.66,1.67,55.02,1.8,35.98,0.87,430,154,5075,166,3319,80,80.02,11701,9363,0.72,0.0,0.77,67,0,72,ENTRE RIOS
265.0,ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",FRENTE DE TODOS,4.26,1.0,55.76,1.8,36.13,1.05,1909,450,25004,808,16203,469,78.77,57806,45536,0.69,0.1,0.73,316,44,333,ENTRE RIOS
266.0,ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",FRENTE DE TODOS,7.23,1.5,44.64,1.09,44.26,1.28,1938,401,11958,291,11858,343,80.34,33824,27173,0.84,0.03,0.54,229,8,147,ENTRE RIOS
267.0,ENTRE RIOS_PARANA,"Parana, Entre Rios",JUNTOS POR EL CAMBIO,7.65,1.91,39.92,1.7,46.85,1.97,18816,4692,98142,4170,115159,4843,82.06,305554,250733,0.85,0.06,1.06,2122,140,2649,ENTRE RIOS
268.0,ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",JUNTOS POR EL CAMBIO,4.45,0.86,43.96,1.48,48.21,1.04,588,114,5808,196,6370,137,82.69,16335,13507,1.49,0.01,0.67,201,2,91,ENTRE RIOS
269.0,ENTRE RIOS_TALA,"Tala, Entre Rios",FRENTE DE TODOS,6.25,1.43,45.26,1.5,44.18,1.38,1164,267,8427,280,8226,257,78.62,24126,18969,0.91,0.05,0.87,173,10,165,ENTRE RIOS
270.0,ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",JUNTOS POR EL CAMBIO,6.78,2.32,41.68,1.54,46.11,1.58,4665,1595,28701,1058,31748,1087,80.95,86427,69964,0.66,0.04,0.89,463,25,622,ENTRE RIOS
271.0,ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",JUNTOS POR EL CAMBIO,7.89,1.51,42.83,0.95,45.42,1.41,1935,370,10509,234,11145,346,79.63,31209,24853,0.58,0.02,0.66,145,5,164,ENTRE RIOS
272.0,ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",FRENTE DE TODOS,5.13,1.63,47.59,1.92,42.36,1.38,1594,507,14797,596,13173,428,77.78,40709,31662,0.87,0.06,0.86,275,19,273,ENTRE RIOS
