Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
282.0,JUJUY_COCHINOCA,"Cochinoca, Jujuy",FRENTE DE TODOS,6.48,2.96,56.61,3.98,28.2,1.78,518,237,4528,318,2256,142,77.99,10514,8200,0.96,0.07,1.41,79,6,116,JUJUY
283.0,JUJUY_EL CARMEN,"El Carmen, Jujuy",FRENTE DE TODOS,6.18,1.91,46.26,3.0,41.0,1.65,3880,1201,29040,1884,25739,1033,84.26,75748,63824,0.63,0.07,0.94,401,47,599,JUJUY
284.0,JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",JUNTOS POR EL CAMBIO,6.38,2.11,37.33,2.27,49.57,2.34,11013,3633,64416,3919,85528,4036,81.88,214719,175803,0.69,0.05,1.1,1221,96,1941,JUJUY
285.0,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",FRENTE DE TODOS,7.42,3.75,57.84,2.73,26.41,1.85,814,411,6343,299,2896,203,78.21,14415,11274,1.21,0.06,1.46,136,7,165,JUJUY
286.0,JUJUY_LEDESMA,"Ledesma, Jujuy",FRENTE DE TODOS,4.84,1.87,56.14,1.78,34.14,1.23,2508,971,29104,924,17701,636,81.13,65266,52948,0.97,0.05,1.07,512,27,565,JUJUY
287.0,JUJUY_PALPALA,"Palpala, Jujuy",FRENTE DE TODOS,7.81,2.56,42.64,2.62,41.57,2.8,2813,921,15356,943,14968,1010,84.05,43625,36668,0.7,0.04,1.06,257,13,387,JUJUY
288.0,JUJUY_RINCONADA,"Rinconada, Jujuy",FRENTE DE TODOS,4.65,1.33,62.05,2.47,28.46,1.04,49,14,654,26,300,11,70.14,1544,1083,1.48,0.0,1.2,16,0,13,JUJUY
289.0,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",JUNTOS POR EL CAMBIO,5.5,1.37,40.61,2.83,48.31,1.37,192,48,1419,99,1688,48,81.24,4403,3577,0.95,0.2,1.17,34,7,42,JUJUY
290.0,JUJUY_SAN PEDRO,"San Pedro, Jujuy",FRENTE DE TODOS,5.0,1.76,54.63,1.93,35.15,1.53,2552,899,27913,986,17956,784,82.46,63114,52042,0.87,0.04,0.92,455,19,478,JUJUY
291.0,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",FRENTE DE TODOS,3.21,0.99,60.31,1.82,33.14,0.53,368,113,6904,208,3794,61,81.74,14215,11619,0.64,0.04,0.79,74,5,92,JUJUY
292.0,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",FRENTE DE TODOS,2.83,1.12,66.33,2.24,26.25,1.23,53,21,1243,42,492,23,73.39,2634,1933,2.07,0.0,0.98,40,0,19,JUJUY
293.0,JUJUY_SUSQUES,"Susques, Jujuy",FRENTE DE TODOS,4.59,5.2,53.28,1.88,33.93,1.14,105,119,1220,43,777,26,75.06,3144,2360,1.23,0.21,1.53,29,5,36,JUJUY
294.0,JUJUY_TILCARA,"Tilcara, Jujuy",FRENTE DE TODOS,4.99,2.04,57.26,2.74,31.4,1.57,412,168,4726,226,2592,130,81.14,10421,8456,1.08,0.09,1.22,91,8,103,JUJUY
295.0,JUJUY_TUMBAYA,"Tumbaya, Jujuy",FRENTE DE TODOS,4.78,1.49,50.69,1.1,40.9,1.04,170,53,1801,39,1453,37,83.0,4342,3604,0.75,0.03,0.64,27,1,23,JUJUY
296.0,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",JUNTOS POR EL CAMBIO,0.49,0.16,37.6,0.0,61.59,0.16,3,1,232,0,380,1,75.55,822,621,0.48,0.0,0.16,3,0,1,JUJUY
297.0,JUJUY_YAVI,"Yavi, Jujuy",FRENTE DE TODOS,6.79,2.5,58.27,3.04,27.2,2.2,853,314,7321,382,3417,277,73.73,17531,12925,1.32,0.02,1.45,171,3,187,JUJUY
