Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
298.0,LA PAMPA_ATREUCO,"Atreuco, La Pampa",FRENTE DE TODOS,6.1,1.45,46.84,1.06,43.17,1.39,467,111,3584,81,3303,106,83.37,9318,7768,0.71,0.03,0.76,55,2,59,LA PAMPA
299.0,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",FRENTE DE TODOS,4.96,1.15,66.11,1.45,24.58,1.76,65,15,866,19,322,23,81.31,1632,1327,0.45,0.0,0.83,6,0,11,LA PAMPA
300.0,LA PAMPA_CAPITAL,"Capital, La Pampa",FRENTE DE TODOS,6.83,2.48,54.27,1.8,32.84,1.79,4944,1793,39292,1300,23781,1294,80.98,90939,73645,0.65,0.07,0.97,477,53,711,LA PAMPA
301.0,LA PAMPA_CATRILO,"Catrilo, La Pampa",FRENTE DE TODOS,5.85,1.98,51.21,1.34,38.97,0.65,296,100,2590,68,1971,33,82.35,6221,5123,0.41,0.02,0.84,21,1,43,LA PAMPA
302.0,LA PAMPA_CHALILEO,"Chalileo, La Pampa",FRENTE DE TODOS,6.79,2.69,59.07,2.96,27.02,1.48,101,40,879,44,402,22,79.93,1883,1505,0.27,0.33,0.53,4,5,8,LA PAMPA
303.0,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",FRENTE DE TODOS,5.44,1.24,47.48,2.1,42.78,0.96,442,101,3858,171,3476,78,82.52,9979,8235,0.5,0.06,0.77,41,5,63,LA PAMPA
304.0,LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",FRENTE DE TODOS,6.41,2.97,61.44,5.26,22.2,1.72,67,31,642,55,232,18,79.25,1340,1062,1.13,0.19,0.28,12,2,3,LA PAMPA
305.0,LA PAMPA_CONHELO,"Conhelo, La Pampa",FRENTE DE TODOS,6.23,1.46,52.21,1.48,37.12,1.51,633,148,5306,150,3773,153,81.52,12614,10283,0.53,0.03,0.6,55,3,62,LA PAMPA
306.0,LA PAMPA_CURACO,"Curaco, La Pampa",FRENTE DE TODOS,6.3,2.0,68.05,2.61,20.43,0.61,41,13,443,17,133,4,78.29,843,660,1.06,0.0,0.3,7,0,2,LA PAMPA
307.0,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",JUNTOS POR EL CAMBIO,6.44,1.58,36.0,1.48,52.84,1.65,382,94,2136,88,3135,98,75.75,7941,6015,0.88,0.03,0.45,53,2,27,LA PAMPA
