Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
320.0,LA RIOJA_ARAUCO,"Arauco, La Rioja",FRENTE DE TODOS,2.45,0.45,59.47,0.89,36.0,0.74,165,30,4009,60,2427,50,79.47,12039,9567,27.65,0.04,1.85,2645,4,177,LA RIOJA
321.0,LA RIOJA_CAPITAL,"Capital, La Rioja",JUNTOS POR EL CAMBIO,5.14,1.38,38.84,1.38,51.08,2.19,4733,1273,35790,1271,47076,2015,76.5,149735,114546,18.4,0.19,0.96,21074,217,1097,LA RIOJA
322.0,LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",FRENTE DE TODOS,3.57,0.67,59.29,0.64,34.68,1.15,112,21,1860,20,1088,36,85.18,4425,3769,16.26,0.13,0.37,613,5,14,LA RIOJA
323.0,LA RIOJA_CHAMICAL,"Chamical, La Rioja",FRENTE DE TODOS,3.96,0.79,50.91,1.19,42.14,1.01,270,54,3472,81,2874,69,74.97,11911,8930,22.64,0.04,0.94,2022,4,84,LA RIOJA
324.0,LA RIOJA_CHILECITO,"Chilecito, La Rioja",JUNTOS POR EL CAMBIO,4.93,1.31,42.22,1.27,49.38,0.9,1138,302,9754,293,11409,208,77.03,40296,31041,24.46,0.02,1.09,7593,6,338,LA RIOJA
325.0,LA RIOJA_FAMATINA,"Famatina, La Rioja",FRENTE DE TODOS,4.61,0.7,54.96,0.73,37.87,1.12,157,24,1872,25,1290,38,83.17,5366,4463,23.37,0.0,0.31,1043,0,14,LA RIOJA
326.0,LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",FRENTE DE TODOS,3.08,0.81,65.33,0.44,29.78,0.57,183,48,3885,26,1771,34,78.63,8777,6901,13.27,0.03,0.52,916,2,36,LA RIOJA
327.0,LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",FRENTE DE TODOS,1.95,0.06,71.06,0.49,25.59,0.85,32,1,1169,8,421,14,81.12,2489,2019,17.98,0.05,0.5,363,1,10,LA RIOJA
328.0,LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",FRENTE DE TODOS,2.46,0.58,50.27,1.34,44.95,0.41,97,23,1985,53,1775,16,73.15,6882,5034,21.2,0.0,0.36,1067,0,18,LA RIOJA
329.0,LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",FRENTE DE TODOS,1.9,0.47,69.67,0.63,26.15,1.18,24,6,882,8,331,15,91.58,1722,1577,14.65,0.0,5.07,231,0,80,LA RIOJA
330.0,LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",FRENTE DE TODOS,1.56,0.07,78.29,0.37,19.19,0.53,68,3,3423,16,839,23,80.59,6351,5118,13.93,0.08,0.57,713,4,29,LA RIOJA
331.0,LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",FRENTE DE TODOS,2.04,0.43,60.35,0.3,36.73,0.13,61,13,1804,9,1098,4,83.78,3939,3300,8.79,0.0,0.64,290,0,21,LA RIOJA
332.0,LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",FRENTE DE TODOS,1.95,0.46,72.93,0.33,24.27,0.07,30,7,1121,5,373,1,87.75,2335,2049,24.84,0.0,0.15,509,0,3,LA RIOJA
333.0,LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",FRENTE DE TODOS,2.35,0.41,70.07,0.9,25.99,0.27,52,9,1550,20,575,6,78.49,3514,2758,19.58,0.0,0.22,540,0,6,LA RIOJA
334.0,LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",FRENTE DE TODOS,2.96,1.06,72.44,1.19,21.2,1.15,240,86,5866,96,1717,93,77.03,12424,9570,14.98,0.01,0.39,1434,1,37,LA RIOJA
335.0,LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",FRENTE DE TODOS,1.27,0.37,65.67,0.16,32.04,0.49,31,9,1607,4,784,12,83.99,3316,2785,11.74,0.0,0.39,327,0,11,LA RIOJA
336.0,LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",FRENTE DE TODOS,3.66,0.89,66.29,0.25,27.57,1.34,74,18,1339,5,557,27,88.81,2860,2540,19.76,0.0,0.71,502,0,18,LA RIOJA
337.0,LA RIOJA_VINCHINA,"Vinchina, La Rioja",FRENTE DE TODOS,2.04,0.43,70.25,0.68,26.3,0.31,33,7,1138,11,426,5,76.1,2469,1879,11.34,2.29,0.16,213,43,3,LA RIOJA
