Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
338.0,MENDOZA_CAPITAL,"Capital, Mendoza",JUNTOS POR EL CAMBIO,5.05,2.1,28.13,0.95,62.5,1.27,3916,1630,21818,738,48467,984,79.51,99335,78980,0.7,0.07,1.03,554,56,817,MENDOZA
339.0,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",FRENTE DE TODOS,5.83,1.4,46.2,6.21,38.82,1.55,1730,414,13711,1842,11519,459,80.71,37333,30132,0.75,0.07,0.69,226,22,209,MENDOZA
340.0,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",JUNTOS POR EL CAMBIO,6.37,2.44,30.95,1.1,57.81,1.34,7881,3016,38303,1360,71555,1659,81.23,155433,126252,0.68,0.05,1.24,860,58,1560,MENDOZA
341.0,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",JUNTOS POR EL CAMBIO,6.49,2.41,33.5,1.42,54.92,1.26,11701,4343,60416,2563,99042,2272,81.94,224628,184053,0.56,0.06,1.4,1030,103,2583,MENDOZA
342.0,MENDOZA_JUNIN,"Junin, Mendoza",JUNTOS POR EL CAMBIO,7.14,2.48,37.42,1.29,50.49,1.17,2021,702,10590,366,14289,331,84.71,34255,29017,0.79,0.12,1.56,229,36,453,MENDOZA
343.0,MENDOZA_LA PAZ,"La Paz, Mendoza",FRENTE DE TODOS,4.21,1.2,51.86,1.08,40.98,0.68,309,88,3809,79,3010,50,86.21,8667,7472,1.03,0.01,0.66,77,1,49,MENDOZA
344.0,MENDOZA_LAS HERAS,"Las Heras, Mendoza",JUNTOS POR EL CAMBIO,7.0,2.56,40.36,1.82,47.06,1.2,8770,3208,50593,2281,58993,1502,82.04,156340,128258,0.7,0.1,1.48,892,123,1896,MENDOZA
345.0,MENDOZA_LAVALLE,"Lavalle, Mendoza",FRENTE DE TODOS,6.48,2.52,54.86,1.76,33.58,0.79,1722,670,14575,468,8920,211,84.2,32122,27046,0.77,0.03,0.98,207,7,266,MENDOZA
346.0,MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",JUNTOS POR EL CAMBIO,6.66,2.49,32.55,1.28,55.93,1.09,5771,2160,28226,1110,48494,948,84.69,104598,88588,0.68,0.05,1.4,601,42,1236,MENDOZA
347.0,MENDOZA_MAIPU,"Maipu, Mendoza",JUNTOS POR EL CAMBIO,7.43,2.36,38.83,1.31,48.82,1.25,8683,2760,45358,1527,57033,1457,84.23,142208,119784,0.83,0.05,1.6,990,59,1917,MENDOZA
348.0,MENDOZA_MALARGÜE,"Malargüe, Mendoza",FRENTE DE TODOS,7.79,2.18,42.46,4.67,41.25,1.65,1340,374,7301,803,7092,284,78.84,22317,17594,0.96,0.06,1.25,169,11,220,MENDOZA
349.0,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",JUNTOS POR EL CAMBIO,6.39,2.09,40.51,1.29,48.75,0.97,2295,750,14546,462,17505,348,83.81,43751,36668,0.92,0.04,1.12,337,14,411,MENDOZA
350.0,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",JUNTOS POR EL CAMBIO,7.68,2.53,39.58,2.06,47.04,1.11,1649,544,8501,442,10104,239,84.54,25893,21889,0.74,0.12,1.01,162,26,222,MENDOZA
351.0,MENDOZA_SAN MARTIN,"San Martin, Mendoza",JUNTOS POR EL CAMBIO,6.64,2.37,42.56,1.7,45.61,1.11,5095,1821,32644,1301,34984,853,82.73,94546,78217,0.65,0.05,1.24,512,36,971,MENDOZA
352.0,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",FRENTE DE TODOS,6.75,1.63,42.94,4.57,42.54,1.58,7840,1893,49900,5312,49434,1837,81.33,146020,118760,0.87,0.04,1.23,1035,51,1458,MENDOZA
353.0,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",FRENTE DE TODOS,5.56,1.68,59.56,1.18,31.13,0.89,628,190,6730,133,3518,101,85.22,13522,11524,1.26,0.1,0.58,145,12,67,MENDOZA
354.0,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",JUNTOS POR EL CAMBIO,6.92,2.73,40.54,2.84,45.77,1.21,2249,887,13177,923,14876,392,83.05,39881,33122,0.74,0.04,1.09,246,12,360,MENDOZA
355.0,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",FRENTE DE TODOS,7.0,2.88,43.7,3.47,41.76,1.2,1443,593,9008,715,8608,248,84.39,24894,21007,0.58,0.1,1.19,121,20,251,MENDOZA
