Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
356.0,MISIONES_25 DE MAYO,"25 De Mayo, Misiones",FRENTE DE TODOS,1.5,0.44,75.5,3.81,18.11,0.65,257,75,12949,654,3106,111,79.55,22012,17511,1.87,0.06,0.11,328,11,20,MISIONES
357.0,MISIONES_APOSTOLES,"Apostoles, Misiones",FRENTE DE TODOS,3.25,0.83,54.9,2.87,37.07,1.09,865,221,14620,763,9872,289,81.81,33487,27396,1.56,0.15,1.09,427,41,298,MISIONES
358.0,MISIONES_CAINGUAS,"Cainguas, Misiones",FRENTE DE TODOS,2.64,0.68,68.94,3.82,23.09,0.84,905,234,23650,1309,7922,287,81.27,43457,35319,2.18,0.05,0.63,770,19,223,MISIONES
359.0,MISIONES_CANDELARIA,"Candelaria, Misiones",FRENTE DE TODOS,3.17,0.9,65.5,1.82,27.74,0.88,572,162,11817,328,5005,158,79.1,23404,18512,1.57,0.15,0.82,290,28,152,MISIONES
360.0,MISIONES_CAPITAL,"Capital, Misiones",JUNTOS POR EL CAMBIO,4.49,1.35,44.73,2.87,44.81,1.75,9695,2917,96536,6183,96694,3780,80.1,276803,221728,1.36,0.2,1.11,3014,440,2469,MISIONES
361.0,MISIONES_CONCEPCION,"Concepcion De La Sierra, Misiones",FRENTE DE TODOS,2.04,0.59,64.83,1.38,30.55,0.61,118,34,3748,80,1766,35,77.65,7646,5937,1.99,0.2,0.44,118,12,26,MISIONES
362.0,MISIONES_ELDORADO,"El Dorado, Misiones",FRENTE DE TODOS,3.48,1.38,60.4,3.05,30.5,1.18,1761,699,30594,1547,15449,599,79.99,64802,51832,1.43,0.07,0.79,739,35,409,MISIONES
363.0,MISIONES_GENERAL MANUEL BELGRANO,"General Manuel Belgrano, Misiones",FRENTE DE TODOS,1.7,0.45,73.05,2.72,21.55,0.54,399,105,17135,638,5055,126,77.08,31294,24120,1.75,0.37,0.62,422,90,150,MISIONES
364.0,MISIONES_GUARANI,"Guarani, Misiones",FRENTE DE TODOS,1.79,0.4,74.31,1.55,21.42,0.52,745,168,30878,645,8900,218,78.63,54350,42738,2.05,0.07,0.66,874,29,281,MISIONES
365.0,MISIONES_IGUAZU,"Iguazu, Misiones",FRENTE DE TODOS,3.56,1.22,58.19,2.6,33.18,1.24,1828,628,29846,1335,17021,634,77.27,68211,52704,1.51,0.06,1.12,794,29,589,MISIONES
366.0,MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",FRENTE DE TODOS,3.05,0.62,58.24,4.08,32.88,1.13,939,191,17931,1255,10124,348,83.91,38020,31903,2.73,0.05,0.72,871,15,229,MISIONES
367.0,MISIONES_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Misiones",FRENTE DE TODOS,3.37,0.82,55.0,2.19,37.69,0.92,1016,246,16568,661,11353,277,81.54,37924,30925,1.8,0.08,0.72,556,25,223,MISIONES
368.0,MISIONES_MONTECARLO,"Montecarlo, Misiones",FRENTE DE TODOS,4.33,1.11,60.82,3.13,29.63,0.98,926,237,13003,669,6335,209,79.52,27513,21877,1.46,0.04,0.78,319,8,171,MISIONES
369.0,MISIONES_OBERA,"Obera, Misiones",FRENTE DE TODOS,3.02,0.65,58.07,4.2,32.83,1.24,2081,449,40057,2894,22645,856,81.43,86778,70664,1.54,0.08,0.76,1089,54,539,MISIONES
370.0,MISIONES_SAN IGNACIO,"San Ignacio, Misiones",FRENTE DE TODOS,2.64,0.69,63.9,2.55,29.4,0.82,947,247,22941,917,10554,294,80.77,45472,36729,1.48,0.11,0.67,544,40,245,MISIONES
371.0,MISIONES_SAN JAVIER,"San Javier, Misiones",FRENTE DE TODOS,1.83,0.29,65.83,1.97,29.67,0.42,250,39,8978,268,4046,57,79.53,17527,13939,1.51,0.17,0.48,211,23,67,MISIONES
372.0,MISIONES_SAN PEDRO,"San Pedro, Misiones",FRENTE DE TODOS,1.73,0.55,80.67,2.69,13.9,0.46,271,86,12613,421,2173,72,79.25,20170,15985,1.83,0.01,0.34,293,1,55,MISIONES
