Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
373.0,NEUQUEN_ALUMINE,"Alumine, Neuquen",FRENTE DE TODOS,4.5,3.78,56.85,2.84,30.55,1.48,238,200,3005,150,1615,78,80.72,6990,5642,4.84,0.25,1.22,273,14,69,NEUQUEN
374.0,NEUQUEN_AÑELO,"Añelo, Neuquen",FRENTE DE TODOS,4.98,2.68,62.21,2.49,26.12,1.52,457,246,5712,229,2398,140,78.27,12692,9934,4.93,0.07,2.57,490,7,255,NEUQUEN
375.0,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",FRENTE DE TODOS,3.49,2.66,76.93,1.58,14.19,1.16,42,32,927,19,171,14,79.85,1603,1280,4.92,0.08,0.86,63,1,11,NEUQUEN
376.0,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",FRENTE DE TODOS,5.45,2.99,57.11,2.55,30.27,1.64,522,286,5471,244,2900,157,80.9,12622,10211,4.93,0.06,1.19,503,6,122,NEUQUEN
377.0,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",FRENTE DE TODOS,4.45,2.94,60.18,3.15,27.64,1.65,127,84,1718,90,789,47,81.91,3698,3029,4.49,0.07,1.19,136,2,36,NEUQUEN
378.0,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",FRENTE DE TODOS,6.53,3.99,46.39,2.83,38.09,2.16,17392,10624,123478,7529,101383,5745,85.45,323961,276827,2.3,0.08,1.48,6359,230,4087,NEUQUEN
379.0,NEUQUEN_HUILICHES,"Huiliches, Neuquen",FRENTE DE TODOS,6.12,3.55,50.31,2.38,36.37,1.27,663,385,5454,258,3943,138,82.36,13926,11469,3.82,0.04,1.61,438,5,185,NEUQUEN
380.0,NEUQUEN_LACAR,"Lacar, Neuquen",JUNTOS POR EL CAMBIO,5.87,4.39,36.83,2.15,48.6,2.15,1278,955,8013,468,10573,468,79.05,28918,22861,2.16,0.08,2.6,493,19,594,NEUQUEN
381.0,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",FRENTE DE TODOS,6.16,2.53,62.13,1.89,25.84,1.44,248,102,2500,76,1040,58,84.54,5355,4527,9.12,0.11,1.88,413,5,85,NEUQUEN
382.0,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",JUNTOS POR EL CAMBIO,5.97,3.28,38.49,2.83,47.62,1.8,497,273,3202,235,3961,150,77.68,11358,8823,4.4,0.09,1.24,388,8,109,NEUQUEN
383.0,NEUQUEN_MINAS,"Minas, Neuquen",FRENTE DE TODOS,4.92,3.1,67.99,3.76,18.86,1.37,241,152,3330,184,924,67,84.32,6567,5537,10.08,0.04,1.43,558,2,79,NEUQUEN
384.0,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",FRENTE DE TODOS,6.07,2.38,48.69,6.28,34.75,1.84,891,350,7150,922,5103,270,79.89,20254,16181,6.99,0.04,2.21,1131,7,357,NEUQUEN
385.0,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",FRENTE DE TODOS,5.54,2.12,68.49,1.82,20.95,1.08,180,69,2226,59,681,35,83.08,4108,3413,3.31,0.26,1.2,113,9,41,NEUQUEN
386.0,NEUQUEN_PICUNCHES,"Picunches, Neuquen",FRENTE DE TODOS,4.09,1.73,52.54,3.03,37.35,1.26,182,77,2339,135,1663,56,82.61,5761,4759,5.19,0.02,1.24,247,1,59,NEUQUEN
387.0,NEUQUEN_ZAPALA,"Zapala, Neuquen",FRENTE DE TODOS,6.77,3.42,46.03,3.01,38.79,1.99,1796,907,12215,798,10294,528,84.61,32730,27694,2.73,0.05,1.4,755,14,387,NEUQUEN
388.0,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",FRENTE DE TODOS,5.21,2.56,68.66,2.0,20.0,1.57,169,83,2228,65,649,51,82.56,4351,3592,8.63,0.0,1.03,310,0,37,NEUQUEN
