Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
389.0,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",FRENTE DE TODOS,3.3,1.44,76.1,3.07,15.15,0.95,286,125,6596,266,1313,82,76.14,11946,9096,3.96,0.05,0.69,360,5,63,RIO NEGRO
390.0,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",FRENTE DE TODOS,6.79,2.51,54.79,3.64,30.15,2.13,2760,1019,22277,1479,12259,865,79.99,52908,42320,2.39,0.26,1.27,1012,112,537,RIO NEGRO
391.0,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",FRENTE DE TODOS,5.08,1.67,60.97,3.23,27.68,1.37,1136,374,13643,723,6194,307,82.57,28863,23832,4.33,0.23,1.55,1031,55,369,RIO NEGRO
392.0,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",FRENTE DE TODOS,6.86,3.51,55.83,2.78,28.94,2.07,6066,3105,49358,2458,25584,1832,78.55,116283,91341,1.73,0.08,1.4,1583,74,1281,RIO NEGRO
393.0,RIO NEGRO_CONESA,"Conesa, Rio Negro",FRENTE DE TODOS,5.49,1.49,60.04,2.61,29.25,1.12,221,60,2418,105,1178,45,80.49,5552,4469,8.73,0.13,1.03,390,6,46,RIO NEGRO
394.0,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",FRENTE DE TODOS,3.3,2.1,73.91,2.14,18.09,0.47,85,54,1904,55,466,12,79.25,3455,2738,3.47,0.22,2.23,95,6,61,RIO NEGRO
395.0,RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",FRENTE DE TODOS,6.2,2.59,56.3,3.35,29.46,2.09,13100,5473,118890,7082,62219,4412,82.94,266224,220810,2.7,0.13,1.53,5960,298,3376,RIO NEGRO
396.0,RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",FRENTE DE TODOS,3.77,1.72,78.68,4.77,10.25,0.81,79,36,1650,100,215,17,73.51,2994,2201,4.0,0.05,0.68,88,1,15,RIO NEGRO
397.0,RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",FRENTE DE TODOS,6.9,1.48,56.63,1.98,31.38,1.63,668,143,5483,192,3039,158,79.43,12589,10000,2.01,0.13,1.03,201,13,103,RIO NEGRO
398.0,RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",FRENTE DE TODOS,5.86,2.23,59.63,2.82,27.44,2.02,337,128,3427,162,1577,116,80.37,7560,6076,4.46,0.02,0.94,271,1,57,RIO NEGRO
399.0,RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",FRENTE DE TODOS,4.98,1.81,61.31,4.89,25.33,1.68,953,347,11736,936,4848,322,77.53,26582,20609,5.96,0.15,1.01,1229,30,208,RIO NEGRO
400.0,RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",FRENTE DE TODOS,3.94,1.3,67.35,3.87,22.2,1.34,112,37,1914,110,631,38,73.77,4064,2998,3.84,0.33,1.03,115,10,31,RIO NEGRO
401.0,RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",FRENTE DE TODOS,3.25,1.91,76.66,3.93,13.02,1.23,29,17,683,35,116,11,68.74,1382,950,5.58,0.0,0.63,53,0,6,RIO NEGRO
