Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
479.0,SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",FRENTE DE TODOS,1.63,0.44,67.78,0.51,29.31,0.33,89,24,3704,28,1602,18,78.7,7051,5549,0.99,0.14,0.38,55,8,21,SANTIAGO DEL ESTERO
480.0,SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",FRENTE DE TODOS,1.04,0.28,85.21,1.18,12.03,0.27,106,28,8658,120,1222,27,76.2,13489,10278,0.82,0.13,0.19,84,13,20,SANTIAGO DEL ESTERO
481.0,SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",FRENTE DE TODOS,0.89,0.43,87.29,1.78,9.43,0.17,68,33,6634,135,717,13,80.32,9577,7692,0.6,0.17,0.43,46,13,33,SANTIAGO DEL ESTERO
482.0,SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",FRENTE DE TODOS,1.46,0.45,84.77,0.85,12.11,0.36,208,64,12115,122,1730,52,80.92,17839,14435,0.7,0.1,0.2,101,14,29,SANTIAGO DEL ESTERO
483.0,SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",FRENTE DE TODOS,4.08,1.15,73.52,1.63,18.65,0.97,3933,1114,70937,1572,17999,937,80.26,122227,98101,0.96,0.1,0.58,942,102,565,SANTIAGO DEL ESTERO
484.0,SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",FRENTE DE TODOS,2.84,0.5,55.27,2.0,38.75,0.64,172,30,3346,121,2346,39,78.27,7851,6145,0.96,0.11,0.41,59,7,25,SANTIAGO DEL ESTERO
485.0,SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",FRENTE DE TODOS,5.31,1.45,64.6,1.92,25.29,1.42,10049,2754,122271,3643,47875,2692,81.76,236406,193274,1.22,0.12,0.72,2349,240,1401,SANTIAGO DEL ESTERO
486.0,SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",FRENTE DE TODOS,2.72,0.96,79.47,1.02,15.04,0.79,630,222,18404,237,3482,183,78.94,29869,23580,1.11,0.13,0.56,261,30,131,SANTIAGO DEL ESTERO
487.0,SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",FRENTE DE TODOS,1.27,0.62,84.4,1.27,12.11,0.33,220,107,14637,221,2101,57,75.67,23165,17529,0.7,0.1,0.26,123,18,45,SANTIAGO DEL ESTERO
488.0,SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",FRENTE DE TODOS,0.88,0.26,93.18,1.58,3.8,0.3,91,27,9639,163,393,31,75.99,13736,10438,0.61,0.15,0.13,64,16,14,SANTIAGO DEL ESTERO
489.0,SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",FRENTE DE TODOS,1.03,0.44,92.97,0.35,4.92,0.28,58,25,5252,20,278,16,81.52,7017,5720,0.8,0.07,0.37,46,4,21,SANTIAGO DEL ESTERO
490.0,SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",FRENTE DE TODOS,1.06,0.37,91.02,0.26,7.21,0.1,87,30,7476,21,592,8,77.67,10670,8287,0.65,0.01,0.22,54,1,18,SANTIAGO DEL ESTERO
491.0,SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",FRENTE DE TODOS,0.95,0.57,81.83,5.42,10.92,0.31,101,60,8672,574,1157,33,79.54,13431,10683,0.66,0.01,0.14,70,1,15,SANTIAGO DEL ESTERO
492.0,SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",FRENTE DE TODOS,2.29,0.75,79.13,1.12,16.1,0.62,313,102,10827,153,2203,85,76.01,18237,13862,0.87,0.04,0.38,120,6,53,SANTIAGO DEL ESTERO
493.0,SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",FRENTE DE TODOS,1.78,0.14,70.41,1.23,26.3,0.14,13,1,514,9,192,1,69.63,1080,752,2.13,0.27,0.53,16,2,4,SANTIAGO DEL ESTERO
494.0,SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",FRENTE DE TODOS,1.57,0.51,78.79,1.68,17.15,0.31,313,101,15721,335,3422,62,77.1,26195,20197,0.76,0.07,0.37,154,15,74,SANTIAGO DEL ESTERO
495.0,SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",FRENTE DE TODOS,2.14,0.57,76.24,1.02,19.52,0.5,213,57,7594,102,1944,50,79.12,12818,10141,1.18,0.09,0.51,120,9,52,SANTIAGO DEL ESTERO
496.0,SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",FRENTE DE TODOS,1.17,0.17,87.06,0.59,10.74,0.27,155,23,11572,78,1428,36,77.93,17206,13409,0.58,0.1,0.19,78,13,26,SANTIAGO DEL ESTERO
497.0,SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",FRENTE DE TODOS,2.93,0.78,76.94,0.47,18.02,0.87,176,47,4621,28,1082,52,76.63,7994,6126,1.26,0.08,0.62,77,5,38,SANTIAGO DEL ESTERO
498.0,SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",FRENTE DE TODOS,2.58,0.97,83.91,1.03,10.72,0.78,975,368,31689,388,4048,296,79.75,48178,38424,1.0,0.02,0.7,383,9,268,SANTIAGO DEL ESTERO
499.0,SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",FRENTE DE TODOS,2.61,0.62,53.75,0.45,42.16,0.41,76,18,1563,13,1226,12,83.44,3527,2943,0.78,0.24,0.17,23,7,5,SANTIAGO DEL ESTERO
500.0,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",FRENTE DE TODOS,2.61,0.59,78.65,1.32,16.34,0.5,780,175,23493,394,4882,148,80.91,37434,30288,0.92,0.01,0.44,280,4,132,SANTIAGO DEL ESTERO
501.0,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",FRENTE DE TODOS,0.94,0.25,88.97,0.63,8.96,0.25,63,17,5968,42,601,17,76.68,8838,6777,0.81,0.01,0.19,55,1,13,SANTIAGO DEL ESTERO
502.0,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",FRENTE DE TODOS,1.14,0.4,92.07,0.57,5.64,0.18,62,22,5024,31,308,10,77.63,7089,5503,0.73,0.04,0.07,40,2,4,SANTIAGO DEL ESTERO
503.0,SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",FRENTE DE TODOS,1.14,0.28,89.26,0.45,8.58,0.28,28,7,2194,11,211,7,76.88,3223,2478,0.56,0.0,0.24,14,0,6,SANTIAGO DEL ESTERO
504.0,SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",FRENTE DE TODOS,1.34,0.67,90.18,0.49,6.99,0.32,80,40,5365,29,416,19,82.28,7321,6024,1.01,0.0,0.23,61,0,14,SANTIAGO DEL ESTERO
505.0,SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",FRENTE DE TODOS,2.14,0.63,77.64,2.36,16.67,0.57,563,165,20467,621,4396,151,80.29,33321,26752,1.13,0.05,0.28,301,14,74,SANTIAGO DEL ESTERO
