Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
510.0,TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",FRENTE DE TODOS,2.98,0.8,66.31,1.2,28.13,0.58,618,166,13746,249,5831,120,83.26,25208,20989,0.48,0.1,0.66,101,20,138,TUCUMAN
511.0,TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",FRENTE DE TODOS,2.62,0.5,75.89,1.17,19.52,0.3,718,137,20758,319,5338,83,81.17,34126,27699,0.57,0.15,0.53,158,42,146,TUCUMAN
512.0,TUCUMAN_CAPITAL,"Capital, Tucuman",FRENTE DE TODOS,4.91,1.62,45.81,2.54,44.1,1.02,17605,5830,164415,9106,158268,3676,81.55,449601,366654,0.85,0.1,1.16,3134,379,4241,TUCUMAN
513.0,TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",FRENTE DE TODOS,3.68,0.73,62.11,1.8,30.61,1.08,2080,413,35128,1017,17314,609,84.54,67873,57381,0.45,0.11,0.87,258,64,498,TUCUMAN
514.0,TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",FRENTE DE TODOS,3.67,1.14,67.81,2.12,24.61,0.65,4764,1475,88023,2750,31945,842,84.36,156586,132096,0.75,0.12,0.87,989,163,1145,TUCUMAN
515.0,TUCUMAN_FAMAILLA,"Famailla, Tucuman",FRENTE DE TODOS,4.06,1.04,67.02,2.03,25.18,0.68,969,247,15983,483,6004,161,81.03,30059,24356,1.02,0.14,0.92,249,35,225,TUCUMAN
516.0,TUCUMAN_GRANEROS,"Graneros, Tucuman",FRENTE DE TODOS,1.97,0.37,80.01,1.42,15.87,0.36,189,36,7686,136,1524,35,82.61,11758,9713,0.49,0.15,0.45,48,15,44,TUCUMAN
517.0,TUCUMAN_LA COCHA,"La Cocha, Tucuman",FRENTE DE TODOS,2.49,0.5,71.94,0.84,23.8,0.42,336,68,9716,114,3214,57,84.66,16156,13677,0.51,0.13,0.61,70,18,84,TUCUMAN
518.0,TUCUMAN_LEALES,"Leales, Tucuman",FRENTE DE TODOS,3.3,0.77,72.72,1.39,21.34,0.48,1328,309,29227,559,8576,191,84.6,48192,40772,0.58,0.13,0.72,235,53,294,TUCUMAN
519.0,TUCUMAN_LULES,"Lules, Tucuman",FRENTE DE TODOS,4.28,1.03,59.96,2.1,31.81,0.81,1867,450,26183,919,13892,354,85.3,52157,44488,0.62,0.11,1.12,275,49,499,TUCUMAN
520.0,TUCUMAN_MONTEROS,"Monteros, Tucuman",FRENTE DE TODOS,3.58,0.79,72.6,1.47,20.85,0.7,1650,365,33447,679,9606,322,85.34,54624,46617,0.54,0.14,0.5,254,63,231,TUCUMAN
521.0,TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",FRENTE DE TODOS,3.29,0.8,72.36,1.61,21.21,0.74,1340,324,29465,655,8636,300,84.42,48810,41207,0.59,0.12,0.47,242,51,194,TUCUMAN
522.0,TUCUMAN_SIMOCA,"Simoca, Tucuman",FRENTE DE TODOS,2.62,0.52,76.6,0.83,19.05,0.4,599,119,17538,189,4361,91,83.49,27719,23142,0.41,0.24,0.41,94,55,96,TUCUMAN
523.0,TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",FRENTE DE TODOS,3.24,1.12,76.96,1.27,16.74,0.67,372,129,8845,146,1924,77,83.39,14007,11680,0.58,0.09,0.92,68,11,108,TUCUMAN
524.0,TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",FRENTE DE TODOS,5.1,1.53,54.93,2.66,34.63,1.14,4780,1433,51468,2496,32446,1067,84.29,113521,95692,0.78,0.11,1.19,750,110,1142,TUCUMAN
525.0,TUCUMAN_TRANCAS,"Trancas, Tucuman",FRENTE DE TODOS,4.1,1.06,64.28,1.65,28.27,0.65,491,127,7707,198,3389,78,82.09,14906,12237,0.58,0.23,1.21,71,28,148,TUCUMAN
526.0,TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",JUNTOS POR EL CAMBIO,3.95,1.27,41.79,1.71,50.23,1.04,2417,777,25550,1047,30712,636,85.94,72243,62087,0.54,0.07,0.92,335,43,570,TUCUMAN
