,id,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES,FRENTE DE TODOS,7.99,3.59,52.39,1.93,0.25,30.91,0.81,0.07,0.1,1.97,711181,319253,4661554,171376,22581,2749946,71935,5908,8783,174887,75.15,12348284,9279760,3.29,0.15,0.68,304904,14297,63155
1,CATAMARCA,FRENTE DE TODOS,6.92,1.44,61.95,1.12,0.21,27.68,0.41,0.16,0.0,0.1,12049,2502,107870,1953,366,48196,708,284,7,177,64.86,293416,190302,7.31,0.25,0.94,13915,478,1797
2,CHACO,FRENTE DE TODOS,3.68,1.43,59.84,5.14,0.24,27.3,0.36,0.17,0.12,1.73,19042,7394,309957,26639,1222,141379,1876,855,629,8962,70.84,793470,562069,6.39,0.2,1.26,35910,1109,7095
3,CHUBUT,FRENTE DE TODOS,8.7,3.77,54.13,4.82,0.35,24.15,1.04,0.25,0.19,2.6,25211,10927,156896,13975,1012,70005,3009,724,561,7538,71.89,439293,315803,5.66,0.17,2.39,17863,546,7536
4,CIUDAD AUTONOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,9.03,4.05,34.15,1.21,0.28,46.21,1.15,0.13,0.11,3.68,168607,75746,637891,22592,5172,863169,21470,2406,2126,68828,76.03,2565523,1950547,3.2,0.05,0.98,62397,1027,19116
5,CORDOBA,JUNTOS POR EL CAMBIO,8.24,2.79,31.62,2.96,0.21,50.12,0.85,0.37,0.15,2.7,164047,55482,629804,59033,4169,998318,16978,7338,3023,53827,71.83,2939905,2111750,3.78,0.08,1.81,79851,1668,38212
6,CORRIENTES,FRENTE DE TODOS,4.99,1.13,53.68,3.53,0.18,33.57,0.46,0.15,0.78,1.53,30488,6909,327999,21547,1108,205099,2787,935,4757,9342,72.0,872131,627948,1.24,0.12,1.33,7817,780,8380
7,ENTRE RIOS,FRENTE DE TODOS,8.74,2.03,46.0,2.61,0.26,36.67,0.92,0.24,0.15,2.38,69983,16230,368124,20851,2085,293477,7359,1924,1208,19075,75.09,1099749,825812,1.87,0.06,1.16,15407,506,9583
8,FORMOSA,FRENTE DE TODOS,3.74,0.8,66.55,2.43,0.19,24.49,0.27,0.11,0.09,1.32,11830,2544,210732,7684,616,77540,868,363,299,4185,71.33,452225,322589,0.96,0.19,0.69,3090,613,2225
9,JUJUY,FRENTE DE TODOS,10.38,3.37,47.81,4.37,0.27,30.19,0.47,0.26,0.09,2.79,34348,11154,158175,14454,883,99892,1560,853,302,9239,63.5,550625,349642,3.55,0.37,1.45,12405,1299,5078
