id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.08,3.72,36.07,1.5,0.32,46.53,1.01,0.14,0.12,3.5,8305,4368,42299,1763,379,54568,1186,159,141,4106,68.47,178223,122034,3.01,0.06,0.83,3674,76,1010,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,11.13,4.55,35.74,1.3,0.3,41.56,1.31,0.14,0.11,3.86,12605,5148,40478,1477,339,47071,1480,164,120,4367,79.3,149726,118733,3.4,0.08,1.15,4031,91,1362,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,10.82,4.14,32.47,1.17,0.3,45.61,1.18,0.14,0.12,4.04,14253,5461,42788,1546,393,60101,1557,185,156,5329,79.44,173376,137736,3.17,0.05,1.12,4363,63,1541,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,10.16,4.24,31.4,1.11,0.26,47.35,1.21,0.13,0.1,4.05,14814,6180,45793,1621,383,69058,1759,194,148,5902,79.56,191244,152159,3.1,0.04,1.0,4720,60,1527,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.98,3.36,22.39,1.14,0.19,59.9,1.0,0.08,0.07,3.89,12963,5457,36370,1848,301,97275,1630,132,108,6321,76.5,220613,168762,2.9,0.03,0.84,4895,52,1410,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.28,3.09,23.52,1.17,0.2,60.11,0.96,0.08,0.07,3.52,11017,4675,35605,1777,298,90998,1453,126,112,5334,73.83,212358,156784,2.62,0.04,0.78,4102,65,1222,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,9.37,4.97,38.44,0.88,0.27,41.06,1.34,0.13,0.1,3.43,11488,6094,47133,1074,335,50344,1648,159,125,4203,76.95,167061,128547,3.51,0.06,1.06,4509,77,1358,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.54,2.59,19.42,1.82,0.18,64.88,0.83,0.07,0.07,3.59,6604,2620,19615,1841,178,65519,840,68,73,3627,72.65,143559,104294,2.39,0.06,0.72,2493,60,756,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,8.64,4.57,38.5,1.27,0.36,41.51,1.23,0.13,0.17,3.62,9685,5124,43139,1419,402,46502,1380,145,189,4051,72.6,161369,117157,3.23,0.03,1.11,3790,32,1299,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,8.23,4.47,44.63,1.25,0.34,36.41,1.14,0.18,0.15,3.19,10671,5798,57837,1622,443,47191,1473,234,198,4134,75.49,181356,136899,4.24,0.05,1.04,5801,71,1426,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,9.46,4.91,37.45,1.08,0.29,41.47,1.42,0.13,0.14,3.66,11063,5740,43785,1260,341,48489,1657,152,166,4277,76.8,158815,121975,3.12,0.04,0.97,3810,53,1182,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,9.86,4.29,31.5,0.89,0.23,47.76,1.41,0.1,0.08,3.89,12071,5248,38548,1084,279,58450,1721,123,95,4759,78.84,161832,127594,3.11,0.04,0.94,3968,49,1199,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,9.97,4.1,37.41,1.13,0.28,41.58,1.28,0.14,0.13,3.98,12772,5247,47901,1444,358,53251,1641,181,164,5099,76.44,175460,134121,3.45,0.08,0.99,4631,107,1325,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,8.14,3.94,50.8,1.39,0.35,31.23,0.83,0.22,0.19,2.91,8297,4018,51803,1421,354,31848,847,224,193,2964,75.5,141876,107120,3.54,0.11,1.16,3792,113,1246,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,10.76,4.1,40.18,1.25,0.35,38.12,1.07,0.14,0.12,3.91,11999,4568,44797,1395,389,42504,1198,160,138,4355,78.46,148655,116632,3.27,0.05,1.07,3818,58,1253,CIUDAD AUTONOMA DE BUENOS AIRES
