id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CHACO_PRESIDENCIA DE LA PLAZA,Presidencia de la Plaza,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,CHACO
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",FRENTE DE TODOS,3.15,0.56,66.34,2.0,0.14,26.61,0.27,0.09,0.1,0.74,291,52,6130,185,13,2459,25,8,9,68,65.81,14676,9658,3.41,0.14,0.78,329,14,75,CHACO
CHACO_2 DE ABRIL,"2 De Abril, Chaco",FRENTE DE TODOS,1.82,0.62,58.15,7.59,0.16,30.49,0.14,0.23,0.11,0.71,80,27,2552,333,7,1338,6,10,5,31,72.81,6355,4627,4.39,0.0,0.76,203,0,35,CHACO
CHACO_25 DE MAYO,"25 De Mayo, Chaco",FRENTE DE TODOS,1.79,0.56,72.8,2.07,0.13,21.48,0.17,0.12,0.04,0.84,294,92,11969,341,21,3532,28,19,7,138,68.23,25134,17149,3.32,0.18,0.62,570,31,107,CHACO
CHACO_9 DE JULIO,"9 De Julio, Chaco",FRENTE DE TODOS,3.43,0.66,63.62,2.25,0.17,28.02,0.3,0.1,0.08,1.36,534,103,9900,350,27,4360,46,15,13,212,66.9,24528,16409,3.84,0.39,0.94,630,64,155,CHACO
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",FRENTE DE TODOS,0.95,0.18,73.96,6.03,0.04,18.45,0.14,0.07,0.0,0.19,54,10,4217,344,2,1052,8,4,0,11,73.05,8322,6079,5.35,0.03,0.82,325,2,50,CHACO
CHACO_BERMEJO,"Bermejo, Chaco",FRENTE DE TODOS,2.13,1.05,76.07,2.04,0.16,17.31,0.24,0.21,0.07,0.72,282,139,10080,270,21,2294,32,28,9,96,73.53,19376,14248,6.31,0.2,0.48,899,29,69,CHACO
CHACO_CHACABUCO,"Chacabuco, Chaco",FRENTE DE TODOS,2.99,1.0,55.15,4.59,0.11,34.66,0.34,0.1,0.1,0.97,533,178,9823,818,19,6174,60,18,18,172,70.26,26843,18860,4.51,0.1,0.94,851,19,177,CHACO
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez , Chaco",FRENTE DE TODOS,3.58,1.33,53.88,4.43,0.24,34.05,0.41,0.17,0.12,1.79,1910,707,28735,2362,130,18158,216,92,66,956,68.91,83214,57339,5.44,0.18,1.37,3120,101,786,CHACO
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray Justo Sta. Maria De Oro, Chaco",FRENTE DE TODOS,1.5,0.42,61.92,8.45,0.06,26.88,0.11,0.04,0.04,0.57,71,20,2930,400,3,1272,5,2,2,27,67.1,7469,5012,5.07,0.1,0.42,254,5,21,CHACO
