id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",JUNTOS POR EL CAMBIO,8.06,2.77,35.8,2.7,0.18,46.64,0.98,0.33,0.17,2.39,2964,1018,13170,992,67,17159,360,122,61,878,71.83,54506,39152,3.93,0.07,2.04,1537,27,797,CORDOBA
CORDOBA_CAPITAL,"Capital, Cordoba",JUNTOS POR EL CAMBIO,8.01,3.67,27.19,3.73,0.24,52.52,0.98,0.45,0.16,3.05,60673,27830,205973,28248,1855,397916,7437,3381,1218,23085,72.05,1117481,805107,3.79,0.11,2.0,30509,893,16089,CORDOBA
CORDOBA_COLON,"Colon, Cordoba",JUNTOS POR EL CAMBIO,7.42,2.9,28.35,2.67,0.2,54.27,0.88,0.36,0.16,2.79,11755,4601,44929,4228,313,86006,1396,576,255,4421,72.6,231197,167852,3.56,0.07,1.96,5970,118,3284,CORDOBA
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",FRENTE DE TODOS,5.96,1.76,54.64,2.68,0.19,32.7,0.55,0.28,0.13,1.12,1859,548,17057,837,60,10208,171,88,40,349,64.97,50209,32623,2.72,0.13,1.46,886,44,476,CORDOBA
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",JUNTOS POR EL CAMBIO,7.02,1.32,38.01,1.52,0.2,49.12,0.55,0.32,0.16,1.79,1327,250,7187,287,37,9289,104,60,30,339,68.82,28800,19820,3.4,0.02,1.18,674,3,233,CORDOBA
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",JUNTOS POR EL CAMBIO,8.24,2.25,38.65,3.4,0.17,43.28,0.79,0.29,0.14,2.79,6575,1800,30859,2716,136,34557,627,230,108,2228,71.92,116090,83488,2.78,0.13,1.47,2319,106,1227,CORDOBA
CORDOBA_ISCHILIN,"Ischilin, Cordoba",FRENTE DE TODOS,7.01,1.61,45.04,2.32,0.18,41.17,0.55,0.44,0.12,1.56,1314,302,8446,436,34,7720,103,82,23,293,69.66,28434,19807,3.9,0.1,1.32,773,19,262,CORDOBA
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",JUNTOS POR EL CAMBIO,8.19,2.05,35.67,2.64,0.14,47.49,0.86,0.35,0.15,2.46,3000,752,13075,969,50,17405,317,127,55,902,72.73,53540,38941,4.17,0.02,1.69,1624,6,659,CORDOBA
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",JUNTOS POR EL CAMBIO,8.87,1.66,32.78,2.05,0.13,50.77,0.67,0.23,0.13,2.7,5498,1029,20317,1269,80,31463,414,145,83,1675,73.49,88792,65251,4.07,0.04,0.91,2655,26,597,CORDOBA
CORDOBA_MINAS,"Minas, Cordoba",FRENTE DE TODOS,5.44,0.8,65.03,1.2,0.0,26.16,0.5,0.37,0.03,0.47,163,24,1949,36,0,784,15,11,1,14,61.79,5077,3137,2.9,0.03,1.53,91,1,48,CORDOBA
CORDOBA_POCHO,"Pocho, Cordoba",FRENTE DE TODOS,5.03,1.39,50.24,3.52,0.04,37.89,0.51,0.28,0.12,0.99,127,35,1269,89,1,957,13,7,3,25,56.66,4815,2728,6.67,0.15,0.59,182,4,16,CORDOBA
CORDOBA_PUNILLA,"Punilla, Cordoba",JUNTOS POR EL CAMBIO,8.25,3.08,30.62,3.03,0.27,50.2,0.96,0.41,0.15,3.02,9494,3540,35241,3491,305,57770,1110,476,172,3476,70.14,173024,121360,3.16,0.03,1.99,3830,41,2414,CORDOBA
CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",JUNTOS POR EL CAMBIO,11.12,2.11,33.88,2.4,0.18,46.57,0.7,0.29,0.15,2.61,16391,3108,49933,3541,264,68625,1028,425,217,3841,72.62,215674,156612,3.66,0.05,2.19,5730,79,3430,CORDOBA
CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",JUNTOS POR EL CAMBIO,6.74,1.61,31.39,1.89,0.2,55.44,0.59,0.31,0.13,1.71,1910,456,8897,535,56,15713,166,88,36,484,72.46,41538,30097,4.53,0.04,1.26,1363,13,380,CORDOBA
CORDOBA_RIO SECO,"Rio Seco, Cordoba",FRENTE DE TODOS,5.93,2.11,50.28,1.15,0.05,38.83,0.35,0.3,0.16,0.84,459,163,3889,89,4,3003,27,23,12,65,63.19,13096,8276,5.18,0.04,1.33,429,3,110,CORDOBA
CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",JUNTOS POR EL CAMBIO,7.73,1.89,30.98,2.54,0.18,52.71,0.76,0.33,0.18,2.69,4988,1222,19986,1636,116,34006,490,215,117,1735,74.68,91744,68510,4.22,0.05,1.56,2893,34,1072,CORDOBA
CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",JUNTOS POR EL CAMBIO,7.92,2.02,35.0,1.37,0.19,49.99,0.76,0.32,0.16,2.27,1659,424,7332,286,39,10471,160,68,33,476,71.38,30965,22103,4.03,0.02,1.18,891,4,260,CORDOBA
CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",FRENTE DE TODOS,8.05,3.2,45.58,3.05,0.28,36.89,0.75,0.41,0.13,1.67,1798,715,10180,682,62,8239,167,91,28,374,67.83,35307,23948,4.45,0.15,2.13,1066,36,510,CORDOBA
CORDOBA_SAN JAVIER,"San Javier, Cordoba",FRENTE DE TODOS,7.2,2.43,49.4,2.64,0.18,35.55,0.69,0.21,0.11,1.58,2331,786,15990,856,59,11506,224,69,35,512,69.5,49784,34599,4.87,0.02,1.56,1684,6,541,CORDOBA
CORDOBA_SAN JUSTO,"San Justo, Cordoba",JUNTOS POR EL CAMBIO,9.08,1.77,31.79,2.07,0.16,51.28,0.66,0.24,0.13,2.8,11451,2232,40078,2614,198,64643,836,308,159,3533,72.8,183438,133540,3.89,0.08,1.64,5191,109,2188,CORDOBA
CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",JUNTOS POR EL CAMBIO,8.26,2.58,30.19,2.24,0.22,52.51,0.93,0.37,0.18,2.54,5550,1732,20296,1503,145,35301,624,246,119,1710,73.44,98363,72242,4.99,0.06,1.89,3608,43,1365,CORDOBA
CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",FRENTE DE TODOS,3.89,0.57,57.75,0.73,0.12,36.06,0.36,0.2,0.04,0.28,96,14,1427,18,3,891,9,5,1,7,62.71,4248,2664,5.93,0.04,1.28,158,1,34,CORDOBA
CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",JUNTOS POR EL CAMBIO,9.56,2.32,30.77,2.79,0.22,50.26,0.89,0.38,0.16,2.63,6654,1616,21410,1942,156,34970,622,262,113,1830,73.79,99496,73417,3.68,0.02,1.53,2704,18,1120,CORDOBA
CORDOBA_TOTORAL,"Totoral, Cordoba",JUNTOS POR EL CAMBIO,6.3,1.28,34.62,1.43,0.23,53.35,0.54,0.35,0.17,1.73,740,150,4067,168,27,6266,64,41,20,203,71.57,17313,12391,3.48,0.11,1.61,431,14,200,CORDOBA
CORDOBA_TULUMBA,"Tulumba, Cordoba",FRENTE DE TODOS,4.67,1.21,49.3,1.58,0.08,41.47,0.52,0.26,0.07,0.84,340,88,3589,115,6,3019,38,19,5,61,62.32,12297,7663,3.72,0.05,1.23,285,4,94,CORDOBA
CORDOBA_UNION,"Union, Cordoba",JUNTOS POR EL CAMBIO,7.8,1.66,36.78,2.29,0.15,48.13,0.72,0.27,0.12,2.07,4931,1047,23258,1450,96,30431,456,173,79,1311,70.16,94677,66422,3.57,0.02,1.21,2368,16,806,CORDOBA
