id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",FRENTE DE TODOS,4.07,1.2,60.52,2.04,0.15,29.87,0.4,0.11,0.43,1.2,937,276,13927,469,35,6874,93,26,100,276,73.61,31878,23466,0.96,0.15,0.82,226,35,192,CORRIENTES
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",FRENTE DE TODOS,1.43,0.57,60.92,1.32,0.0,34.21,0.06,0.23,0.92,0.34,25,10,1063,23,0,597,1,4,16,6,72.29,2461,1779,0.62,0.11,1.18,11,2,21,CORRIENTES
CORRIENTES_CAPITAL,"Capital, Corrientes",FRENTE DE TODOS,6.81,1.71,41.28,5.33,0.26,40.12,0.61,0.22,1.3,2.36,14516,3643,88005,11363,558,85540,1302,469,2768,5028,73.55,301200,221534,1.59,0.2,1.97,3520,447,4375,CORRIENTES
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",FRENTE DE TODOS,2.8,0.51,69.01,2.49,0.1,23.04,0.4,0.19,0.79,0.67,349,64,8595,310,12,2869,50,24,98,83,72.08,17564,12660,0.62,0.02,1.0,78,2,126,CORRIENTES
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",FRENTE DE TODOS,4.85,0.94,58.09,2.63,0.15,31.06,0.5,0.17,0.43,1.17,1290,250,15437,700,41,8255,134,44,114,311,70.81,38396,27189,1.07,0.02,1.16,292,6,315,CORRIENTES
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",FRENTE DE TODOS,5.43,1.11,60.05,1.88,0.1,29.56,0.3,0.09,0.6,0.88,526,107,5814,182,10,2862,29,9,58,85,72.04,13710,9876,0.77,0.06,1.13,76,6,112,CORRIENTES
CORRIENTES_ESQUINA,"Esquina, Corrientes",FRENTE DE TODOS,4.18,0.84,62.27,3.06,0.13,27.87,0.26,0.11,0.4,0.89,791,160,11794,579,24,5278,50,20,75,168,63.99,30155,19295,0.73,0.07,1.04,141,14,201,CORRIENTES
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",FRENTE DE TODOS,2.34,0.3,60.34,1.9,0.17,32.86,0.22,0.09,0.61,1.17,108,14,2789,88,8,1519,10,4,28,54,66.86,7051,4714,0.95,0.11,0.89,45,5,42,CORRIENTES
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",FRENTE DE TODOS,3.82,0.78,58.18,1.68,0.09,33.06,0.34,0.12,1.0,0.94,359,73,5465,158,8,3106,32,11,94,88,68.16,14049,9576,1.09,0.03,0.78,104,3,75,CORRIENTES
CORRIENTES_GOYA,"Goya, Corrientes",FRENTE DE TODOS,4.76,0.92,60.56,1.77,0.14,29.82,0.4,0.11,0.42,1.12,2496,480,31742,926,73,15628,210,58,218,585,69.87,76789,53651,1.22,0.08,1.0,656,44,535,CORRIENTES
CORRIENTES_ITATI,"Itati, Corrientes",FRENTE DE TODOS,2.94,0.46,59.64,1.17,0.07,33.88,0.24,0.08,0.73,0.79,174,27,3526,69,4,2003,14,5,43,47,65.05,9251,6018,0.65,0.6,0.52,39,36,31,CORRIENTES
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",FRENTE DE TODOS,3.96,0.76,54.99,3.37,0.17,34.72,0.36,0.11,0.2,1.35,846,163,11743,719,37,7415,76,24,43,288,70.03,31257,21889,1.09,0.15,1.21,238,33,264,CORRIENTES
CORRIENTES_LAVALLE,"Lavalle, Corrientes",FRENTE DE TODOS,3.16,0.45,69.34,1.23,0.1,24.37,0.22,0.1,0.45,0.57,610,87,13405,238,20,4712,43,19,87,111,75.53,26112,19723,1.2,0.03,0.76,236,5,150,CORRIENTES
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",FRENTE DE TODOS,2.52,0.39,67.15,2.03,0.05,25.65,0.26,0.05,1.29,0.62,162,25,4325,131,3,1652,17,3,83,40,73.74,8960,6607,1.89,0.05,0.58,125,3,38,CORRIENTES
CORRIENTES_MERCEDES,"Mercedes, Corrientes",FRENTE DE TODOS,3.75,1.01,57.48,2.09,0.18,33.28,0.41,0.13,0.54,1.14,961,258,14718,534,47,8521,105,33,137,291,71.55,36687,26249,1.35,0.12,0.98,354,32,258,CORRIENTES
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",FRENTE DE TODOS,5.51,1.09,54.94,2.59,0.15,33.58,0.44,0.14,0.26,1.31,1204,239,12013,566,33,7342,96,30,56,286,71.64,31075,22261,1.15,0.02,0.61,256,4,136,CORRIENTES
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",FRENTE DE TODOS,3.66,0.74,61.19,4.02,0.16,28.04,0.34,0.11,0.42,1.34,1144,230,19135,1257,49,8768,107,33,130,418,71.76,44447,31896,0.91,0.02,1.03,290,7,328,CORRIENTES
CORRIENTES_SALADAS,"Saladas, Corrientes",FRENTE DE TODOS,4.09,0.69,66.04,2.07,0.11,25.21,0.32,0.12,0.32,1.03,557,94,8984,281,15,3429,43,17,43,140,72.2,19222,13878,0.91,0.0,1.07,126,0,149,CORRIENTES
CORRIENTES_SAN COSME,"San Cosme, Corrientes",FRENTE DE TODOS,4.33,0.81,44.43,2.69,0.23,43.94,0.47,0.09,0.94,2.06,522,98,5361,325,28,5302,57,11,114,249,71.45,17293,12355,1.03,0.07,1.23,127,9,152,CORRIENTES
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",FRENTE DE TODOS,4.19,0.79,62.69,2.33,0.13,27.06,0.46,0.12,1.21,1.02,539,101,8056,300,17,3477,59,15,155,131,77.94,16904,13175,1.22,0.21,1.03,161,28,136,CORRIENTES
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",FRENTE DE TODOS,2.37,0.5,58.03,1.97,0.13,35.11,0.33,0.08,0.9,0.58,180,38,4400,149,10,2662,25,6,68,44,66.65,11579,7717,1.28,0.05,0.41,99,4,32,CORRIENTES
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",FRENTE DE TODOS,2.01,0.59,75.05,2.17,0.07,18.38,0.33,0.09,0.48,0.84,139,41,5197,150,5,1273,23,6,33,58,74.89,9458,7083,0.97,0.28,0.97,69,20,69,CORRIENTES
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",FRENTE DE TODOS,2.33,0.49,71.69,0.8,0.05,23.08,0.28,0.07,0.81,0.4,284,60,8739,97,6,2814,34,8,99,49,72.64,17032,12372,0.68,0.03,0.76,84,4,94,CORRIENTES
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",FRENTE DE TODOS,4.42,0.92,55.63,5.14,0.16,31.62,0.43,0.13,0.23,1.32,1611,335,20293,1875,58,11534,158,49,84,481,72.36,51679,37396,1.08,0.06,1.32,403,23,492,CORRIENTES
CORRIENTES_SAUCE,"Sauce, Corrientes",FRENTE DE TODOS,2.89,0.66,63.57,1.06,0.13,30.51,0.35,0.13,0.24,0.46,158,36,3473,58,7,1667,19,7,13,25,70.55,7922,5589,1.09,0.14,1.02,61,8,57,CORRIENTES
