id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
ENTRE RIOS_COLON,"Colon, Entre Rios",FRENTE DE TODOS,9.66,2.4,44.46,2.41,0.26,36.98,1.03,0.25,0.14,2.4,4050,1007,18634,1010,110,15496,431,106,59,1005,75.98,56907,43236,1.88,0.02,1.17,812,10,506,ENTRE RIOS
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",FRENTE DE TODOS,6.38,1.83,54.4,2.63,0.21,31.68,0.64,0.18,0.1,1.94,6630,1902,56570,2739,221,32944,668,188,108,2022,75.08,142206,106762,1.39,0.07,1.13,1487,76,1207,ENTRE RIOS
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",JUNTOS POR EL CAMBIO,9.41,1.63,38.68,2.08,0.3,43.7,0.78,0.32,0.16,2.94,2780,480,11422,614,90,12905,229,95,46,867,72.66,41925,30463,1.79,0.09,1.19,544,27,364,ENTRE RIOS
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",FRENTE DE TODOS,6.74,1.31,45.97,3.68,0.24,38.46,0.64,0.24,0.17,2.52,3019,588,20579,1649,109,17218,286,109,76,1130,76.06,61019,46410,2.26,0.1,1.19,1047,48,552,ENTRE RIOS
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",FRENTE DE TODOS,3.83,0.74,61.52,1.88,0.18,30.11,0.37,0.19,0.09,1.09,669,129,10749,328,31,5260,65,34,15,191,76.58,23700,18150,2.9,0.08,0.76,526,15,138,ENTRE RIOS
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",FRENTE DE TODOS,3.89,0.88,62.56,0.96,0.2,30.18,0.4,0.26,0.15,0.51,361,82,5800,89,19,2798,37,24,14,47,72.85,13134,9568,2.07,0.04,0.99,198,4,95,ENTRE RIOS
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",FRENTE DE TODOS,8.23,1.88,42.47,2.56,0.33,41.03,0.82,0.26,0.32,2.13,2624,599,13546,815,105,13087,261,82,101,678,70.65,46471,32831,1.77,0.05,1.03,581,15,337,ENTRE RIOS
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",FRENTE DE TODOS,9.4,2.28,41.66,2.42,0.27,40.24,0.83,0.21,0.16,2.53,7071,1712,31351,1821,205,30281,628,159,120,1904,78.43,98667,77389,1.64,0.04,1.08,1269,29,839,ENTRE RIOS
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",FRENTE DE TODOS,5.18,0.94,59.06,2.45,0.18,30.04,0.59,0.23,0.21,1.11,410,74,4671,194,14,2376,47,18,17,88,69.51,11701,8133,1.82,0.0,0.93,148,0,76,ENTRE RIOS
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",FRENTE DE TODOS,5.71,0.93,58.68,2.41,0.26,29.65,0.5,0.21,0.15,1.5,2376,387,24405,1003,107,12330,208,88,63,623,72.03,59198,42642,1.48,0.03,0.95,631,14,407,ENTRE RIOS
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",FRENTE DE TODOS,10.69,1.68,45.22,1.51,0.25,37.55,0.61,0.25,0.16,2.08,2556,401,10815,361,60,8982,146,60,38,498,72.73,33824,24601,1.98,0.05,0.75,488,12,184,ENTRE RIOS
ENTRE RIOS_PARANA,"Parana, Entre Rios",FRENTE DE TODOS,10.98,2.47,41.24,3.0,0.26,37.28,1.34,0.24,0.15,3.03,24882,5608,93465,6794,600,84498,3048,548,330,6864,76.07,309053,235086,2.13,0.08,1.38,5012,190,3247,ENTRE RIOS
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",FRENTE DE TODOS,6.34,1.15,47.0,2.86,0.19,40.13,0.46,0.23,0.09,1.57,778,141,5771,351,23,4927,56,28,11,193,77.78,16335,12705,2.55,0.02,0.78,324,3,99,ENTRE RIOS
ENTRE RIOS_TALA,"Tala, Entre Rios",FRENTE DE TODOS,8.73,1.96,47.19,3.08,0.24,36.03,0.75,0.23,0.07,1.72,1519,341,8208,535,41,6266,131,40,12,300,74.09,24126,17875,1.63,0.08,0.99,291,14,177,ENTRE RIOS
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",FRENTE DE TODOS,9.34,2.91,43.18,2.47,0.28,37.84,1.0,0.34,0.16,2.47,6102,1902,28200,1614,182,24716,652,225,106,1614,76.85,87472,67224,1.64,0.04,1.16,1105,29,777,ENTRE RIOS
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",FRENTE DE TODOS,9.8,1.8,42.74,1.06,0.35,40.77,0.95,0.22,0.18,2.13,2208,406,9631,240,79,9187,215,50,41,479,72.7,31908,23196,1.77,0.02,1.06,410,4,246,ENTRE RIOS
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",FRENTE DE TODOS,6.8,1.64,49.92,2.42,0.31,35.61,0.88,0.24,0.18,2.0,1948,471,14307,694,89,10206,251,70,51,572,70.16,42103,29541,1.81,0.05,1.12,534,16,332,ENTRE RIOS
