id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
JUJUY_COCHINOCA,"Cochinoca, Jujuy",FRENTE DE TODOS,9.06,3.97,57.87,7.5,0.32,18.08,0.67,0.31,0.17,2.05,530,232,3386,439,19,1058,39,18,10,120,59.9,10514,6298,4.6,0.3,2.19,290,19,138,JUJUY
JUJUY_EL CARMEN,"El Carmen, Jujuy",FRENTE DE TODOS,10.36,3.12,48.57,6.1,0.25,28.07,0.44,0.3,0.05,2.73,4756,1433,22302,2800,114,12890,200,139,24,1255,64.93,73848,47951,2.9,0.25,1.1,1390,121,527,JUJUY
JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",FRENTE DE TODOS,11.84,3.73,38.27,4.18,0.32,37.09,0.5,0.28,0.1,3.69,15660,4930,50621,5532,421,49056,661,376,131,4878,64.69,217915,140977,4.32,0.16,1.71,6084,223,2404,JUJUY
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",FRENTE DE TODOS,10.18,5.02,58.89,4.97,0.3,17.16,0.69,0.36,0.2,2.23,810,399,4685,395,24,1365,55,29,16,177,59.48,14415,8574,3.72,1.57,1.92,319,135,165,JUJUY
JUJUY_LEDESMA,"Ledesma, Jujuy",FRENTE DE TODOS,7.81,3.14,58.89,2.99,0.19,24.85,0.4,0.14,0.08,1.52,3134,1262,23632,1199,75,9973,159,55,33,609,63.51,65580,41647,2.23,0.1,1.32,928,40,548,JUJUY
JUJUY_PALPALA,"Palpala, Jujuy",FRENTE DE TODOS,13.23,4.08,45.06,4.62,0.32,28.05,0.6,0.3,0.15,3.58,3721,1149,12676,1300,91,7891,170,83,42,1007,66.24,44897,29738,4.02,0.06,1.32,1196,19,393,JUJUY
JUJUY_RINCONADA,"Rinconada, Jujuy",FRENTE DE TODOS,7.32,1.41,69.72,5.21,0.42,14.79,0.28,0.14,0.28,0.42,52,10,495,37,3,105,2,1,2,3,56.15,1334,749,2.54,0.8,1.87,19,6,14,JUJUY
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",FRENTE DE TODOS,10.58,2.15,40.51,5.99,0.37,37.92,0.33,0.22,0.15,1.78,286,58,1095,162,10,1025,9,6,4,48,71.31,3995,2849,3.58,0.11,1.44,102,3,41,JUJUY
JUJUY_SAN PEDRO,"San Pedro, Jujuy",FRENTE DE TODOS,7.91,2.62,56.58,3.41,0.17,26.83,0.36,0.2,0.03,1.9,3098,1027,22163,1334,65,10512,141,78,13,743,65.05,63114,41055,2.78,0.7,1.1,1143,288,450,JUJUY
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",FRENTE DE TODOS,6.19,0.92,66.06,3.03,0.41,22.53,0.26,0.12,0.07,0.41,452,67,4826,221,30,1646,19,9,5,30,50.94,14833,7556,2.5,0.08,0.74,189,6,56,JUJUY
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",FRENTE DE TODOS,4.75,0.93,70.9,6.4,0.0,16.2,0.1,0.1,0.0,0.62,46,9,687,62,0,157,1,1,0,6,42.05,2414,1015,3.55,0.0,0.99,36,0,10,JUJUY
JUJUY_SUSQUES,"Susques, Jujuy",FRENTE DE TODOS,8.74,2.61,57.67,3.07,0.08,25.54,0.54,0.31,0.31,1.15,114,34,752,40,1,333,7,4,4,15,57.06,3144,1794,3.18,22.19,1.95,57,398,35,JUJUY
JUJUY_TILCARA,"Tilcara, Jujuy",FRENTE DE TODOS,8.18,3.27,58.86,4.27,0.08,22.82,0.58,0.25,0.08,1.59,482,193,3470,252,5,1345,34,15,5,94,58.58,10601,6210,3.57,0.21,1.29,222,13,80,JUJUY
JUJUY_TUMBAYA,"Tumbaya, Jujuy",FRENTE DE TODOS,8.09,2.76,54.37,3.65,0.29,29.41,0.32,0.11,0.04,0.97,226,77,1518,102,8,821,9,3,1,27,64.61,4580,2959,3.79,0.3,1.55,112,9,46,JUJUY
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",JUNTOS POR EL CAMBIO,1.1,0.44,43.93,0.66,0.0,53.64,0.0,0.0,0.22,0.0,5,2,199,3,0,243,0,0,1,0,21.02,2226,468,1.71,0.64,0.85,8,3,4,JUJUY
JUJUY_YAVI,"Yavi, Jujuy",FRENTE DE TODOS,10.48,2.92,60.89,6.19,0.18,15.81,0.58,0.39,0.12,2.44,976,272,5668,576,17,1472,54,36,11,227,56.94,17215,9802,3.16,0.16,1.7,310,16,167,JUJUY
