id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA PAMPA_ATREUCO,"Atreuco, La Pampa",FRENTE DE TODOS,7.19,1.18,48.93,1.25,0.21,38.02,0.84,0.2,0.15,2.02,516,85,3512,90,15,2729,60,14,11,145,77.1,9519,7339,1.24,0.0,0.97,91,0,71,LA PAMPA
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",FRENTE DE TODOS,5.37,2.42,67.36,1.54,0.34,19.68,1.01,0.27,0.07,1.95,80,36,1003,23,5,293,15,4,1,29,77.56,1961,1521,0.79,0.07,1.25,12,1,19,LA PAMPA
LA PAMPA_CAPITAL,"Capital, La Pampa",FRENTE DE TODOS,8.44,2.76,53.7,2.3,0.29,28.57,1.38,0.21,0.18,2.16,5749,1880,36580,1568,199,19464,938,141,126,1472,74.61,93372,69664,0.89,0.08,1.24,623,58,866,LA PAMPA
LA PAMPA_CATRILO,"Catrilo, La Pampa",FRENTE DE TODOS,6.43,1.72,53.36,2.7,0.14,33.07,0.99,0.14,0.2,1.24,317,85,2630,133,7,1630,49,7,10,61,76.59,6552,5018,0.62,0.04,1.12,31,2,56,LA PAMPA
LA PAMPA_CHALILEO,"Chalileo, La Pampa",FRENTE DE TODOS,6.8,4.45,63.85,3.34,0.23,18.57,1.29,0.23,0.23,1.0,116,76,1090,57,4,317,22,4,4,17,69.5,2502,1739,0.52,0.12,1.21,9,2,21,LA PAMPA
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",FRENTE DE TODOS,7.7,1.52,49.1,3.0,0.3,35.83,0.87,0.16,0.21,1.3,616,122,3929,240,24,2867,70,13,17,104,76.69,10643,8162,1.04,0.12,0.8,85,10,65,LA PAMPA
LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",FRENTE DE TODOS,5.2,1.08,69.23,2.17,0.76,18.53,1.3,0.33,0.11,1.3,48,10,639,20,7,171,12,3,1,12,70.07,1340,939,1.17,0.21,0.32,11,2,3,LA PAMPA
LA PAMPA_CONHELO,"Conhelo, La Pampa",FRENTE DE TODOS,7.31,1.74,51.83,1.73,0.28,34.2,0.96,0.32,0.18,1.46,710,169,5035,168,27,3322,93,31,17,142,76.35,12961,9896,0.84,0.04,0.96,83,4,95,LA PAMPA
LA PAMPA_CURACO,"Curaco, La Pampa",FRENTE DE TODOS,6.59,0.64,68.17,3.05,0.32,18.97,0.64,0.16,0.48,0.96,41,4,424,19,2,118,4,1,3,6,75.8,843,639,1.25,0.63,0.78,8,4,5,LA PAMPA
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",JUNTOS POR EL CAMBIO,8.04,1.87,36.89,1.78,0.61,45.74,1.2,0.25,0.18,3.43,447,104,2052,99,34,2544,67,14,10,191,72.09,7941,5725,1.99,0.05,0.8,114,3,46,LA PAMPA
