id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA RIOJA_ARAUCO,"Arauco, La Rioja",FRENTE DE TODOS,5.03,0.99,66.91,2.08,0.17,23.03,0.74,0.12,0.11,0.82,406,80,5405,168,14,1860,60,10,9,66,66.49,12718,8456,2.86,0.15,1.45,242,13,123,LA RIOJA
LA RIOJA_CAPITAL,"Capital, La Rioja",FRENTE DE TODOS,8.99,2.26,44.98,2.53,0.31,36.64,0.88,0.29,0.21,2.92,8989,2265,44990,2531,306,36650,877,291,214,2916,68.22,154226,105207,3.03,0.17,1.72,3193,177,1808,LA RIOJA
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",FRENTE DE TODOS,5.96,1.42,61.82,0.87,0.13,27.43,0.58,0.26,0.16,1.36,184,44,1909,27,4,847,18,8,5,42,68.18,4765,3249,3.88,0.25,0.83,126,8,27,LA RIOJA
LA RIOJA_CHAMICAL,"Chamical, La Rioja",FRENTE DE TODOS,6.79,1.41,58.93,2.43,0.15,28.09,0.46,0.21,0.25,1.28,461,96,4000,165,10,1907,31,14,17,87,58.04,12253,7112,2.57,0.32,1.66,183,23,118,LA RIOJA
LA RIOJA_CHILECITO,"Chilecito, La Rioja",FRENTE DE TODOS,7.83,2.53,47.28,2.23,0.28,36.95,0.83,0.33,0.19,1.55,2060,665,12442,586,74,9722,218,88,50,409,68.04,40850,27793,3.16,0.17,1.99,879,48,552,LA RIOJA
LA RIOJA_FAMATINA,"Famatina, La Rioja",FRENTE DE TODOS,5.67,1.51,57.41,0.87,0.38,32.21,0.73,0.17,0.15,0.9,195,52,1975,30,13,1108,25,6,5,31,66.9,5366,3590,2.9,0.17,1.11,104,6,40,LA RIOJA
LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",FRENTE DE TODOS,4.99,1.39,66.46,0.88,0.31,24.16,0.68,0.25,0.18,0.7,277,77,3689,49,17,1341,38,14,10,39,63.52,9107,5785,2.83,0.36,0.85,164,21,49,LA RIOJA
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",FRENTE DE TODOS,4.03,0.54,76.11,1.08,0.12,16.55,0.42,0.3,0.0,0.84,67,9,1265,18,2,275,7,5,0,14,67.7,2570,1740,2.3,0.8,1.38,40,14,24,LA RIOJA
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",FRENTE DE TODOS,5.49,1.59,53.7,3.1,0.24,33.44,0.68,0.32,0.22,1.22,225,65,2200,127,10,1370,28,13,9,50,62.32,6882,4289,1.91,0.16,2.4,82,7,103,LA RIOJA
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",FRENTE DE TODOS,2.48,1.07,71.7,1.07,0.08,22.52,0.41,0.33,0.08,0.25,30,13,869,13,1,273,5,4,1,3,73.29,1722,1262,3.72,0.16,0.08,47,2,1,LA RIOJA
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",FRENTE DE TODOS,3.26,0.77,77.95,0.67,0.21,15.76,0.41,0.18,0.13,0.67,127,30,3036,26,8,614,16,7,5,26,62.78,6351,3987,1.53,0.13,0.65,61,5,26,LA RIOJA
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",FRENTE DE TODOS,3.27,0.95,70.15,0.49,0.11,23.69,0.49,0.3,0.0,0.53,86,25,1845,13,3,623,13,8,0,14,69.21,3939,2726,2.02,0.07,1.43,55,2,39,LA RIOJA
