id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",FRENTE DE TODOS,1.97,0.54,75.32,5.55,0.08,15.24,0.22,0.13,0.07,0.87,317,86,12096,891,13,2448,36,21,12,139,72.46,23061,16711,3.42,0.08,0.4,571,14,67,MISIONES
MISIONES_APOSTOLES,"Apostoles, Misiones",FRENTE DE TODOS,5.44,1.16,56.55,5.2,0.62,28.76,0.48,0.14,0.07,1.58,1361,291,14149,1302,155,7197,119,34,18,396,75.56,34884,26360,3.57,0.33,1.18,940,88,310,MISIONES
MISIONES_CAINGUAS,"Cainguas, Misiones",FRENTE DE TODOS,3.43,0.78,69.58,6.1,0.21,18.43,0.33,0.14,0.09,0.9,1008,229,20427,1791,62,5410,98,41,25,265,70.33,43807,30811,3.72,0.1,0.91,1145,30,280,MISIONES
MISIONES_CANDELARIA,"Candelaria, Misiones",FRENTE DE TODOS,4.71,0.91,67.1,2.97,0.21,22.65,0.37,0.14,0.04,0.9,779,151,11087,490,35,3742,61,23,6,148,71.4,24365,17396,2.97,0.78,1.28,516,136,222,MISIONES
MISIONES_CAPITAL,"Capital, Misiones",FRENTE DE TODOS,7.41,1.83,44.78,5.84,0.31,36.0,0.6,0.29,0.15,2.79,14502,3587,87692,11434,608,70487,1183,573,286,5459,72.78,283408,206262,3.14,0.45,1.47,6479,937,3035,MISIONES
MISIONES_CONCEPCION,"Concepcion De La Sierra, Misiones",FRENTE DE TODOS,3.44,0.51,65.84,2.3,0.3,26.27,0.34,0.15,0.15,0.68,181,27,3466,121,16,1383,18,8,8,36,71.99,7646,5504,3.42,0.51,0.44,188,28,24,MISIONES
MISIONES_ELDORADO,"El Dorado, Misiones",FRENTE DE TODOS,5.3,1.57,59.42,6.84,0.19,24.07,0.47,0.09,0.09,1.95,2474,734,27722,3193,87,11230,220,41,43,911,73.56,65850,48440,2.16,0.46,1.07,1044,221,520,MISIONES
MISIONES_GENERAL MANUEL BELGRANO,"General Manuel Belgrano, Misiones",FRENTE DE TODOS,2.27,0.7,72.6,4.63,0.18,18.14,0.4,0.13,0.1,0.85,499,154,15989,1020,40,3996,87,29,22,188,66.84,34090,22785,2.43,0.07,0.84,553,17,191,MISIONES
MISIONES_GUARANI,"Guarani, Misiones",FRENTE DE TODOS,3.78,0.87,73.21,2.95,0.17,17.32,0.36,0.11,0.1,1.13,1349,312,26115,1053,59,6179,128,40,35,403,67.89,54700,37137,2.83,0.23,0.88,1052,87,325,MISIONES
MISIONES_IGUAZU,"Iguazu, Misiones",FRENTE DE TODOS,5.07,1.36,60.87,4.24,0.24,25.59,0.6,0.26,0.13,1.66,2430,652,29177,2034,113,12265,286,123,60,794,69.55,71704,49870,2.21,0.37,1.31,1100,184,652,MISIONES
MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",FRENTE DE TODOS,4.63,0.74,58.99,6.58,0.19,26.47,0.52,0.15,0.09,1.65,1304,210,16630,1854,53,7463,148,41,26,464,77.19,39073,30161,5.22,0.33,0.98,1573,99,296,MISIONES
MISIONES_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Misiones",FRENTE DE TODOS,6.01,1.08,55.38,3.75,0.2,31.08,0.47,0.24,0.07,1.72,1630,292,15020,1017,54,8428,128,64,20,467,74.58,38275,28547,4.3,0.03,0.67,1227,8,192,MISIONES
MISIONES_MONTECARLO,"Montecarlo, Misiones",FRENTE DE TODOS,6.09,1.5,60.92,6.04,0.19,23.38,0.37,0.15,0.12,1.25,1184,291,11852,1175,36,4549,72,29,24,243,72.16,27864,20107,2.41,0.05,0.79,484,10,158,MISIONES
MISIONES_OBERA,"Obera, Misiones",FRENTE DE TODOS,4.67,0.96,58.79,8.46,0.18,24.58,0.41,0.14,0.1,1.71,2918,599,36696,5283,114,15343,254,86,61,1066,73.31,88525,64895,2.7,0.14,0.97,1755,88,632,MISIONES
MISIONES_SAN IGNACIO,"San Ignacio, Misiones",FRENTE DE TODOS,4.14,0.92,64.26,4.78,0.17,24.02,0.38,0.16,0.06,1.13,1347,298,20889,1554,54,7807,122,52,19,366,72.13,46870,33805,2.75,0.21,0.88,929,72,296,MISIONES
MISIONES_SAN JAVIER,"San Javier, Misiones",FRENTE DE TODOS,3.1,0.37,66.03,4.08,0.1,24.89,0.43,0.09,0.07,0.84,374,45,7962,492,12,3001,52,11,8,101,71.48,17527,12529,3.13,0.1,0.53,392,13,66,MISIONES
MISIONES_SAN PEDRO,"San Pedro, Misiones",FRENTE DE TODOS,2.05,0.55,81.07,4.67,0.11,10.74,0.22,0.09,0.06,0.44,285,76,11296,651,16,1496,30,13,9,62,68.99,20870,14399,2.96,0.11,0.16,426,16,23,MISIONES
