id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
NEUQUEN_ALUMINE,"Alumine, Neuquen",FRENTE DE TODOS,6.43,3.63,56.14,5.0,0.74,24.32,1.18,0.59,0.17,1.81,306,173,2673,238,35,1158,56,28,8,86,75.8,7303,5536,12.68,0.05,1.26,702,3,70,NEUQUEN
NEUQUEN_AÑELO,"Añelo, Neuquen",FRENTE DE TODOS,6.72,2.71,63.45,4.07,0.34,19.61,0.59,0.29,0.35,1.88,533,215,5035,323,27,1556,47,23,28,149,71.41,12692,9063,8.58,0.09,3.76,778,8,341,NEUQUEN
NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",FRENTE DE TODOS,6.2,1.74,72.31,2.61,0.97,12.58,0.87,0.77,0.29,1.65,64,18,747,27,10,130,9,8,3,17,75.03,1574,1181,10.41,0.08,2.03,123,1,24,NEUQUEN
NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",FRENTE DE TODOS,6.8,3.7,58.37,3.88,0.49,23.71,0.62,0.45,0.28,1.71,593,323,5091,338,43,2068,54,39,24,149,77.22,12965,10011,10.46,0.03,2.39,1047,3,239,NEUQUEN
NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",FRENTE DE TODOS,5.73,2.71,61.33,4.49,0.72,21.0,0.83,0.45,0.34,2.41,152,72,1627,119,19,557,22,12,9,64,78.54,3887,3053,10.61,0.03,2.46,324,1,75,NEUQUEN
NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",FRENTE DE TODOS,8.56,5.41,46.5,4.64,0.45,30.12,1.09,0.32,0.21,2.69,20736,13107,112620,11244,1095,72949,2632,763,514,6517,80.32,329502,264643,6.04,0.18,2.26,15996,481,5989,NEUQUEN
NEUQUEN_HUILICHES,"Huiliches, Neuquen",FRENTE DE TODOS,6.85,4.7,50.55,3.78,0.62,30.1,0.99,0.28,0.36,1.77,656,450,4839,362,59,2881,95,27,34,169,77.5,13926,10793,9.14,0.09,2.08,987,10,224,NEUQUEN
NEUQUEN_LACAR,"Lacar, Neuquen",JUNTOS POR EL CAMBIO,7.28,5.58,37.01,3.4,0.46,41.38,1.36,0.37,0.25,2.92,1428,1094,7260,666,90,8117,266,72,50,573,73.9,28545,21094,3.99,0.09,2.93,841,20,617,NEUQUEN
NEUQUEN_LONCOPUE,"Loncopue, Neuquen",FRENTE DE TODOS,7.38,3.33,63.99,1.86,0.75,19.03,0.61,0.67,0.67,1.72,266,120,2307,67,27,686,22,24,24,62,76.71,5702,4374,13.31,0.07,4.21,582,3,184,NEUQUEN
NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",JUNTOS POR EL CAMBIO,9.02,4.69,37.91,4.86,0.35,38.91,1.16,0.31,0.23,2.55,694,361,2916,374,27,2993,89,24,18,196,72.42,11317,8196,3.49,0.06,2.6,286,5,213,NEUQUEN
NEUQUEN_MINAS,"Minas, Neuquen",FRENTE DE TODOS,5.07,2.92,68.28,5.73,0.77,14.75,0.4,0.61,0.23,1.24,217,125,2921,245,33,631,17,26,10,53,78.51,6850,5378,18.5,0.04,1.92,995,2,103,NEUQUEN
NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",FRENTE DE TODOS,7.96,2.54,47.74,11.99,0.9,25.06,0.87,0.46,0.34,2.13,873,279,5238,1316,99,2750,95,51,37,234,73.46,20601,15133,24.64,0.01,2.84,3729,2,430,NEUQUEN
NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",FRENTE DE TODOS,7.01,2.43,68.08,2.21,0.4,17.47,0.98,0.36,0.15,0.91,193,67,1875,61,11,481,27,10,4,25,73.87,4103,3031,7.79,0.03,1.32,236,1,40,NEUQUEN
NEUQUEN_PICUNCHES,"Picunches, Neuquen",FRENTE DE TODOS,5.33,1.65,55.09,2.4,0.81,31.46,0.61,0.42,0.42,1.81,191,59,1975,86,29,1128,22,15,15,65,75.05,5447,4088,10.32,0.05,1.93,422,2,79,NEUQUEN
NEUQUEN_ZAPALA,"Zapala, Neuquen",FRENTE DE TODOS,7.77,4.21,48.76,4.29,0.6,30.57,1.01,0.48,0.35,1.96,1841,998,11547,1015,143,7239,240,113,82,463,80.46,32595,26227,7.81,0.02,1.88,2049,5,492,NEUQUEN
NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",FRENTE DE TODOS,5.41,1.98,69.79,2.59,0.62,16.82,0.55,0.39,0.55,1.3,167,61,2153,80,19,519,17,12,17,40,79.71,4563,3637,13.83,0.08,1.26,503,3,46,NEUQUEN
