id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",FRENTE DE TODOS,3.55,1.66,74.77,4.02,0.4,13.77,0.53,0.28,0.13,0.9,269,126,5670,305,30,1044,40,21,10,68,65.8,12595,8287,5.82,0.11,2.57,482,9,213,RIO NEGRO
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",FRENTE DE TODOS,7.64,2.97,54.29,4.59,0.28,26.65,0.94,0.24,0.15,2.24,2813,1095,19981,1691,103,9809,347,89,56,823,72.34,54959,39758,5.15,0.31,1.97,2047,122,782,RIO NEGRO
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",FRENTE DE TODOS,6.05,1.98,60.71,4.37,0.24,24.58,0.44,0.22,0.14,1.28,1201,393,12043,866,47,4875,87,44,28,253,72.96,29859,21786,7.09,0.23,1.62,1545,51,353,RIO NEGRO
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",FRENTE DE TODOS,7.72,4.21,54.81,4.31,0.35,24.05,1.19,0.29,0.19,2.88,6340,3459,45037,3541,286,19760,977,239,159,2367,73.98,118330,87545,4.01,0.07,2.07,3507,57,1816,RIO NEGRO
RIO NEGRO_CONESA,"Conesa, Rio Negro",FRENTE DE TODOS,6.5,1.89,61.06,3.61,0.19,24.17,0.5,0.28,0.25,1.56,234,68,2198,130,7,870,18,10,9,56,71.47,5552,3968,6.55,0.13,2.6,260,5,103,RIO NEGRO
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",FRENTE DE TODOS,4.28,2.71,72.54,2.58,0.18,15.27,1.01,0.32,0.28,0.83,93,59,1577,56,4,332,22,7,6,18,67.87,3455,2345,4.73,1.36,1.19,111,32,28,RIO NEGRO
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",FRENTE DE TODOS,7.71,3.07,56.48,5.1,0.27,23.69,0.8,0.25,0.16,2.48,15059,5998,110309,9962,524,46262,1569,483,306,4846,76.85,273421,210119,4.82,0.13,2.09,10134,268,4399,RIO NEGRO
RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",FRENTE DE TODOS,4.58,0.79,77.85,3.97,0.12,10.31,0.61,0.49,0.24,1.04,75,13,1276,65,2,169,10,8,4,17,57.23,3145,1800,8.11,0.28,0.56,146,5,10,RIO NEGRO
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",FRENTE DE TODOS,9.23,2.04,56.46,2.23,0.3,26.19,0.96,0.23,0.13,2.25,800,177,4896,193,26,2271,83,20,11,195,74.49,12582,9372,5.27,0.17,2.03,494,16,190,RIO NEGRO
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",FRENTE DE TODOS,6.75,3.26,56.45,4.98,0.3,24.3,0.82,0.24,0.26,2.64,337,163,2820,249,15,1214,41,12,13,132,75.69,7437,5629,9.72,0.05,1.47,547,3,83,RIO NEGRO
RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",FRENTE DE TODOS,6.52,2.03,60.18,6.89,0.19,21.44,0.64,0.26,0.06,1.78,1173,366,10833,1240,35,3860,115,46,11,321,69.91,27601,19295,5.09,0.1,1.52,982,19,294,RIO NEGRO
RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",FRENTE DE TODOS,4.31,1.44,66.09,6.59,0.36,18.93,0.48,0.28,0.28,1.24,108,36,1655,165,9,474,12,7,7,31,65.71,4150,2727,4.51,0.04,3.63,123,1,99,RIO NEGRO
RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",FRENTE DE TODOS,3.76,1.42,74.61,5.31,0.78,11.79,0.91,0.39,0.0,1.04,29,11,576,41,6,91,7,3,0,8,65.36,1325,866,9.58,0.0,1.27,83,0,11,RIO NEGRO
