id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",FRENTE DE TODOS,6.34,0.75,72.52,2.88,0.13,16.52,0.37,0.13,0.0,0.34,615,73,7040,280,13,1604,36,13,0,33,73.11,13554,9909,1.56,0.09,0.38,155,9,38,SAN JUAN
SAN JUAN_ALBARDON,"Albardon, San Juan",FRENTE DE TODOS,8.5,0.85,66.54,3.45,0.14,19.27,0.37,0.13,0.01,0.75,1343,134,10520,546,22,3046,58,20,2,118,81.35,20033,16297,1.99,0.2,0.81,324,32,132,SAN JUAN
SAN JUAN_ANGACO,"Angaco, San Juan",FRENTE DE TODOS,9.35,1.15,62.79,1.83,0.21,23.1,0.59,0.23,0.0,0.75,571,70,3836,112,13,1411,36,14,0,46,76.75,8271,6348,2.93,0.08,0.76,186,5,48,SAN JUAN
SAN JUAN_CALINGASTA,"Calingasta, San Juan",FRENTE DE TODOS,6.41,0.93,66.03,1.18,0.17,23.13,0.95,0.21,0.0,0.99,343,50,3534,63,9,1238,51,11,0,53,71.24,7899,5627,3.36,0.05,1.48,189,3,83,SAN JUAN
SAN JUAN_CAPITAL,"Capital, San Juan",JUNTOS POR EL CAMBIO,11.93,1.71,35.24,3.27,0.16,44.24,0.48,0.12,0.12,2.73,8135,1166,24032,2232,109,30170,327,84,80,1862,76.45,92072,70390,1.87,0.09,1.16,1314,61,818,SAN JUAN
SAN JUAN_CAUCETE,"Caucete, San Juan",FRENTE DE TODOS,8.89,1.24,62.63,3.28,0.15,22.31,0.47,0.12,0.01,0.9,1774,248,12500,655,29,4452,94,24,2,180,69.62,29354,20435,1.49,0.01,0.84,304,2,171,SAN JUAN
SAN JUAN_CHIMBAS,"Chimbas, San Juan",FRENTE DE TODOS,9.53,1.32,65.64,3.24,0.23,18.16,0.49,0.21,0.01,1.16,4696,653,32350,1598,115,8951,240,105,5,571,77.84,65465,50960,1.93,0.08,1.28,984,41,651,SAN JUAN
SAN JUAN_IGLESIA,"Iglesia, San Juan",FRENTE DE TODOS,10.84,1.4,54.08,1.46,0.37,29.76,1.17,0.25,0.0,0.68,528,68,2635,71,18,1450,57,12,0,33,71.94,7095,5104,3.43,0.16,0.96,175,8,49,SAN JUAN
SAN JUAN_JACHAL,"Jachal, San Juan",FRENTE DE TODOS,6.7,2.01,68.15,0.82,0.13,20.75,0.46,0.19,0.0,0.79,968,290,9844,119,19,2998,66,27,0,114,80.27,18526,14871,1.61,0.15,1.11,239,22,165,SAN JUAN
SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",FRENTE DE TODOS,8.08,1.09,66.5,2.69,0.11,19.99,0.43,0.24,0.0,0.87,510,69,4198,170,7,1262,27,15,0,55,74.91,8714,6528,2.45,0.05,0.8,160,3,52,SAN JUAN
SAN JUAN_POCITO,"Pocito, San Juan",FRENTE DE TODOS,7.91,1.3,67.03,3.35,0.21,18.69,0.47,0.23,0.02,0.8,2537,416,21497,1074,67,5994,151,74,6,257,77.59,42794,33205,2.2,0.05,1.16,730,18,384,SAN JUAN
SAN JUAN_RAWSON,"Rawson, San Juan",FRENTE DE TODOS,11.72,1.79,56.61,3.77,0.2,23.56,0.45,0.19,0.15,1.55,8080,1234,39017,2595,137,16239,309,133,105,1069,77.14,92530,71379,1.94,0.11,1.4,1387,76,998,SAN JUAN
SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",FRENTE DE TODOS,11.78,1.72,46.93,3.01,0.24,33.65,0.48,0.18,0.0,2.01,6232,908,24821,1591,129,17799,256,94,0,1062,77.74,70141,54528,1.82,0.12,1.05,993,68,575,SAN JUAN
SAN JUAN_SAN MARTIN,"San Martin, San Juan",FRENTE DE TODOS,9.4,1.07,66.71,2.57,0.21,18.74,0.43,0.18,0.01,0.68,676,77,4799,185,15,1348,31,13,1,49,80.04,9292,7437,2.31,0.0,0.95,172,0,71,SAN JUAN
SAN JUAN_SANTA LUCIA,"Santa Lucia, San Juan",FRENTE DE TODOS,11.28,1.37,49.27,3.03,0.18,32.2,0.41,0.38,0.06,1.83,3428,416,14970,922,54,9783,124,114,17,557,75.07,42155,31647,2.61,0.08,1.3,826,26,410,SAN JUAN
SAN JUAN_SARMIENTO,"Sarmiento, San Juan",FRENTE DE TODOS,6.75,0.85,71.12,1.09,0.13,18.92,0.46,0.17,0.0,0.5,919,116,9677,148,18,2574,63,23,0,68,79.63,17601,14016,1.81,0.09,1.03,254,12,144,SAN JUAN
SAN JUAN_ULLUM,"Ullum, San Juan",FRENTE DE TODOS,5.19,0.62,81.05,1.04,0.13,11.42,0.06,0.23,0.0,0.26,160,19,2498,32,4,352,2,7,0,8,74.86,4184,3132,1.25,0.06,0.29,39,2,9,SAN JUAN
SAN JUAN_VALLE FERTIL,"Valle Fertil, San Juan",FRENTE DE TODOS,8.39,0.8,70.81,1.05,0.07,17.86,0.47,0.13,0.0,0.42,377,36,3183,47,3,803,21,6,0,19,73.51,6293,4626,2.08,0.0,0.76,96,0,35,SAN JUAN
SAN JUAN_ZONDA,"Zonda, San Juan",FRENTE DE TODOS,8.13,0.95,72.29,1.02,0.03,16.3,0.3,0.13,0.0,0.85,248,29,2204,31,1,497,9,4,0,26,74.99,4155,3116,1.09,0.32,0.74,34,10,23,SAN JUAN
