id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SANTA FE_BELGRANO,"Belgrano, Santa Fe",JUNTOS POR EL CAMBIO,12.65,1.87,36.2,3.16,0.17,42.5,0.56,0.18,0.25,2.47,3547,523,10147,886,47,11913,156,50,69,691,75.62,38676,29247,1.87,0.11,2.19,547,31,640,SANTA FE
SANTA FE_CASEROS,"Caseros, Santa Fe",JUNTOS POR EL CAMBIO,13.84,2.22,35.4,2.04,0.19,41.96,0.74,0.19,0.1,3.31,7045,1132,18013,1036,97,21353,377,96,52,1686,74.55,71557,53347,2.14,0.1,2.37,1141,54,1265,SANTA FE
SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",JUNTOS POR EL CAMBIO,9.67,1.45,32.68,3.14,0.21,49.51,0.47,0.11,0.13,2.62,10179,1529,34410,3311,216,52129,500,120,133,2757,73.91,147941,109343,1.32,0.18,2.22,1443,194,2422,SANTA FE
SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",FRENTE DE TODOS,11.56,2.43,46.35,2.66,0.18,32.74,0.67,0.14,0.17,3.1,6443,1353,25843,1485,101,18254,374,76,96,1726,77.33,75002,58002,1.64,0.13,2.11,950,76,1225,SANTA FE
SANTA FE_GARAY,"Garay, Santa Fe",FRENTE DE TODOS,9.71,0.89,53.91,1.46,0.13,31.47,0.52,0.09,0.24,1.56,1229,113,6826,185,17,3985,66,12,31,197,69.28,19239,13329,1.46,0.21,3.35,194,28,446,SANTA FE
SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",JUNTOS POR EL CAMBIO,11.05,1.83,38.96,2.94,0.2,41.4,0.58,0.11,0.09,2.83,12821,2127,45191,3409,228,48015,667,125,109,3287,72.82,165000,120160,1.57,0.17,1.74,1882,210,2089,SANTA FE
SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",FRENTE DE TODOS,7.71,1.09,49.84,2.4,0.13,35.68,0.37,0.12,0.25,2.41,7974,1124,51581,2485,136,36920,387,121,261,2494,72.15,149005,107508,1.14,0.18,2.42,1222,196,2607,SANTA FE
SANTA FE_IRIONDO,"Iriondo, Santa Fe",FRENTE DE TODOS,12.44,1.84,42.41,3.18,0.23,35.96,0.68,0.1,0.2,2.94,5266,779,17952,1347,98,15222,288,44,86,1245,75.53,58499,44182,1.96,0.09,2.15,866,38,951,SANTA FE
SANTA FE_LA CAPITAL,"La Capital, Santa Fe",FRENTE DE TODOS,12.45,1.76,42.74,3.63,0.23,34.96,0.63,0.13,0.26,3.2,37121,5233,127381,10820,696,104198,1892,391,786,9542,70.66,438765,310034,1.22,0.09,2.56,3779,266,7929,SANTA FE
SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",JUNTOS POR EL CAMBIO,12.71,1.18,28.68,3.12,0.2,49.75,0.5,0.1,0.23,3.54,8213,764,18524,2014,127,32133,324,62,146,2287,76.25,88623,67574,1.8,0.05,2.56,1219,32,1729,SANTA FE
SANTA FE_9 DE JULIO,"Nueve De Julio, Santa Fe",FRENTE DE TODOS,5.33,0.56,48.35,5.33,0.12,38.27,0.36,0.13,0.2,1.34,869,92,7883,869,20,6240,58,22,32,219,66.45,25485,16935,1.33,0.17,2.23,226,28,377,SANTA FE
SANTA FE_ROSARIO,"Rosario, Santa Fe",FRENTE DE TODOS,14.04,2.56,47.97,3.07,0.17,28.16,0.61,0.11,0.08,3.24,103075,18818,352274,22539,1213,206755,4470,782,600,23812,73.66,1034372,761934,1.21,0.1,2.31,9215,769,17612,SANTA FE
SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",FRENTE DE TODOS,9.76,1.05,44.47,1.72,0.12,40.46,0.41,0.11,0.21,1.69,3768,407,17175,663,47,15628,160,43,80,653,68.19,58782,40084,1.5,0.2,1.95,600,79,781,SANTA FE
SANTA FE_SAN JAVIER,"San Javier, Santa Fe",FRENTE DE TODOS,6.6,1.07,53.67,1.39,0.68,34.07,0.45,0.1,0.25,1.73,1146,186,9324,241,118,5920,78,17,44,300,67.0,26997,18087,1.56,0.06,2.32,283,11,419,SANTA FE
SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",FRENTE DE TODOS,11.53,1.33,45.4,2.64,0.18,35.2,0.43,0.12,0.22,2.95,5576,643,21952,1275,88,17018,209,58,107,1424,73.21,68977,50500,1.58,0.16,2.52,796,79,1275,SANTA FE
SANTA FE_SAN JUSTO,"San Justo, Santa Fe",JUNTOS POR EL CAMBIO,10.13,1.1,39.95,1.87,0.16,43.87,0.4,0.12,0.31,2.09,2596,283,10238,478,42,11241,102,31,79,535,73.18,36526,26730,1.32,0.27,2.55,353,71,681,SANTA FE
SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",FRENTE DE TODOS,13.8,2.14,48.2,4.28,0.23,27.42,0.6,0.13,0.09,3.1,15011,2327,52424,4659,246,29824,658,139,100,3373,76.29,148446,113246,1.39,0.1,2.46,1577,118,2790,SANTA FE
SANTA FE_SAN MARTIN,"San Martin, Santa Fe",JUNTOS POR EL CAMBIO,11.61,1.59,34.57,2.84,0.19,45.47,0.52,0.15,0.23,2.82,4436,608,13208,1085,73,17371,200,56,89,1078,73.76,54297,40048,1.6,0.18,2.83,640,72,1132,SANTA FE
SANTA FE_VERA,"Vera, Santa Fe",FRENTE DE TODOS,7.73,0.76,55.14,1.6,0.1,32.43,0.36,0.09,0.26,1.54,2239,219,15974,463,29,9396,103,27,75,447,67.07,45075,30232,1.31,0.15,2.72,395,44,821,SANTA FE
