id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",FRENTE DE TODOS,5.34,0.73,68.56,1.59,0.09,22.71,0.24,0.03,0.03,0.68,1049,144,13474,312,17,4464,48,6,6,133,78.31,25555,20011,0.93,0.14,0.71,187,29,142,TUCUMAN
TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",FRENTE DE TODOS,4.32,0.46,79.52,1.35,0.07,13.76,0.13,0.06,0.02,0.31,1088,117,20027,339,17,3466,32,16,6,77,73.77,34783,25659,0.96,0.19,0.7,246,49,179,TUCUMAN
TUCUMAN_CAPITAL,"Capital, Tucuman",FRENTE DE TODOS,8.75,2.4,48.01,4.49,0.19,33.36,0.29,0.1,0.08,2.34,28331,7760,155474,14547,630,108035,953,322,252,7564,74.16,453036,335979,1.91,0.2,1.49,6427,687,4997,TUCUMAN
TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",FRENTE DE TODOS,5.98,0.87,63.91,2.56,0.14,24.19,0.22,0.1,0.03,1.98,3101,453,33135,1327,75,12543,114,52,18,1027,77.92,67873,52890,0.92,0.13,0.92,488,70,487,TUCUMAN
TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",FRENTE DE TODOS,5.57,1.38,71.41,3.13,0.12,17.15,0.21,0.07,0.06,0.9,6685,1656,85646,3749,146,20573,256,81,73,1077,76.53,160678,122964,1.28,0.14,1.03,1579,176,1267,TUCUMAN
TUCUMAN_FAMAILLA,"Famailla, Tucuman",FRENTE DE TODOS,6.65,1.04,70.51,2.9,0.08,17.66,0.22,0.09,0.07,0.77,1485,233,15750,648,18,3944,49,21,16,172,75.61,30408,22992,1.6,0.11,1.14,369,26,261,TUCUMAN
TUCUMAN_GRANEROS,"Graneros, Tucuman",FRENTE DE TODOS,3.69,0.5,81.17,1.91,0.04,12.11,0.13,0.05,0.01,0.38,337,46,7421,175,4,1107,12,5,1,35,78.86,11758,9272,0.82,0.16,0.41,76,15,38,TUCUMAN
TUCUMAN_LA COCHA,"La Cocha, Tucuman",FRENTE DE TODOS,4.13,0.53,74.51,1.09,0.18,18.99,0.12,0.07,0.06,0.31,518,67,9344,137,23,2382,15,9,7,39,79.01,16156,12765,0.84,0.18,0.74,107,23,94,TUCUMAN
TUCUMAN_LEALES,"Leales, Tucuman",FRENTE DE TODOS,5.12,0.84,74.91,1.8,0.08,16.39,0.19,0.06,0.05,0.56,1905,313,27877,669,31,6099,72,23,18,207,78.89,48192,38019,1.22,0.1,0.8,463,39,303,TUCUMAN
TUCUMAN_LULES,"Lules, Tucuman",FRENTE DE TODOS,6.91,1.26,63.13,3.31,0.11,23.59,0.26,0.07,0.04,1.31,2839,517,25920,1360,45,9688,105,30,17,539,79.92,52841,42229,1.37,0.16,1.24,579,67,523,TUCUMAN
