,id,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES,UNION POR LA PATRIA,3.57,0.19,0.24,1.19,31.2,26.27,0.39,0.16,0.42,0.51,0.24,0.94,0.2,0.09,34.4,293601.0,15823.0,19974.0,97586.0,2567840.0,2161679.0,32230.0,12795.0,34729.0,41840.0,19572.0,77614.0,16439.0,7400.0,2831078.0,67.88,13115144,8902113,6.55,0.16,0.84,582843,14641,74429
1,CATAMARCA,UNION POR LA PATRIA,1.43,0.03,0.2,1.8,22.7,27.4,0.28,0.2,0.3,0.63,0.38,0.04,0.01,0.01,44.59,2802.0,65.0,394.0,3530.0,44544.0,53778.0,557.0,385.0,587.0,1245.0,745.0,81.0,20.0,17.0,87513.0,64.7,340478,220286,9.63,0.22,1.06,21221,477,2325
2,CHACO,UNION POR LA PATRIA,1.29,0.04,0.25,1.47,27.65,30.13,0.41,0.2,0.38,1.02,0.34,0.71,0.02,0.0,36.08,7710.0,253.0,1490.0,8833.0,165721.0,180599.0,2437.0,1211.0,2264.0,6141.0,2035.0,4232.0,129.0,21.0,216257.0,62.92,1001910,630428,3.93,0.18,0.82,24804,1116,5175
3,CHUBUT,LA LIBERTAD AVANZA,3.45,0.05,0.3,2.51,25.36,41.06,0.65,0.27,0.38,0.64,0.45,1.04,0.02,0.03,23.78,10419.0,159.0,905.0,7587.0,76603.0,124030.0,1959.0,819.0,1150.0,1926.0,1367.0,3127.0,75.0,96.0,71830.0,68.08,474701,323155,3.93,0.15,2.46,12685,471,7947
4,CIUDAD AUTONOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,4.71,0.01,0.16,0.96,49.14,18.07,0.43,0.16,0.37,0.23,0.27,1.34,0.0,0.13,23.99,78014.0,167.0,2715.0,15886.0,813264.0,299097.0,7198.0,2691.0,6186.0,3754.0,4454.0,22233.0,61.0,2230.0,397054.0,67.24,2528223,1700085,1.66,0.05,0.94,28143,915,16023
5,CORDOBA,LA LIBERTAD AVANZA,1.54,0.15,0.14,27.97,25.56,34.15,0.19,0.12,0.17,0.23,0.11,0.68,0.18,0.0,8.8,31135.0,3076.0,2867.0,564182.0,515456.0,688684.0,3893.0,2471.0,3413.0,4565.0,2123.0,13784.0,3635.0,61.0,177528.0,67.68,3063956,2073669,1.53,0.04,1.16,31802,843,24151
6,CORRIENTES,JUNTOS POR EL CAMBIO,1.0,0.01,0.16,1.47,35.05,29.84,0.44,0.22,0.34,0.62,0.24,0.54,0.01,0.01,30.04,6055.0,82.0,969.0,8929.0,213104.0,181456.0,2686.0,1358.0,2087.0,3770.0,1449.0,3286.0,75.0,43.0,182658.0,67.6,933441,631006,2.16,0.12,1.37,13636,733,8630
7,ENTRE RIOS,JUNTOS POR EL CAMBIO,1.43,0.09,0.23,1.34,36.7,25.13,0.27,0.18,0.32,0.21,0.21,0.7,0.01,0.01,33.17,10036.0,613.0,1643.0,9425.0,257263.0,176164.0,1885.0,1238.0,2255.0,1456.0,1477.0,4901.0,91.0,52.0,232570.0,71.14,1144216,814030,12.29,0.16,1.43,100046,1269,11646
8,FORMOSA,UNION POR LA PATRIA,0.69,0.06,0.15,1.04,22.34,26.24,0.25,0.17,0.21,0.56,0.23,0.03,0.03,0.01,47.97,2116.0,188.0,470.0,3208.0,68739.0,80753.0,775.0,533.0,660.0,1724.0,710.0,94.0,97.0,31.0,147592.0,66.14,482733,319297,2.8,0.14,0.7,8935,446,2226
9,JUJUY,LA LIBERTAD AVANZA,7.2,0.1,0.22,1.79,24.93,41.75,0.28,0.21,0.38,0.4,0.35,0.71,0.01,0.0,21.68,28982.0,413.0,905.0,7215.0,100408.0,168142.0,1124.0,839.0,1527.0,1598.0,1423.0,2859.0,21.0,5.0,87314.0,72.48,590695,428107,4.5,0.07,1.34,19272,318,5742
