,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
0,BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",JUNTOS POR EL CAMBIO,1.26,0.0,0.17,1.36,40.25,26.92,0.23,0.23,0.2,0.17,0.26,0.26,0.0,0.0,28.67,253.0,0.0,35.0,272.0,8076.0,5401.0,47.0,46.0,41.0,35.0,53.0,53.0,0.0,1.0,5753.0,70.17,31685,22234,8.93,0.25,0.57,1986,55
1,BUENOS AIRES_9 DE JULIO,"9 De Julio, Buenos Aires",JUNTOS POR EL CAMBIO,1.56,0.32,0.18,1.4,45.36,28.01,0.18,0.26,0.29,0.61,0.14,0.47,0.11,0.0,21.09,425.0,88.0,49.0,381.0,12351.0,7626.0,48.0,72.0,78.0,167.0,39.0,129.0,31.0,0.0,5742.0,67.96,43235,29384,6.51,0.03,0.8,1914,9
2,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",JUNTOS POR EL CAMBIO,0.76,0.0,0.16,2.01,44.38,28.05,0.23,0.22,0.23,0.14,0.17,0.37,0.0,0.0,23.29,66.0,0.0,14.0,175.0,3865.0,2443.0,20.0,19.0,20.0,12.0,15.0,32.0,0.0,0.0,2028.0,66.23,14489,9596,8.69,0.19,0.36,834,18
3,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Adolfo Gonzales Chaves, Buenos Aires",JUNTOS POR EL CAMBIO,1.15,0.03,0.08,1.8,35.57,25.61,0.16,0.23,0.43,0.07,0.13,0.56,0.0,0.0,34.18,70.0,2.0,5.0,110.0,2171.0,1563.0,10.0,14.0,26.0,4.0,8.0,34.0,0.0,0.0,2086.0,66.92,10829,7247,14.27,0.28,1.24,1034,20
4,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",JUNTOS POR EL CAMBIO,1.04,0.17,0.14,1.8,39.84,21.91,0.12,0.15,0.21,0.63,0.06,0.8,0.03,0.0,33.11,69.0,11.0,9.0,119.0,2639.0,1451.0,8.0,10.0,14.0,42.0,4.0,53.0,2.0,0.0,2193.0,74.99,9651,7237,8.46,0.01,0.0,612,1
5,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,4.68,0.26,0.32,1.32,24.21,26.17,0.54,0.24,0.49,0.57,0.27,1.19,0.33,0.12,39.28,13408.0,755.0,929.0,3768.0,69329.0,74951.0,1548.0,684.0,1409.0,1640.0,771.0,3407.0,935.0,338.0,112486.0,67.97,455266,309453,6.28,0.17,1.01,19440,536
6,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",JUNTOS POR EL CAMBIO,1.11,0.13,0.16,1.12,38.91,24.55,0.22,0.14,0.24,0.17,0.1,0.19,0.0,0.0,32.96,199.0,23.0,29.0,201.0,7005.0,4420.0,40.0,25.0,44.0,30.0,18.0,35.0,0.0,0.0,5935.0,74.73,25870,19333,6.19,0.18,0.51,1196,34
7,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,4.09,0.18,0.21,1.11,29.61,21.27,0.44,0.17,0.51,0.29,0.22,1.23,0.25,0.11,40.3,7763.0,335.0,403.0,2113.0,56226.0,40389.0,834.0,321.0,976.0,548.0,419.0,2342.0,475.0,214.0,76513.0,69.01,294097,202967,5.64,0.15,0.66,11447,307
8,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",JUNTOS POR EL CAMBIO,1.41,0.01,0.12,1.54,42.74,21.73,0.37,0.34,0.37,0.63,0.1,0.73,0.0,0.01,29.91,150.0,1.0,13.0,164.0,4559.0,2318.0,39.0,36.0,39.0,67.0,11.0,78.0,0.0,1.0,3191.0,66.43,18397,12221,11.86,0.19,0.67,1449,23
9,BUENOS AIRES_AZUL,"Azul, Buenos Aires",JUNTOS POR EL CAMBIO,1.89,0.0,0.19,1.83,40.69,27.52,0.29,0.37,0.34,0.16,0.14,0.8,0.01,0.0,25.79,683.0,0.0,67.0,658.0,14668.0,9920.0,103.0,133.0,122.0,57.0,49.0,287.0,3.0,1.0,9297.0,67.96,58801,39960,8.22,0.15,1.43,3284,58
