id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.26,0.0,0.19,0.92,47.63,19.61,0.47,0.16,0.4,0.25,0.28,1.32,0.0,0.18,24.33,4501.0,4.0,204.0,970.0,50301.0,20714.0,493.0,170.0,423.0,263.0,292.0,1389.0,2.0,185.0,25697.0,61.64,176156,108586,1.74,0.05,0.96,1888,53,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.25,0.0,0.2,1.07,45.63,19.39,0.54,0.19,0.44,0.23,0.28,1.68,0.0,0.14,24.96,5264.0,0.0,201.0,1074.0,45772.0,19447.0,541.0,186.0,442.0,231.0,282.0,1683.0,2.0,136.0,25040.0,70.28,147141,103409,1.91,0.06,1.03,1977,65,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.91,0.04,0.15,0.94,49.67,17.61,0.46,0.18,0.37,0.19,0.27,1.38,0.01,0.14,23.69,5956.0,43.0,181.0,1141.0,60284.0,21371.0,558.0,220.0,449.0,227.0,333.0,1671.0,11.0,174.0,28760.0,72.85,171456,124907,1.73,0.04,1.05,2160,52,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.67,0.0,0.15,1.02,51.62,16.42,0.38,0.14,0.37,0.18,0.25,1.41,0.0,0.1,23.28,6219.0,5.0,196.0,1358.0,68716.0,21857.0,509.0,184.0,495.0,241.0,335.0,1871.0,3.0,131.0,30993.0,71.63,190927,136763,1.66,0.04,0.97,2270,57,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,3.66,0.04,0.1,1.0,62.17,13.94,0.29,0.1,0.24,0.11,0.17,0.88,0.0,0.08,17.22,5393.0,61.0,149.0,1470.0,91581.0,20535.0,420.0,147.0,348.0,161.0,255.0,1298.0,7.0,115.0,25370.0,69.54,216742,150732,1.49,0.04,0.74,2249,56,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,3.31,0.0,0.1,0.89,62.41,13.63,0.25,0.08,0.23,0.13,0.17,0.86,0.0,0.07,17.87,4525.0,4.0,138.0,1218.0,85227.0,18612.0,338.0,109.0,309.0,183.0,229.0,1180.0,1.0,93.0,24404.0,67.29,207178,139408,1.35,0.03,0.65,1882,48,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.02,0.02,0.15,1.02,45.14,15.9,0.46,0.19,0.34,0.21,0.35,1.42,0.0,0.13,28.66,5941.0,15.0,149.0,1002.0,44547.0,15690.0,450.0,189.0,331.0,212.0,341.0,1400.0,4.0,126.0,28283.0,61.97,163696,101448,1.62,0.07,1.04,1641,73,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,2.78,0.0,0.09,0.75,66.42,13.98,0.21,0.08,0.18,0.13,0.13,0.75,0.0,0.07,14.44,2478.0,1.0,82.0,670.0,59254.0,12473.0,185.0,70.0,164.0,114.0,116.0,665.0,1.0,58.0,12883.0,65.92,138027,90983,1.28,0.05,0.62,1163,45,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.38,0.0,0.19,1.01,42.93,20.06,0.54,0.18,0.47,0.24,0.36,1.49,0.0,0.16,26.99,5228.0,1.0,182.0,984.0,41754.0,19510.0,521.0,174.0,459.0,238.0,348.0,1445.0,1.0,154.0,26251.0,64.38,155295,99982,1.62,0.05,1.06,1621,52,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.35,0.01,0.24,0.93,38.12,22.29,0.58,0.26,0.52,0.41,0.35,1.59,0.0,0.2,29.15,5904.0,13.0,268.0,1030.0,42053.0,24587.0,636.0,284.0,577.0,457.0,381.0,1755.0,5.0,216.0,32161.0,63.05,180518,113815,1.91,0.05,1.11,2170,56,CIUDAD AUTONOMA DE BUENOS AIRES
