id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CATAMARCA_AMBATO,"Ambato, Catamarca",UNION POR LA PATRIA,0.64,0.0,0.09,0.86,26.2,21.24,0.06,0.0,0.09,0.21,0.15,0.0,0.0,0.0,50.44,21.0,0.0,3.0,28.0,855.0,693.0,2.0,0.0,3.0,7.0,5.0,0.0,0.0,0.0,1646.0,74.01,5491,4064,19.24,0.27,0.2,782,11,CATAMARCA
CATAMARCA_ANCASTI,"Ancasti, Catamarca",JUNTOS POR EL CAMBIO,1.48,0.0,0.0,0.55,44.07,7.55,0.22,0.11,0.22,2.02,0.38,0.0,0.0,0.0,43.41,27.0,0.0,0.0,10.0,806.0,138.0,4.0,2.0,4.0,37.0,7.0,0.0,0.0,0.0,794.0,65.94,3203,2112,12.59,0.33,0.47,266,7,CATAMARCA
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",UNION POR LA PATRIA,1.94,0.0,0.19,0.98,32.08,25.29,0.2,0.21,0.29,0.29,0.44,0.0,0.0,0.0,38.08,166.0,0.0,16.0,84.0,2745.0,2164.0,17.0,18.0,25.0,25.0,38.0,0.0,0.0,0.0,3258.0,59.82,16360,9787,11.38,0.2,0.99,1114,20,CATAMARCA
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",JUNTOS POR EL CAMBIO,0.2,0.0,0.1,0.2,55.11,21.44,0.2,0.3,0.4,0.0,0.1,0.0,0.1,0.0,21.84,2.0,0.0,1.0,2.0,545.0,212.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,216.0,69.15,1796,1242,17.23,1.53,1.61,214,19,CATAMARCA
CATAMARCA_BELEN,"Belen, Catamarca",UNION POR LA PATRIA,0.63,0.06,0.17,1.13,28.83,21.38,0.22,0.17,0.2,0.42,0.33,0.02,0.0,0.0,46.42,88.0,9.0,24.0,158.0,4024.0,2984.0,31.0,24.0,28.0,58.0,46.0,3.0,0.0,0.0,6479.0,65.7,24324,15980,11.96,0.11,0.59,1912,18,CATAMARCA
CATAMARCA_CAPAYAN,"Capayan, Catamarca",UNION POR LA PATRIA,1.56,0.08,0.09,0.81,14.53,24.55,0.2,0.12,0.25,0.76,0.32,0.0,0.03,0.09,56.59,117.0,6.0,7.0,61.0,1088.0,1838.0,15.0,9.0,19.0,57.0,24.0,0.0,2.0,7.0,4236.0,56.65,15197,8609,12.23,0.15,0.66,1053,13,CATAMARCA
CATAMARCA_CAPITAL,"Capital, Catamarca",UNION POR LA PATRIA,2.13,0.0,0.26,2.5,21.44,31.49,0.39,0.24,0.43,1.0,0.53,0.07,0.01,0.01,39.5,1723.0,3.0,208.0,2014.0,17300.0,25414.0,313.0,196.0,350.0,809.0,425.0,57.0,10.0,6.0,31876.0,62.59,141578,88613,7.28,0.23,1.41,6448,208,CATAMARCA
CATAMARCA_EL ALTO,"El Alto, Catamarca",UNION POR LA PATRIA,0.67,0.0,0.13,0.9,24.29,13.4,0.27,0.03,0.07,0.17,0.13,0.03,0.03,0.0,59.87,20.0,0.0,4.0,27.0,725.0,400.0,8.0,1.0,2.0,5.0,4.0,1.0,1.0,0.0,1787.0,77.52,4338,3363,10.41,0.33,0.51,350,11,CATAMARCA
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",UNION POR LA PATRIA,1.75,0.17,0.17,1.31,23.72,20.45,0.28,0.14,0.14,0.2,0.34,0.1,0.0,0.0,51.24,124.0,12.0,12.0,93.0,1682.0,1450.0,20.0,10.0,10.0,14.0,24.0,7.0,0.0,0.0,3634.0,69.93,12230,8552,16.1,0.19,0.78,1377,16,CATAMARCA
CATAMARCA_LA PAZ,"La Paz, Catamarca",UNION POR LA PATRIA,0.48,0.0,0.16,2.79,17.48,18.97,0.23,0.21,0.17,0.12,0.21,0.0,0.0,0.0,59.18,62.0,0.0,20.0,360.0,2253.0,2445.0,30.0,27.0,22.0,15.0,27.0,0.0,0.0,0.0,7628.0,67.53,21015,14192,8.0,0.31,0.87,1136,44,CATAMARCA
