id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
ENTRE RIOS_COLON,"Colon, Entre Rios",JUNTOS POR EL CAMBIO,1.23,0.08,0.23,2.29,37.36,26.4,0.27,0.17,0.32,0.18,0.25,0.83,0.01,0.0,30.37,455.0,30.0,86.0,848.0,13856.0,9789.0,100.0,64.0,120.0,68.0,93.0,309.0,3.0,1.0,11262.0,71.46,60101,42946,12.33,0.05,1.27,5295,23,ENTRE RIOS
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",UNION POR LA PATRIA,1.73,0.17,0.19,0.79,33.58,23.14,0.27,0.17,0.33,0.13,0.25,0.8,0.01,0.03,38.41,1538.0,153.0,169.0,703.0,29779.0,20524.0,238.0,150.0,291.0,115.0,224.0,709.0,5.0,26.0,34059.0,70.02,149196,104464,13.43,0.05,1.62,14031,53,ENTRE RIOS
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",JUNTOS POR EL CAMBIO,0.79,0.1,0.17,1.63,39.46,29.35,0.16,0.15,0.25,0.14,0.19,0.67,0.0,0.0,26.92,205.0,27.0,44.0,422.0,10236.0,7614.0,42.0,39.0,66.0,37.0,48.0,174.0,1.0,0.0,6984.0,70.39,43475,30600,13.76,0.04,1.43,4212,11,ENTRE RIOS
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",JUNTOS POR EL CAMBIO,0.75,0.01,0.27,0.73,34.96,28.29,0.16,0.18,0.29,0.13,0.26,0.55,0.01,0.01,33.4,291.0,5.0,103.0,281.0,13512.0,10931.0,61.0,69.0,112.0,51.0,101.0,211.0,5.0,3.0,12909.0,73.7,63935,47123,16.33,0.16,1.51,7693,74,ENTRE RIOS
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",UNION POR LA PATRIA,0.79,0.01,0.22,0.92,25.69,21.37,0.14,0.14,0.48,0.25,0.19,0.94,0.03,0.0,48.82,106.0,1.0,30.0,124.0,3453.0,2872.0,19.0,19.0,65.0,34.0,26.0,126.0,4.0,0.0,6562.0,69.42,24398,16938,18.55,0.12,1.98,3142,20,ENTRE RIOS
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",UNION POR LA PATRIA,0.38,0.0,0.1,1.0,31.74,18.44,0.08,0.12,0.23,0.13,0.2,0.35,0.0,0.0,47.23,23.0,0.0,6.0,60.0,1914.0,1112.0,5.0,7.0,14.0,8.0,12.0,21.0,0.0,0.0,2848.0,70.14,13820,9694,37.11,0.12,0.57,3597,12,ENTRE RIOS
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",JUNTOS POR EL CAMBIO,1.1,0.02,0.35,1.53,44.83,25.48,0.22,0.27,0.46,0.27,0.34,0.73,0.03,0.01,24.36,308.0,5.0,98.0,428.0,12513.0,7112.0,62.0,74.0,128.0,74.0,95.0,205.0,8.0,4.0,6799.0,69.13,48440,33485,14.89,0.18,1.56,4987,61,ENTRE RIOS
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",JUNTOS POR EL CAMBIO,1.69,0.11,0.32,1.44,40.61,28.21,0.35,0.19,0.38,0.24,0.29,0.75,0.01,0.0,25.42,1196.0,78.0,227.0,1018.0,28763.0,19981.0,249.0,137.0,267.0,170.0,208.0,528.0,5.0,2.0,18005.0,75.6,103041,77895,7.55,0.11,1.41,5882,82,ENTRE RIOS
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",UNION POR LA PATRIA,0.79,0.0,0.09,0.62,39.33,16.0,0.15,0.16,0.16,0.18,0.21,0.41,0.0,0.03,41.89,54.0,0.0,6.0,42.0,2682.0,1091.0,10.0,11.0,11.0,12.0,14.0,28.0,0.0,2.0,2857.0,65.21,12440,8112,14.35,0.43,1.15,1164,35,ENTRE RIOS
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",UNION POR LA PATRIA,0.98,0.09,0.2,1.29,31.22,20.63,0.17,0.16,0.19,0.12,0.17,0.52,0.01,0.01,44.24,354.0,32.0,71.0,464.0,11242.0,7430.0,60.0,59.0,70.0,43.0,62.0,187.0,3.0,2.0,15932.0,70.55,61085,43095,14.76,0.5,1.18,6360,216,ENTRE RIOS
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",JUNTOS POR EL CAMBIO,1.71,0.03,0.39,1.48,39.05,26.86,0.25,0.18,0.25,0.21,0.23,0.87,0.01,0.0,28.48,350.0,6.0,79.0,303.0,7982.0,5491.0,52.0,37.0,51.0,43.0,46.0,177.0,2.0,0.0,5821.0,71.39,34812,24853,16.6,0.06,1.09,4126,16,ENTRE RIOS
ENTRE RIOS_PARANA,"Parana, Entre Rios",JUNTOS POR EL CAMBIO,1.66,0.1,0.21,1.3,38.0,25.17,0.32,0.17,0.31,0.29,0.15,0.67,0.02,0.01,31.64,3341.0,193.0,412.0,2612.0,76321.0,50552.0,647.0,341.0,632.0,575.0,308.0,1336.0,37.0,11.0,63546.0,71.26,318136,226716,9.73,0.14,1.53,22067,320,ENTRE RIOS
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",JUNTOS POR EL CAMBIO,0.87,0.2,0.3,1.6,36.4,26.37,0.11,0.26,0.32,0.11,0.17,0.5,0.0,0.0,32.81,82.0,19.0,28.0,152.0,3450.0,2500.0,10.0,25.0,30.0,10.0,16.0,47.0,0.0,0.0,3110.0,70.43,17189,12107,20.72,0.02,0.97,2508,2,ENTRE RIOS
ENTRE RIOS_TALA,"Tala, Entre Rios",JUNTOS POR EL CAMBIO,0.76,0.17,0.14,1.54,36.43,25.24,0.25,0.14,0.27,0.22,0.17,0.84,0.0,0.0,33.83,109.0,24.0,20.0,222.0,5246.0,3634.0,36.0,20.0,39.0,32.0,25.0,121.0,0.0,0.0,4872.0,71.25,24701,17599,17.25,0.03,0.89,3036,6,ENTRE RIOS
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",JUNTOS POR EL CAMBIO,2.04,0.06,0.26,1.8,35.11,23.99,0.33,0.19,0.38,0.19,0.2,0.76,0.02,0.0,34.66,1222.0,37.0,154.0,1078.0,21017.0,14358.0,197.0,116.0,227.0,115.0,121.0,456.0,10.0,1.0,20746.0,71.64,92807,66489,8.37,0.09,1.52,5564,61,ENTRE RIOS
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",UNION POR LA PATRIA,0.85,0.01,0.18,1.68,33.7,26.67,0.18,0.08,0.32,0.15,0.1,0.61,0.02,0.0,35.45,157.0,2.0,34.0,310.0,6232.0,4933.0,34.0,15.0,59.0,28.0,18.0,112.0,4.0,0.0,6555.0,69.82,33071,23089,18.44,0.09,1.38,4257,21,ENTRE RIOS
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",UNION POR LA PATRIA,0.94,0.0,0.29,1.37,34.68,23.87,0.24,0.21,0.28,0.16,0.23,0.59,0.02,0.0,37.12,245.0,1.0,76.0,358.0,9065.0,6240.0,63.0,55.0,73.0,41.0,60.0,154.0,4.0,0.0,9703.0,66.16,43569,28825,7.37,0.89,1.06,2125,256,ENTRE RIOS
