id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
JUJUY_COCHINOCA,"Cochinoca, Jujuy",LA LIBERTAD AVANZA,14.77,0.01,0.19,1.24,13.66,44.08,0.29,0.26,0.57,0.38,0.43,1.1,0.0,0.0,23.02,1088.0,1.0,14.0,91.0,1006.0,3246.0,21.0,19.0,42.0,28.0,32.0,81.0,0.0,0.0,1695.0,69.85,11188,7815,3.99,0.06,1.71,312,5,JUJUY
JUJUY_DOCTOR MANUEL BELGRANO,"Doctor Manuel Belgrano, Jujuy",LA LIBERTAD AVANZA,7.05,0.16,0.22,1.87,29.55,41.69,0.25,0.23,0.37,0.55,0.36,0.8,0.01,0.0,16.89,11179.0,258.0,341.0,2965.0,46848.0,66082.0,401.0,362.0,589.0,877.0,570.0,1261.0,11.0,1.0,26769.0,72.51,229714,166560,3.26,0.07,1.5,5429,119,JUJUY
JUJUY_EL CARMEN,"El Carmen, Jujuy",LA LIBERTAD AVANZA,5.62,0.05,0.23,1.39,21.18,52.66,0.26,0.17,0.32,0.24,0.36,0.36,0.0,0.0,17.15,3308.0,30.0,137.0,816.0,12463.0,30981.0,152.0,99.0,191.0,141.0,214.0,210.0,1.0,0.0,10088.0,75.27,84174,63360,6.02,0.1,1.02,3815,65,JUJUY
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",LA LIBERTAD AVANZA,17.14,0.01,0.3,2.09,17.07,36.03,0.31,0.26,0.69,0.56,0.47,0.39,0.0,0.01,24.68,1672.0,1.0,29.0,204.0,1666.0,3515.0,30.0,25.0,67.0,55.0,46.0,38.0,0.0,1.0,2408.0,71.45,14732,10526,5.57,0.06,1.68,586,6,JUJUY
JUJUY_LEDESMA,"Ledesma, Jujuy",LA LIBERTAD AVANZA,6.97,0.18,0.23,1.74,21.37,38.15,0.29,0.2,0.24,0.19,0.32,1.08,0.0,0.0,29.02,3190.0,84.0,107.0,797.0,9775.0,17453.0,131.0,93.0,112.0,87.0,145.0,494.0,2.0,1.0,13274.0,70.08,69220,48509,4.45,0.05,1.2,2161,23,JUJUY
JUJUY_PALPALA,"Palpala, Jujuy",LA LIBERTAD AVANZA,8.78,0.01,0.29,2.54,23.23,44.01,0.38,0.25,0.4,0.4,0.37,0.66,0.01,0.0,18.68,3037.0,2.0,99.0,878.0,8034.0,15222.0,132.0,86.0,138.0,138.0,128.0,230.0,3.0,1.0,6460.0,78.59,48585,38184,7.74,0.09,1.59,2954,36,JUJUY
JUJUY_RINCONADA,"Rinconada, Jujuy",LA LIBERTAD AVANZA,5.76,0.0,0.0,0.47,12.94,39.65,0.35,0.0,0.12,0.12,0.24,1.29,0.0,0.0,39.06,49.0,0.0,0.0,4.0,110.0,337.0,3.0,0.0,1.0,1.0,2.0,11.0,0.0,0.0,332.0,54.97,1650,907,4.63,0.33,1.32,42,3,JUJUY
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,4.39,0.0,0.21,1.21,31.26,41.05,0.14,0.12,0.38,0.4,0.33,0.5,0.0,0.0,20.0,185.0,0.0,9.0,51.0,1316.0,1728.0,6.0,5.0,16.0,17.0,14.0,21.0,0.0,0.0,842.0,73.36,6036,4428,3.86,0.05,1.02,171,2,JUJUY
JUJUY_SAN PEDRO,"San Pedro, Jujuy",LA LIBERTAD AVANZA,4.67,0.08,0.15,2.04,24.87,36.21,0.27,0.17,0.27,0.26,0.27,0.69,0.0,0.0,30.04,2118.0,36.0,69.0,925.0,11281.0,16423.0,122.0,75.0,124.0,120.0,123.0,315.0,2.0,1.0,13627.0,72.78,65737,47843,4.2,0.04,0.95,2008,18,JUJUY
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,3.62,0.0,0.23,0.88,28.12,30.34,0.21,0.18,1.08,0.21,0.36,0.59,0.01,0.0,34.17,377.0,0.0,24.0,92.0,2929.0,3160.0,22.0,19.0,112.0,22.0,37.0,61.0,1.0,0.0,3559.0,71.38,15454,11031,4.88,0.03,0.68,538,3,JUJUY
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",UNION POR LA PATRIA,6.21,0.0,0.07,1.18,20.38,31.22,0.13,0.0,0.2,0.07,0.65,0.26,0.0,0.0,39.65,95.0,0.0,1.0,18.0,312.0,478.0,2.0,0.0,3.0,1.0,10.0,4.0,0.0,0.0,607.0,65.99,2561,1690,7.75,0.06,1.6,131,1,JUJUY
