id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
LA RIOJA_ARAUCO,"Arauco, La Rioja",UNION POR LA PATRIA,0.39,0.0,0.23,3.43,12.69,37.02,0.28,0.11,0.17,0.15,0.23,0.0,0.0,0.18,45.13,28.0,0.0,17.0,249.0,921.0,2687.0,20.0,8.0,12.0,11.0,17.0,0.0,0.0,13.0,3276.0,56.4,13164,7424,1.58,0.12,0.53,117,9,LA RIOJA
LA RIOJA_CAPITAL,"Capital, La Rioja",LA LIBERTAD AVANZA,1.28,0.05,0.18,8.28,22.6,37.48,0.3,0.19,0.19,0.5,0.19,0.39,0.01,0.27,28.1,1376.0,54.0,197.0,8933.0,24390.0,40445.0,319.0,200.0,204.0,539.0,202.0,426.0,7.0,293.0,30325.0,67.48,163861,110572,1.69,0.07,0.65,1865,79,LA RIOJA
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",UNION POR LA PATRIA,0.78,0.0,0.45,4.9,21.14,26.66,0.32,0.1,0.13,0.03,0.26,0.03,0.0,0.13,45.06,24.0,0.0,14.0,151.0,651.0,821.0,10.0,3.0,4.0,1.0,8.0,1.0,0.0,4.0,1388.0,60.85,5152,3135,1.24,0.1,0.41,39,3,LA RIOJA
LA RIOJA_CHAMICAL,"Chamical, La Rioja",LA LIBERTAD AVANZA,0.64,0.0,0.31,8.96,19.39,38.22,0.24,0.09,0.24,0.26,0.27,0.03,0.0,0.47,30.88,45.0,0.0,22.0,629.0,1361.0,2682.0,17.0,6.0,17.0,18.0,19.0,2.0,0.0,33.0,2167.0,57.84,12701,7346,3.61,0.15,0.71,265,11,LA RIOJA
LA RIOJA_CHILECITO,"Chilecito, La Rioja",LA LIBERTAD AVANZA,0.8,0.0,0.26,6.21,19.1,45.93,0.31,0.19,0.17,0.24,0.27,0.01,0.0,0.19,26.32,213.0,1.0,69.0,1660.0,5102.0,12270.0,83.0,52.0,45.0,63.0,73.0,2.0,0.0,51.0,7031.0,62.21,43967,27353,1.78,0.08,0.47,488,22,LA RIOJA
LA RIOJA_CORONEL FELIPE VARELA,"Coronel Felipe Varela, La Rioja",UNION POR LA PATRIA,0.51,0.0,0.3,4.15,15.48,32.59,0.21,0.2,0.12,0.21,0.26,0.02,0.05,0.25,45.66,31.0,0.0,18.0,252.0,940.0,1979.0,13.0,12.0,7.0,13.0,16.0,1.0,3.0,15.0,2773.0,70.03,9052,6339,3.69,0.06,0.44,234,4,LA RIOJA
LA RIOJA_FAMATINA,"Famatina, La Rioja",UNION POR LA PATRIA,0.64,0.0,0.27,5.5,21.57,32.33,0.43,0.18,0.27,0.33,0.55,0.0,0.0,0.21,37.71,21.0,0.0,9.0,181.0,710.0,1064.0,14.0,6.0,9.0,11.0,18.0,0.0,0.0,7.0,1241.0,61.54,5450,3354,1.28,0.12,0.48,43,4,LA RIOJA
LA RIOJA_GENERAL ANGEL V. PENALOZA,"General Angel V. Penaloza, La Rioja",UNION POR LA PATRIA,0.21,0.0,0.42,3.54,17.51,30.02,0.21,0.35,0.28,0.07,0.14,0.0,0.0,0.28,46.98,3.0,0.0,6.0,51.0,252.0,432.0,3.0,5.0,4.0,1.0,2.0,0.0,0.0,4.0,676.0,54.96,2671,1468,1.43,0.34,0.2,21,5,LA RIOJA
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",LA LIBERTAD AVANZA,0.46,0.0,0.43,9.71,22.7,34.98,0.34,0.18,0.15,0.31,0.31,0.0,0.0,0.25,30.19,15.0,0.0,14.0,316.0,739.0,1139.0,11.0,6.0,5.0,10.0,10.0,0.0,0.0,8.0,983.0,49.5,6743,3338,2.07,0.12,0.27,69,4,LA RIOJA
LA RIOJA_GENERAL JUAN F. QUIROGA,"General Juan F. Quiroga, La Rioja",UNION POR LA PATRIA,0.28,0.0,0.62,6.86,18.65,25.85,0.57,0.34,0.62,0.34,0.57,0.0,0.0,0.51,44.78,5.0,0.0,11.0,121.0,329.0,456.0,10.0,6.0,11.0,6.0,10.0,0.0,0.0,9.0,790.0,53.15,3490,1855,3.88,0.49,0.54,72,9,LA RIOJA
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",UNION POR LA PATRIA,0.31,0.0,0.16,2.81,14.84,31.56,0.16,0.0,0.16,0.47,0.0,0.0,0.0,0.31,49.22,2.0,0.0,1.0,18.0,95.0,202.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,315.0,37.21,1782,663,2.26,0.0,1.21,15,0,LA RIOJA
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",UNION POR LA PATRIA,0.41,0.0,0.33,4.58,12.53,23.46,0.38,0.14,0.35,0.08,0.35,0.0,0.0,0.16,57.22,15.0,0.0,12.0,168.0,460.0,861.0,14.0,5.0,13.0,3.0,13.0,0.0,0.0,6.0,2100.0,56.26,6736,3790,2.45,0.11,0.61,93,4,LA RIOJA
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",UNION POR LA PATRIA,0.83,0.0,0.2,5.48,20.85,31.13,0.39,0.15,0.2,0.24,0.15,0.0,0.0,0.29,40.09,17.0,0.0,4.0,112.0,426.0,636.0,8.0,3.0,4.0,5.0,3.0,0.0,0.0,6.0,819.0,53.17,4209,2238,0.98,7.37,0.36,22,165,LA RIOJA
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",UNION POR LA PATRIA,0.65,0.0,0.22,2.16,15.9,20.94,0.29,0.29,0.07,0.43,0.43,0.0,0.0,0.22,58.42,9.0,0.0,3.0,30.0,221.0,291.0,4.0,4.0,1.0,6.0,6.0,0.0,0.0,3.0,812.0,56.75,2511,1425,2.04,0.0,0.42,29,0,LA RIOJA
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",UNION POR LA PATRIA,0.63,0.23,0.43,3.79,16.21,33.99,0.35,0.2,0.32,0.33,0.28,0.0,0.0,0.22,43.02,38.0,14.0,26.0,228.0,975.0,2045.0,21.0,12.0,19.0,20.0,17.0,0.0,0.0,13.0,2588.0,46.01,13764,6333,1.64,2.84,0.52,104,180,LA RIOJA
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",UNION POR LA PATRIA,0.3,0.0,0.17,1.52,20.91,29.42,0.25,0.13,0.08,0.13,0.3,0.04,0.0,0.34,46.4,7.0,0.0,4.0,36.0,494.0,695.0,6.0,3.0,2.0,3.0,7.0,1.0,0.0,8.0,1096.0,68.17,3544,2416,1.9,0.0,0.33,46,0,LA RIOJA
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",UNION POR LA PATRIA,0.65,0.0,0.19,7.51,16.6,22.77,0.28,0.05,0.23,0.37,0.19,0.0,0.0,0.32,50.83,14.0,0.0,4.0,162.0,358.0,491.0,6.0,1.0,5.0,8.0,4.0,0.0,0.0,7.0,1096.0,70.43,3098,2182,0.92,0.0,0.27,20,0,LA RIOJA
LA RIOJA_VINCHINA,"Vinchina, La Rioja",UNION POR LA PATRIA,0.42,0.0,0.07,5.19,16.49,28.84,0.28,0.28,0.0,0.14,0.07,0.07,0.0,0.14,48.0,6.0,0.0,1.0,74.0,235.0,411.0,4.0,4.0,0.0,2.0,1.0,1.0,0.0,2.0,684.0,59.41,2449,1455,1.79,0.21,0.07,26,3,LA RIOJA
