id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
MENDOZA_CAPITAL,"Capital, Mendoza",JUNTOS POR EL CAMBIO,3.55,0.0,0.17,1.19,43.3,33.92,0.34,0.25,0.31,1.28,0.22,0.7,0.01,0.0,14.76,2438.0,1.0,120.0,815.0,29721.0,23280.0,232.0,173.0,211.0,880.0,149.0,479.0,5.0,1.0,10129.0,70.43,100442,70743,1.38,0.1,1.5,977,70,MENDOZA
MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",LA LIBERTAD AVANZA,1.81,0.03,0.46,3.4,28.97,40.31,0.46,0.29,0.44,0.82,0.36,0.94,0.0,0.01,21.7,434.0,8.0,111.0,814.0,6937.0,9652.0,109.0,70.0,105.0,196.0,86.0,224.0,1.0,3.0,5195.0,64.69,38553,24939,2.46,0.09,1.44,613,23,MENDOZA
MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",LA LIBERTAD AVANZA,3.68,0.01,0.23,1.38,35.6,40.79,0.38,0.34,0.31,1.38,0.23,0.78,0.0,0.01,14.88,4037.0,8.0,251.0,1515.0,39083.0,44774.0,412.0,376.0,343.0,1510.0,252.0,858.0,4.0,10.0,16337.0,71.26,159780,113861,1.79,0.1,1.7,2040,112,MENDOZA
MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",LA LIBERTAD AVANZA,3.6,0.0,0.23,1.2,30.51,46.57,0.37,0.34,0.32,1.94,0.3,0.64,0.01,0.01,13.97,5928.0,1.0,385.0,1971.0,50275.0,76731.0,606.0,561.0,521.0,3198.0,493.0,1058.0,15.0,13.0,23013.0,72.25,236488,170854,1.71,0.08,1.78,2919,132,MENDOZA
MENDOZA_JUNIN,"Junin, Mendoza",LA LIBERTAD AVANZA,2.74,0.0,0.29,1.16,29.01,48.91,0.46,0.33,0.33,1.69,0.31,0.62,0.01,0.0,14.13,752.0,0.0,80.0,319.0,7950.0,13401.0,126.0,90.0,90.0,464.0,85.0,171.0,2.0,0.0,3871.0,76.02,37398,28430,1.87,0.05,1.7,531,15,MENDOZA
MENDOZA_LA PAZ,"La Paz, Mendoza",UNION POR LA PATRIA,0.55,0.0,0.15,0.43,29.57,27.46,0.19,0.07,0.15,0.35,0.11,0.29,0.0,0.0,40.67,40.0,0.0,11.0,31.0,2135.0,1982.0,14.0,5.0,11.0,25.0,8.0,21.0,0.0,0.0,2936.0,77.76,9463,7358,1.26,0.05,0.57,93,4,MENDOZA
MENDOZA_LAS HERAS,"Las Heras, Mendoza",LA LIBERTAD AVANZA,3.88,0.02,0.28,1.39,25.38,47.04,0.48,0.42,0.41,1.27,0.34,0.84,0.0,0.01,18.25,4389.0,21.0,317.0,1572.0,28718.0,53225.0,540.0,471.0,468.0,1439.0,383.0,952.0,0.0,14.0,20649.0,69.94,168582,117905,2.0,0.09,1.93,2354,112,MENDOZA
MENDOZA_LAVALLE,"Lavalle, Mendoza",LA LIBERTAD AVANZA,2.68,0.0,0.25,0.98,15.82,47.61,0.38,0.29,0.58,3.22,0.41,0.75,0.0,0.06,26.95,666.0,1.0,63.0,243.0,3925.0,11815.0,95.0,73.0,144.0,800.0,102.0,185.0,0.0,14.0,6688.0,70.63,36260,25610,1.71,0.06,1.34,438,16,MENDOZA
MENDOZA_LUJAN DE CUYO,"Lujan De Cuyo, Mendoza",LA LIBERTAD AVANZA,3.18,0.0,0.23,1.18,33.36,45.81,0.37,0.34,0.38,1.76,0.27,0.73,0.0,0.01,12.38,2413.0,0.0,171.0,892.0,25317.0,34770.0,283.0,259.0,291.0,1338.0,206.0,554.0,1.0,4.0,9396.0,67.84,115829,78579,1.59,0.08,1.75,1247,62,MENDOZA
MENDOZA_MAIPU,"Maipu, Mendoza",LA LIBERTAD AVANZA,3.61,0.0,0.23,1.32,24.45,50.77,0.39,0.36,0.31,1.24,0.27,0.59,0.0,0.02,16.44,3926.0,4.0,250.0,1439.0,26619.0,55288.0,422.0,396.0,341.0,1355.0,292.0,641.0,1.0,20.0,17897.0,73.47,153779,112978,1.78,0.09,1.75,2010,100,MENDOZA
MENDOZA_MALARGÜE,"Malargüe, Mendoza",LA LIBERTAD AVANZA,2.16,0.01,0.47,2.16,24.13,45.52,0.38,0.34,0.55,0.46,0.35,1.06,0.01,0.0,22.39,359.0,1.0,78.0,359.0,4012.0,7568.0,64.0,57.0,92.0,77.0,59.0,176.0,1.0,0.0,3723.0,69.08,25305,17481,3.21,0.07,1.6,562,13,MENDOZA
