id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",UNION POR LA PATRIA,2.58,0.02,0.02,2.37,17.72,33.62,0.9,1.16,0.42,1.47,0.96,0.64,0.02,0.0,38.11,158.0,1.0,1.0,145.0,1084.0,2057.0,55.0,71.0,26.0,90.0,59.0,39.0,1.0,0.0,2332.0,56.37,12882,7261,12.81,0.28,2.64,930,20,RIO NEGRO
RIO NEGRO_9 DE JULIO,"9 De Julio, Rio Negro",UNION POR LA PATRIA,1.44,0.0,0.0,1.64,10.96,26.23,0.55,0.89,0.27,1.23,0.75,0.0,0.0,0.0,56.03,21.0,0.0,0.0,24.0,160.0,383.0,8.0,13.0,4.0,18.0,11.0,0.0,0.0,0.0,818.0,56.25,3214,1808,17.59,0.39,1.27,318,7,RIO NEGRO
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",LA LIBERTAD AVANZA,3.04,0.0,0.0,2.28,24.48,37.68,0.82,0.47,0.27,0.86,0.56,1.32,0.01,0.0,28.2,1089.0,1.0,0.0,815.0,8764.0,13489.0,293.0,170.0,95.0,308.0,202.0,471.0,3.0,0.0,10096.0,66.64,58232,38808,4.96,0.54,2.27,1924,208,RIO NEGRO
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",LA LIBERTAD AVANZA,2.27,0.02,0.0,2.22,21.15,42.55,0.69,0.54,0.35,0.81,0.6,0.07,0.0,0.01,28.74,440.0,4.0,0.0,430.0,4102.0,8253.0,134.0,104.0,68.0,157.0,116.0,13.0,0.0,1.0,5574.0,66.5,31924,21231,6.19,0.18,2.27,1314,38,RIO NEGRO
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",LA LIBERTAD AVANZA,5.15,0.02,0.02,2.91,24.75,31.57,1.1,0.46,0.35,0.91,0.78,1.49,0.34,0.01,30.15,4092.0,18.0,18.0,2311.0,19671.0,25092.0,871.0,369.0,276.0,722.0,622.0,1185.0,270.0,6.0,23961.0,65.51,129518,84850,3.69,0.11,2.52,3134,92,RIO NEGRO
RIO NEGRO_CONESA,"Conesa, Rio Negro",LA LIBERTAD AVANZA,2.33,0.0,0.0,1.72,18.9,42.35,0.57,0.7,0.0,0.64,0.61,0.0,0.0,0.0,32.19,73.0,0.0,0.0,54.0,593.0,1329.0,18.0,22.0,0.0,20.0,19.0,0.0,0.0,0.0,1010.0,57.24,5874,3362,4.05,0.36,2.26,136,12,RIO NEGRO
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",UNION POR LA PATRIA,3.65,0.1,0.05,2.13,18.84,32.3,0.61,1.27,0.46,3.8,1.42,0.0,0.0,0.0,35.39,72.0,2.0,1.0,42.0,372.0,638.0,12.0,25.0,9.0,75.0,28.0,0.0,0.0,0.0,699.0,62.48,3457,2160,4.26,0.23,4.07,92,5,RIO NEGRO
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",LA LIBERTAD AVANZA,3.23,0.03,0.0,1.72,21.25,42.9,0.73,0.41,0.29,1.67,0.53,0.87,0.01,0.01,26.36,6384.0,55.0,4.0,3400.0,41994.0,84772.0,1435.0,809.0,575.0,3299.0,1052.0,1711.0,19.0,11.0,52082.0,72.68,293385,213231,4.75,0.13,2.46,10122,267,RIO NEGRO
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",LA LIBERTAD AVANZA,2.35,0.01,0.01,2.56,23.96,40.46,0.59,0.41,0.44,0.89,0.66,0.02,0.0,0.04,27.6,191.0,1.0,1.0,208.0,1948.0,3289.0,48.0,33.0,36.0,72.0,54.0,2.0,0.0,3.0,2244.0,67.13,13050,8761,5.03,0.23,1.94,441,20,RIO NEGRO
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",UNION POR LA PATRIA,3.59,0.0,0.0,2.75,27.45,29.59,0.71,0.8,0.34,0.94,0.88,0.17,0.23,0.0,32.56,171.0,0.0,0.0,131.0,1309.0,1411.0,34.0,38.0,16.0,45.0,42.0,8.0,11.0,0.0,1553.0,62.39,8631,5385,9.1,0.2,2.14,490,11,RIO NEGRO
