id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SALTA_ANTA,"Anta, Salta",LA LIBERTAD AVANZA,0.91,0.0,0.2,1.54,15.29,48.89,0.22,0.23,0.45,0.33,0.31,0.09,0.0,0.0,31.53,216.0,0.0,48.0,365.0,3616.0,11567.0,52.0,54.0,106.0,79.0,73.0,22.0,0.0,0.0,7459.0,48.55,52474,25477,2.19,4.13,0.83,558,1051,SALTA
SALTA_CACHI,"Cachi, Salta",LA LIBERTAD AVANZA,1.62,0.0,0.53,0.71,13.4,55.91,0.21,0.25,0.64,0.41,0.37,1.1,0.0,0.0,24.86,71.0,0.0,23.0,31.0,586.0,2445.0,9.0,11.0,28.0,18.0,16.0,48.0,0.0,0.0,1087.0,64.89,7539,4892,9.16,0.27,1.19,448,13,SALTA
SALTA_CAFAYATE,"Cafayate, Salta",LA LIBERTAD AVANZA,1.26,0.0,0.35,2.15,15.35,54.03,0.48,0.21,0.35,0.56,0.49,0.11,0.0,0.01,24.66,116.0,0.0,32.0,198.0,1413.0,4975.0,44.0,19.0,32.0,52.0,45.0,10.0,0.0,1.0,2270.0,66.76,14440,9640,2.75,0.27,1.47,265,26,SALTA
SALTA_CAPITAL,"Capital, Salta",LA LIBERTAD AVANZA,2.45,0.01,0.19,2.23,20.89,52.13,0.32,0.17,0.31,2.21,0.77,0.64,0.22,0.01,17.44,7174.0,37.0,544.0,6541.0,61155.0,152574.0,951.0,502.0,912.0,6472.0,2265.0,1874.0,630.0,39.0,51035.0,67.68,450715,305027,1.95,0.28,1.8,5963,866,SALTA
SALTA_CERRILLOS,"Cerrillos, Salta",LA LIBERTAD AVANZA,1.95,0.0,0.21,1.56,16.69,56.72,0.27,0.23,0.41,0.85,0.54,0.2,0.0,0.0,20.36,541.0,0.0,58.0,433.0,4632.0,15738.0,75.0,63.0,114.0,237.0,150.0,55.0,1.0,0.0,5649.0,67.38,42528,28654,1.57,0.32,1.27,451,92,SALTA
SALTA_CHICOANA,"Chicoana, Salta",LA LIBERTAD AVANZA,1.23,0.0,0.36,1.49,16.71,57.61,0.41,0.38,0.59,0.62,0.39,0.1,0.04,0.0,20.08,149.0,0.0,43.0,180.0,2023.0,6976.0,50.0,46.0,71.0,75.0,47.0,12.0,5.0,0.0,2431.0,63.86,19477,12438,1.66,0.14,0.86,206,17,SALTA
SALTA_GENERAL GUEMES,"General Guemes, Salta",LA LIBERTAD AVANZA,2.48,0.0,0.26,2.08,13.69,51.12,0.27,0.19,0.44,0.29,0.39,0.27,0.01,0.0,28.51,629.0,0.0,65.0,527.0,3466.0,12945.0,69.0,49.0,111.0,73.0,98.0,68.0,3.0,1.0,7219.0,62.14,42130,26180,1.89,0.19,1.2,494,50,SALTA
SALTA_GENERAL JOSE DE SAN MARTIN,"General Jose De San Martin, Salta",UNION POR LA PATRIA,0.99,0.0,0.19,1.68,12.91,41.07,0.27,0.19,0.38,0.47,0.43,0.09,0.0,0.0,41.33,681.0,3.0,129.0,1158.0,8900.0,28305.0,185.0,134.0,259.0,325.0,298.0,61.0,0.0,0.0,28483.0,50.62,140320,71029,1.54,0.38,1.05,1091,272,SALTA
SALTA_GUACHIPAS,"Guachipas, Salta",LA LIBERTAD AVANZA,0.57,0.0,0.29,1.09,20.98,49.83,0.4,0.4,0.52,0.11,0.46,0.0,0.0,0.0,25.34,10.0,0.0,5.0,19.0,365.0,867.0,7.0,7.0,9.0,2.0,8.0,0.0,0.0,0.0,441.0,55.2,3344,1846,4.82,0.22,0.7,89,4,SALTA
SALTA_IRUYA,"Iruya, Salta",LA LIBERTAD AVANZA,1.29,0.0,0.33,0.5,5.3,51.81,0.13,0.46,0.29,0.29,0.29,0.0,0.0,0.0,39.3,31.0,0.0,8.0,12.0,127.0,1242.0,3.0,11.0,7.0,7.0,7.0,0.0,0.0,0.0,942.0,51.33,5036,2585,1.66,4.41,1.2,43,114,SALTA
SALTA_LA CALDERA,"La Caldera, Salta",LA LIBERTAD AVANZA,1.91,0.0,0.17,2.08,24.06,49.43,0.26,0.12,0.3,0.47,0.39,0.17,0.0,0.0,20.65,208.0,0.0,19.0,227.0,2623.0,5390.0,28.0,13.0,33.0,51.0,42.0,18.0,0.0,0.0,2252.0,70.53,15960,11257,1.56,0.23,1.34,176,26,SALTA
SALTA_LA CANDELARIA,"La Candelaria, Salta",LA LIBERTAD AVANZA,1.37,0.0,0.33,2.39,12.53,46.64,0.27,0.36,0.89,0.24,0.18,0.0,0.0,0.03,34.77,46.0,0.0,11.0,80.0,420.0,1564.0,9.0,12.0,30.0,8.0,6.0,0.0,0.0,1.0,1166.0,60.17,5750,3460,1.62,0.23,1.24,56,8,SALTA
