id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",UNION POR LA PATRIA,0.34,0.0,0.09,1.08,24.29,21.15,0.29,0.09,0.16,0.22,0.04,0.0,0.0,0.0,52.25,15.0,0.0,4.0,48.0,1081.0,941.0,13.0,4.0,7.0,10.0,2.0,0.0,0.0,0.0,2325.0,61.56,7471,4599,2.39,0.11,0.74,110,5,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",UNION POR LA PATRIA,0.83,0.04,0.1,0.61,5.31,23.4,0.22,0.13,0.16,0.56,0.16,0.0,0.01,0.0,68.46,68.0,3.0,8.0,50.0,434.0,1913.0,18.0,11.0,13.0,46.0,13.0,0.0,1.0,0.0,5597.0,57.75,14441,8340,1.55,0.1,0.34,129,8,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",UNION POR LA PATRIA,0.16,0.0,0.19,0.97,4.52,20.02,0.07,0.11,0.1,0.68,0.05,0.0,0.0,0.0,73.12,12.0,0.0,14.0,71.0,331.0,1466.0,5.0,8.0,7.0,50.0,4.0,0.0,0.0,0.0,5353.0,69.76,10755,7503,1.96,0.11,0.36,147,8,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",UNION POR LA PATRIA,0.66,0.1,0.16,0.94,6.64,23.3,0.25,0.11,0.12,0.23,0.14,0.0,0.0,0.01,67.35,82.0,12.0,20.0,117.0,826.0,2899.0,31.0,14.0,15.0,29.0,17.0,0.0,0.0,1.0,8380.0,64.76,19720,12770,2.0,0.14,0.42,255,18,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",UNION POR LA PATRIA,1.14,0.03,0.16,1.5,10.48,28.93,0.27,0.15,0.27,2.34,0.34,0.01,0.02,0.0,54.35,949.0,21.0,131.0,1249.0,8715.0,24054.0,227.0,127.0,228.0,1947.0,281.0,6.0,18.0,0.0,45193.0,65.92,135370,89231,5.86,0.17,0.79,5227,156,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",LA LIBERTAD AVANZA,0.39,0.0,0.07,1.23,17.44,41.64,0.2,0.09,0.26,0.2,0.04,0.0,0.0,0.0,38.42,21.0,0.0,4.0,66.0,936.0,2235.0,11.0,5.0,14.0,11.0,2.0,0.0,0.0,0.0,2062.0,69.08,8180,5651,4.23,0.09,0.71,239,5,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",UNION POR LA PATRIA,1.71,0.1,0.13,1.69,14.97,31.22,0.33,0.15,0.3,3.55,0.3,0.0,0.02,0.0,45.53,2940.0,178.0,218.0,2909.0,25722.0,53639.0,565.0,264.0,514.0,6102.0,513.0,0.0,28.0,1.0,78243.0,70.07,257368,180332,3.52,0.18,1.01,6345,324,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",UNION POR LA PATRIA,0.97,0.0,0.16,2.97,9.88,22.3,0.3,0.19,0.28,1.62,0.27,0.0,0.03,0.0,61.03,200.0,0.0,33.0,613.0,2036.0,4595.0,61.0,39.0,58.0,333.0,56.0,1.0,6.0,0.0,12578.0,66.78,32169,21484,3.0,0.11,0.96,645,23,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",UNION POR LA PATRIA,1.7,0.0,0.27,1.02,7.98,26.16,0.46,0.18,0.32,0.62,0.17,0.0,0.04,0.0,61.07,230.0,0.0,37.0,138.0,1078.0,3532.0,62.0,24.0,43.0,84.0,23.0,0.0,5.0,0.0,8246.0,54.2,26208,14204,1.94,2.57,0.43,276,365,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",UNION POR LA PATRIA,0.39,0.0,0.2,0.63,4.77,10.41,0.36,0.21,0.16,1.49,0.12,0.0,0.02,0.0,81.23,36.0,0.0,18.0,58.0,438.0,955.0,33.0,19.0,15.0,137.0,11.0,0.0,2.0,0.0,7453.0,61.84,15391,9518,1.7,1.45,0.45,162,138,SANTIAGO DEL ESTERO
